SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.0102,Artificial Intelligence,All award levels (total),507,354,153,221,221,62,286,195,91
Artificial Intelligence,11.0102,Artificial Intelligence,Associate's degree,1,1,0,1,1,0,0,0,0
Artificial Intelligence,11.0102,Artificial Intelligence,Bachelor's degree,31,16,15,27,27,12,4,1,3
Artificial Intelligence,11.0102,Artificial Intelligence,Master's degree,397,285,112,160,160,43,237,168,69
Artificial Intelligence,11.0102,Artificial Intelligence,Doctor's degree – research/scholarship,29,24,5,6,6,0,23,18,5
Artificial Intelligence,11.0102,Artificial Intelligence,Postbaccalaureate certificate,49,28,21,27,27,7,22,8,14
Artificial Intelligence,11.0401,Information Science/Studies,All award levels (total),18009,11891,6118,14556,14556,4606,3453,1941,1512
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,252,183,69,250,250,68,2,1,1
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,126,96,30,125,125,29,1,0,1
Artificial Intelligence,11.0401,Information Science/Studies,Associate's degree,986,769,217,966,966,208,20,11,9
Artificial Intelligence,11.0401,Information Science/Studies,Bachelor's degree,9718,7028,2690,8991,8991,2430,727,467,260
Artificial Intelligence,11.0401,Information Science/Studies,Master's degree,6396,3527,2869,3824,3824,1682,2572,1385,1187
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,194,107,87,113,113,50,81,44,37
Artificial Intelligence,11.0401,Information Science/Studies,Postbaccalaureate certificate,325,174,151,278,278,136,47,32,15
Artificial Intelligence,11.0401,Information Science/Studies,Post-master's certificate,12,7,5,9,9,3,3,1,2
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,All award levels (total),1993,1383,610,1433,1433,370,560,320,240
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,64,52,12,64,64,12,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Associate's degree,77,61,16,74,74,14,3,1,2
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1035,797,238,948,948,210,87,59,28
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Master's degree,628,374,254,258,258,101,370,217,153
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Doctor's degree – research/scholarship,2,0,2,0,0,0,2,0,2
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,187,99,88,89,89,33,98,43,55
Artificial Intelligence,11.0701,Computer Science,All award levels (total),59187,45651,13536,42898,42898,8653,16289,11406,4883
Artificial Intelligence,11.0701,Computer Science,Postsecondary certificate < 60 semester credit hours,74,61,13,69,69,12,5,4,1
Artificial Intelligence,11.0701,Computer Science,Associate's degree,4092,3305,787,3751,3751,672,341,226,115
Artificial Intelligence,11.0701,Computer Science,Bachelor's degree,39207,31045,8162,34012,34012,6792,5195,3825,1370
Artificial Intelligence,11.0701,Computer Science,Master's degree,14364,10120,4244,4450,4450,1036,9914,6706,3208
Artificial Intelligence,11.0701,Computer Science,Doctor's degree – research/scholarship,1183,912,271,407,407,102,776,607,169
Artificial Intelligence,11.0701,Computer Science,Doctor's degree – professional practice,70,62,8,70,70,8,0,0,0
Artificial Intelligence,11.0701,Computer Science,Postbaccalaureate certificate,172,126,46,127,127,28,45,27,18
Artificial Intelligence,11.0701,Computer Science,Post-master's certificate,25,20,5,12,12,3,13,11,2
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,All award levels (total),3511,2319,1192,2126,2126,655,1385,848,537
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate < 60 semester credit hours,45,27,18,44,44,17,1,0,1
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate > 60 semester credit hours,16,11,5,15,15,5,1,1,0
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Associate's degree,143,104,39,143,143,39,0,0,0
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Bachelor's degree,587,454,133,467,467,102,120,89,31
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Master's degree,2356,1506,850,1248,1248,406,1108,664,444
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Postbaccalaureate certificate,313,188,125,191,191,78,122,75,47
Artificial Intelligence,11.0802,Data Modeling/Warehousing and Database Administration,Post-master's certificate,51,29,22,18,18,8,33,19,14
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",All award levels (total),850,658,192,634,634,133,216,157,59
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Postsecondary certificate < 60 semester credit hours,12,10,2,12,12,2,0,0,0
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Postsecondary certificate > 60 semester credit hours,14,14,0,14,14,0,0,0,0
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Associate's degree,21,14,7,19,19,6,2,1,1
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Bachelor's degree,499,412,87,438,438,70,61,44,17
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Master's degree,229,163,66,134,134,43,95,72,23
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Doctor's degree – research/scholarship,1,1,0,1,1,0,0,0,0
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Postbaccalaureate certificate,71,44,27,14,14,10,57,40,17
Artificial Intelligence,11.0804,"Modeling, Virtual Environments and Simulation",Post-master's certificate,3,0,3,2,2,2,1,0,1
