SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.0102,Artificial Intelligence,All award levels (total),326,239,87,145,145,38,181,132,49
Artificial Intelligence,11.0102,Artificial Intelligence,Bachelor's degree,18,18,0,18,18,0,0,0,0
Artificial Intelligence,11.0102,Artificial Intelligence,Master's degree,261,183,78,114,114,36,147,105,42
Artificial Intelligence,11.0102,Artificial Intelligence,Doctor's degree – research/scholarship,46,38,8,13,13,2,33,27,6
Artificial Intelligence,11.0102,Artificial Intelligence,Postbaccalaureate certificate,1,0,1,0,0,0,1,0,1
Artificial Intelligence,11.0401,Information Science/Studies,All award levels (total),17470,11808,5662,13724,13724,3994,3746,2078,1668
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,227,188,39,224,224,39,3,3,0
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,147,112,35,143,143,34,4,3,1
Artificial Intelligence,11.0401,Information Science/Studies,Associate's degree,906,718,188,890,890,182,16,10,6
Artificial Intelligence,11.0401,Information Science/Studies,Bachelor's degree,9118,6704,2414,8519,8519,2196,599,381,218
Artificial Intelligence,11.0401,Information Science/Studies,Master's degree,6516,3757,2759,3507,3507,1371,3009,1621,1388
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,166,94,72,104,104,48,62,38,24
Artificial Intelligence,11.0401,Information Science/Studies,Postbaccalaureate certificate,372,231,141,319,319,110,53,22,31
Artificial Intelligence,11.0401,Information Science/Studies,Post-master's certificate,18,4,14,18,18,14,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,All award levels (total),2089,1509,580,1529,1529,361,560,341,219
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,109,99,10,109,109,10,0,0,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Associate's degree,68,48,20,66,66,19,2,1,1
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1140,878,262,1048,1048,233,92,63,29
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Master's degree,613,384,229,227,227,71,386,228,158
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Doctor's degree – research/scholarship,4,1,3,1,1,1,3,1,2
