Year,SETR Category,Award level,Total Graduates,US Graduates,US Nonresident Graduates
2014,Artificial Intelligence,All award levels (total),41726,32630,9096
2014,Artificial Intelligence,Associate's degree,2519,2462,57
2014,Artificial Intelligence,Bachelor's degree,23539,21913,1626
2014,Artificial Intelligence,Doctor's degree – other,48,47,1
2014,Artificial Intelligence,Doctor's degree – research/scholarship,1151,524,627
2014,Artificial Intelligence,Master's degree,13535,6839,6696
2014,Artificial Intelligence,Post-master's certificate,35,23,12
2014,Artificial Intelligence,Postbaccalaureate certificate,465,393,72
2014,Artificial Intelligence,Postsecondary certificate < 60 semester credit hours,287,283,4
2014,Artificial Intelligence,Postsecondary certificate > 60 semester credit hours,147,146,1
2014,Biotechnology and Synthetic Biology,All award levels (total),20010,17894,2116
2014,Biotechnology and Synthetic Biology,Associate's degree,820,786,34
2014,Biotechnology and Synthetic Biology,Bachelor's degree,14447,13735,712
2014,Biotechnology and Synthetic Biology,Doctor's degree – research/scholarship,1739,1169,570
2014,Biotechnology and Synthetic Biology,Master's degree,2708,1938,770
2014,Biotechnology and Synthetic Biology,Post-master's certificate,48,39,9
2014,Biotechnology and Synthetic Biology,Postbaccalaureate certificate,93,78,15
2014,Biotechnology and Synthetic Biology,Postsecondary certificate < 60 semester credit hours,155,149,6
2014,Cryptography,All award levels (total),73860,61510,12350
2014,Cryptography,Associate's degree,5770,5594,176
2014,Cryptography,Bachelor's degree,46900,43108,3792
2014,Cryptography,Doctor's degree – other,48,47,1
2014,Cryptography,Doctor's degree – research/scholarship,2257,1144,1113
2014,Cryptography,Master's degree,16842,9810,7032
2014,Cryptography,Post-master's certificate,64,45,19
2014,Cryptography,Postbaccalaureate certificate,1111,908,203
2014,Cryptography,Postsecondary certificate < 60 semester credit hours,711,698,13
2014,Cryptography,Postsecondary certificate > 60 semester credit hours,157,156,1
2014,Lasers,All award levels (total),38014,28003,10011
2014,Lasers,Associate's degree,7906,7852,54
2014,Lasers,Bachelor's degree,16195,14363,1832
2014,Lasers,Doctor's degree – other,1,1,0
2014,Lasers,Doctor's degree – research/scholarship,2367,771,1596
2014,Lasers,Master's degree,10309,3851,6458
