Table 1-12,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Median years to research doctorate, by trend broad field of doctorate: Selected years, 1973–2023",,,,,,,,,,,
(Median years),,,,,,,,,,,
Field and time to degree,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023
All fields, , , , , , , , , , , 
Since earning bachelor's,8.5,9,9.9,10.6,10.7,10.5,10.2,9.4,9,8.6,8.6
Since starting graduate school,7.2,7.7,8.2,8.7,8.7,8.3,8.5,7.7,7.5,7.3,7.2
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.8,5.7
Science and engineering, , , , , , , , , , , 
Since earning bachelor's,7.3,7.6,8.2,8.9,9.3,9,8.9,8.4,8.1,8,8
Since starting graduate school,6.4,6.7,6.9,7.2,7.7,7.2,7.5,7,6.9,6.8,6.8
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.7,5.6
Agricultural sciences and natural resources, , , , , , , , , , , 
Since earning bachelor's,8.2,8.2,8.7,10,10.9,11.1,10.5,9.7,9.4,8.9,8.8
Since starting graduate school,6.7,6.3,6.9,7.8,8.7,8.7,8.2,7.9,7.7,7.3,7.3
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5,5
Biological and biomedical sciences, , , , , , , , , , , 
Since earning bachelor's,7,7,7.5,8.3,8.7,8.3,8.1,8,8,7.8,7.9
Since starting graduate school,6.1,6.1,6.7,6.9,7.2,6.8,6.7,6.7,6.7,6.5,6.4
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.8,5.7
Computer and information sciences, , , , , , , , , , , 
Since earning bachelor's,-,7.7,8.5,9.5,9.6,10.3,9.6,8.7,8.5,8.6,8.2
Since starting graduate school,-,6.9,7.2,7.7,7.9,8.2,8.2,7.3,7.6,7.8,7
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.8,5.6
Engineering, , , , , , , , , , , 
Since earning bachelor's,7.9,7.6,8.1,8.2,9,8.9,8.6,7.9,7.4,7.3,7.4
Since starting graduate school,6.7,6.2,6.7,6.7,7.2,7.2,7.3,6.7,6.7,6.7,6.6
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.3,5.3
"Geosciences, atmospheric, and ocean sciences", , , , , , , , , , , 
Since earning bachelor's,7.8,8,8.5,9.3,10.4,10.5,9.4,8.6,8.2,8,8.1
Since starting graduate school,6.8,6.7,7.5,8.2,8.7,8.4,8,7.3,7,7,6.8
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.5,5.7
