Table 1-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Research doctorate recipients, by trend broad field of doctorate and 2021 Carnegie Classification of doctorate institution: 2013–23",,,,,,,,,,,
(Number),,,,,,,,,,,
Field and 2021 Carnegie Classification,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
All doctorate recipients,52703.0,53986.0,54886.0,54809.0,54550.0,55078.0,55599.0,55203.0,52160.0,57448.0,57862.0
R1: doctoral universities - very high research,43852.0,44487.0,45006.0,44840.0,44678.0,45039.0,45359.0,44978.0,42383.0,47070.0,47445.0
R2: doctoral universities - high research,5347.0,5788.0,6012.0,6063.0,6131.0,6073.0,6180.0,6188.0,5768.0,6060.0,6208.0
Doctoral/ professional universities,1492.0,1755.0,1747.0,1870.0,1756.0,1908.0,1822.0,1967.0,1998.0,1932.0,1810.0
Other universities,2012.0,1956.0,2121.0,2036.0,1985.0,2058.0,2238.0,2070.0,2011.0,2386.0,2399.0
Science and engineering,39084.0,40708.0,41247.0,41306.0,41364.0,42144.0,42897.0,42564.0,40819.0,45402.0,45533.0
R1: doctoral universities - very high research,32935.0,33960.0,34307.0,34343.0,34530.0,35017.0,35545.0,35281.0,33844.0,37847.0,37975.0
R2: doctoral universities - high research,3686.0,4059.0,4194.0,4175.0,4210.0,4330.0,4440.0,4480.0,4190.0,4433.0,4582.0
Doctoral/ professional universities,912.0,1129.0,1060.0,1141.0,1058.0,1162.0,1108.0,1171.0,1165.0,1180.0,1075.0
Other universities,1551.0,1560.0,1686.0,1647.0,1566.0,1635.0,1804.0,1632.0,1620.0,1942.0,1901.0
Agricultural sciences and natural resources,1391.0,1380.0,1490.0,1428.0,1543.0,1499.0,1538.0,1531.0,1412.0,1509.0,1477.0
R1: doctoral universities - very high research,1240.0,1212.0,1328.0,1258.0,1375.0,1349.0,1392.0,1353.0,1259.0,1340.0,1332.0
R2: doctoral universities - high research,140.0,152.0,148.0,151.0,145.0,137.0,130.0,153.0,135.0,143.0,130.0
Doctoral/ professional universities,0.0,1.0,3.0,1.0,5.0,1.0,5.0,7.0,4.0,7.0,4.0
Other universities,11.0,15.0,11.0,18.0,18.0,12.0,11.0,18.0,14.0,19.0,11.0
Biological and biomedical sciences,8707.0,8868.0,8783.0,8863.0,8567.0,8782.0,8678.0,8403.0,8131.0,9208.0,9575.0
R1: doctoral universities - very high research,7023.0,7031.0,6905.0,7048.0,6889.0,6958.0,6855.0,6743.0,6460.0,7328.0,7647.0
R2: doctoral universities - high research,584.0,705.0,700.0,666.0,675.0,706.0,697.0,681.0,645.0,705.0,752.0
Doctoral/ professional universities,107.0,105.0,93.0,157.0,78.0,97.0,45.0,60.0,72.0,56.0,58.0
Other universities,993.0,1027.0,1085.0,992.0,925.0,1021.0,1081.0,919.0,954.0,1119.0,1118.0
Computer and information sciences,1843.0,1988.0,2003.0,2082.0,1998.0,2000.0,2220.0,2363.0,2360.0,2607.0,2687.0
R1: doctoral universities - very high research,1620.0,1748.0,1752.0,1798.0,1719.0,1752.0,1902.0,2036.0,2046.0,2276.0,2330.0
R2: doctoral universities - high research,192.0,215.0,207.0,242.0,230.0,197.0,274.0,277.0,271.0,276.0,281.0
Doctoral/ professional universities,8.0,7.0,18.0,14.0,15.0,25.0,10.0,6.0,6.0,10.0,35.0
Other universities,23.0,18.0,26.0,28.0,34.0,26.0,34.0,44.0,37.0,45.0,41.0
Engineering,9000.0,9626.0,9875.0,9459.0,9774.0,10164.0,10298.0,10468.0,10230.0,11519.0,11403.0
R1: doctoral universities - very high research,8123.0,8734.0,8850.0,8478.0,8760.0,8971.0,9126.0,9279.0,9048.0,10208.0,10104.0
R2: doctoral universities - high research,774.0,808.0,930.0,891.0,894.0,1071.0,1047.0,1072.0,1049.0,1140.0,1122.0
Doctoral/ professional universities,20.0,27.0,27.0,28.0,38.0,33.0,30.0,25.0,30.0,27.0,37.0
Other universities,83.0,57.0,68.0,62.0,82.0,89.0,95.0,92.0,103.0,144.0,140.0
"Geosciences, atmospheric, and ocean sciences",989.0,1098.0,1057.0,1227.0,1169.0,1185.0,1272.0,1241.0,1064.0,1181.0,1231.0
R1: doctoral universities - very high research,892.0,955.0,958.0,1084.0,1027.0,1070.0,1126.0,1096.0,933.0,1046.0,1086.0
R2: doctoral universities - high research,88.0,132.0,92.0,127.0,132.0,103.0,137.0,136.0,119.0,126.0,129.0
Doctoral/ professional universities,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0
Other universities,8.0,9.0,6.0,14.0,9.0,10.0,7.0,6.0,10.0,7.0,13.0
Health sciences,2109.0,2236.0,2220.0,2248.0,2443.0,2473.0,2532.0,2606.0,2250.0,2473.0,2435.0
R1: doctoral universities - very high research,1600.0,1572.0,1537.0,1557.0,1705.0,1750.0,1749.0,1828.0,1538.0,1686.0,1657.0
R2: doctoral universities - high research,216.0,272.0,300.0,285.0,288.0,325.0,368.0,333.0,345.0,338.0,371.0
Doctoral/ professional universities,166.0,214.0,208.0,213.0,258.0,231.0,232.0,271.0,209.0,240.0,204.0
Other universities,127.0,178.0,175.0,193.0,192.0,167.0,183.0,174.0,158.0,209.0,203.0
Mathematics and statistics,1817.0,1874.0,1815.0,1872.0,1844.0,2022.0,2010.0,2024.0,2010.0,2247.0,2167.0
R1: doctoral universities - very high research,1664.0,1727.0,1679.0,1707.0,1675.0,1835.0,1846.0,1802.0,1839.0,2082.0,1974.0
R2: doctoral universities - high research,132.0,133.0,121.0,157.0,160.0,175.0,154.0,212.0,156.0,140.0,176.0
Doctoral/ professional universities,4.0,8.0,2.0,2.0,1.0,5.0,2.0,5.0,9.0,9.0,10.0
Other universities,17.0,6.0,13.0,6.0,8.0,7.0,8.0,5.0,6.0,16.0,7.0
Physical sciences ,4595.0,4812.0,4859.0,5024.0,4913.0,5144.0,5306.0,5000.0,4710.0,5468.0,5460.0
R1: doctoral universities - very high research,4141.0,4323.0,4376.0,4539.0,4461.0,4634.0,4805.0,4487.0,4285.0,4971.0,4963.0
R2: doctoral universities - high research,393.0,436.0,423.0,419.0,397.0,438.0,430.0,441.0,357.0,421.0,430.0
Doctoral/ professional universities,5.0,16.0,13.0,8.0,7.0,7.0,5.0,9.0,12.0,7.0,1.0
Other universities,56.0,37.0,47.0,58.0,48.0,65.0,66.0,63.0,56.0,69.0,66.0
Psychology,3592.0,3724.0,3776.0,3910.0,3925.0,3821.0,3909.0,3868.0,3777.0,3952.0,3899.0
R1: doctoral universities - very high research,2192.0,2245.0,2246.0,2342.0,2465.0,2295.0,2314.0,2281.0,2237.0,2362.0,2369.0
