Table 1-3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
"Research doctorate recipients, by trend major field of doctorate: Selected years, 1993–2023",,,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,,
Field of doctorate,1993,,1998,,2003,,2008,,2013,,2018,,2023,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
All fields,39800,100,42636,100,40762,100,48776,100,52703,100,55078,100,57862,100
Science and engineering,26486,66.5,28636,67.2,26759,65.6,34765,71.3,39084,74.2,42144,76.5,45533,78.7
Agricultural sciences and natural resources,1235,3.1,1315,3.1,1226,3,1252,2.6,1391,2.6,1499,2.7,1477,2.6
Agricultural sciences,939,2.4,981,2.3,845,2.1,782,1.6,873,1.7,960,1.7,1007,1.7
Natural resources and conservation,296,0.7,334,0.8,381,0.9,470,1,518,1,539,1,470,0.8
Biological and biomedical sciences,5212,13.1,6011,14.1,5927,14.5,8145,16.7,8707,16.5,8782,15.9,9575,16.5
Biochemistry and biophysics,949,2.4,966,2.3,933,2.3,1066,2.2,1005,1.9,963,1.7,893,1.5
"Biology and biomedical sciences, general",305,0.8,399,0.9,375,0.9,418,0.9,657,1.2,888,1.6,1328,2.3
"Bioinformatics, biostatistics, and computational biology",74,0.2,75,0.2,84,0.2,269,0.6,426,0.8,580,1.1,794,1.4
"Cellular and developmental biology, and anatomy",364,0.9,462,1.1,460,1.1,586,1.2,597,1.1,427,0.8,225,0.4
"Ecology, evolutionary biology, and epidemiology",297,0.7,458,1.1,578,1.4,922,1.9,1030,2,1059,1.9,1118,1.9
Genetics and genomics,172,0.4,197,0.5,226,0.6,413,0.8,396,0.8,363,0.7,459,0.8
Microbiology and immunology,633,1.6,657,1.5,645,1.6,1007,2.1,1142,2.2,1042,1.9,1092,1.9
Molecular biology,582,1.5,736,1.7,615,1.5,786,1.6,646,1.2,596,1.1,851,1.5
