Table 1-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Research doctorate recipients, by trend broad field of doctorate and citizenship status: Selected years, 1978–2023",,,,,,,,,,
(Number),,,,,,,,,,
Field and citizenship status,1978.0,1983.0,1988.0,1993.0,1998.0,2003.0,2008.0,2013.0,2018.0,2023.0
All fields,30875.0,31280.0,33497.0,39800.0,42636.0,40762.0,48776.0,52703.0,55078.0,57862.0
U.S. citizen or permanent resident,26683.0,25698.0,24932.0,28722.0,31204.0,28170.0,30844.0,33964.0,35349.0,35566.0
Temporary visa holder,3475.0,4555.0,6241.0,9964.0,9461.0,10597.0,15261.0,15674.0,17582.0,19393.0
Unknown citizenship,717.0,1027.0,2324.0,1114.0,1971.0,1995.0,2671.0,3065.0,2147.0,2903.0
Science and engineering,17977.0,19130.0,21697.0,26486.0,28636.0,26759.0,34765.0,39084.0,42144.0,45533.0
U.S. citizen or permanent resident,14874.0,14963.0,15121.0,17397.0,19338.0,16867.0,19907.0,23503.0,25436.0,26622.0
Temporary visa holder,2656.0,3532.0,5078.0,8332.0,8012.0,8694.0,13053.0,13444.0,15204.0,16768.0
Unknown citizenship,447.0,635.0,1498.0,757.0,1286.0,1198.0,1805.0,2137.0,1504.0,2143.0
Agricultural sciences and natural resources,1085.0,1268.0,1277.0,1235.0,1315.0,1226.0,1252.0,1391.0,1499.0,1477.0
U.S. citizen or permanent resident,724.0,841.0,775.0,647.0,708.0,628.0,675.0,769.0,823.0,845.0
Temporary visa holder,342.0,400.0,423.0,567.0,562.0,524.0,516.0,539.0,630.0,580.0
Unknown citizenship,19.0,27.0,79.0,21.0,45.0,74.0,61.0,83.0,46.0,52.0
Biological and biomedical sciences,3516.0,3817.0,4208.0,5212.0,6011.0,5927.0,8145.0,8707.0,8782.0,9575.0
U.S. citizen or permanent resident,3139.0,3399.0,3412.0,3844.0,4455.0,4250.0,5405.0,6044.0,6396.0,6906.0
Temporary visa holder,297.0,338.0,566.0,1277.0,1351.0,1434.0,2364.0,2211.0,2157.0,2299.0
Unknown citizenship,80.0,80.0,230.0,91.0,205.0,243.0,376.0,452.0,229.0,370.0
Computer and information sciences,121.0,286.0,515.0,880.0,927.0,866.0,1787.0,1843.0,2000.0,2687.0
U.S. citizen or permanent resident,90.0,208.0,326.0,510.0,563.0,447.0,697.0,758.0,742.0,965.0
Temporary visa holder,27.0,74.0,176.0,348.0,326.0,379.0,1005.0,990.0,1163.0,1573.0
Unknown citizenship,4.0,4.0,13.0,22.0,38.0,40.0,85.0,95.0,95.0,149.0
Engineering,2423.0,2781.0,4186.0,5698.0,5922.0,5279.0,7863.0,9000.0,10164.0,11403.0
U.S. citizen or permanent resident,1588.0,1485.0,2150.0,2700.0,3048.0,2180.0,2958.0,3767.0,4213.0,4804.0
Temporary visa holder,781.0,1191.0,1730.0,2791.0,2581.0,2913.0,4492.0,4759.0,5575.0,6034.0
Unknown citizenship,54.0,105.0,306.0,207.0,293.0,186.0,413.0,474.0,376.0,565.0
"Geosciences, atmospheric, and ocean sciences",578.0,587.0,670.0,721.0,766.0,682.0,865.0,989.0,1185.0,1231.0
U.S. citizen or permanent resident,499.0,474.0,494.0,463.0,534.0,451.0,536.0,654.0,760.0,782.0
Temporary visa holder,69.0,97.0,131.0,228.0,202.0,201.0,293.0,290.0,392.0,395.0
Unknown citizenship,10.0,16.0,45.0,30.0,30.0,30.0,36.0,45.0,33.0,54.0
Health sciences,485.0,518.0,737.0,1016.0,1285.0,1353.0,1689.0,2109.0,2473.0,2435.0
U.S. citizen or permanent resident,433.0,439.0,581.0,814.0,987.0,1020.0,1199.0,1539.0,1809.0,1729.0
Temporary visa holder,36.0,58.0,97.0,163.0,244.0,268.0,372.0,427.0,573.0,564.0
Unknown citizenship,16.0,21.0,59.0,39.0,54.0,65.0,118.0,143.0,91.0,142.0
Mathematics and statistics,838.0,701.0,749.0,1146.0,1177.0,993.0,1400.0,1817.0,2022.0,2167.0
U.S. citizen or permanent resident,666.0,459.0,388.0,590.0,673.0,517.0,673.0,873.0,994.0,977.0
Temporary visa holder,157.0,208.0,307.0,518.0,444.0,440.0,651.0,843.0,965.0,1112.0
Unknown citizenship,15.0,34.0,54.0,38.0,60.0,36.0,76.0,101.0,63.0,78.0
Physical sciences ,2611.0,2801.0,3316.0,3681.0,3800.0,3289.0,4081.0,4595.0,5144.0,5460.0
U.S. citizen or permanent resident,2167.0,2189.0,2239.0,2317.0,2444.0,1953.0,2138.0,2593.0,3008.0,3176.0
Temporary visa holder,400.0,540.0,873.0,1261.0,1193.0,1216.0,1734.0,1742.0,1981.0,2076.0
Unknown citizenship,44.0,72.0,204.0,103.0,163.0,120.0,209.0,260.0,155.0,208.0
Psychology,3055.0,3346.0,3074.0,3420.0,3673.0,3277.0,3357.0,3592.0,3821.0,3899.0
U.S. citizen or permanent resident,2862.0,3116.0,2730.0,3161.0,3275.0,2867.0,2892.0,3067.0,3309.0,3249.0
Temporary visa holder,61.0,81.0,85.0,150.0,168.0,196.0,249.0,282.0,284.0,366.0
Unknown citizenship,132.0,149.0,259.0,109.0,230.0,214.0,216.0,243.0,228.0,284.0
Social sciences,3265.0,3025.0,2965.0,3477.0,3760.0,3867.0,4326.0,5041.0,5054.0,5199.0
U.S. citizen or permanent resident,2706.0,2353.0,2026.0,2351.0,2651.0,2554.0,2734.0,3439.0,3382.0,3189.0
Temporary visa holder,486.0,545.0,690.0,1029.0,941.0,1123.0,1377.0,1361.0,1484.0,1769.0
Unknown citizenship,73.0,127.0,249.0,97.0,168.0,190.0,215.0,241.0,188.0,241.0
Non-science and engineering,12898.0,12150.0,11800.0,13314.0,14000.0,14003.0,14011.0,13619.0,12934.0,12329.0
U.S. citizen or permanent resident,11809.0,10735.0,9811.0,11325.0,11866.0,11303.0,10937.0,10461.0,9913.0,8944.0
Temporary visa holder,819.0,1023.0,1163.0,1632.0,1449.0,1903.0,2208.0,2230.0,2378.0,2625.0
Unknown citizenship,270.0,392.0,826.0,357.0,685.0,797.0,866.0,928.0,643.0,760.0
Business ,713.0,750.0,1033.0,1281.0,1175.0,1036.0,1421.0,1551.0,1473.0,1560.0
U.S. citizen or permanent resident,572.0,578.0,694.0,843.0,853.0,615.0,703.0,831.0,740.0,681.0
Temporary visa holder,131.0,151.0,258.0,394.0,268.0,356.0,619.0,600.0,642.0,770.0
Unknown citizenship,10.0,21.0,81.0,44.0,54.0,65.0,99.0,120.0,91.0,109.0
Education,7194.0,7174.0,6361.0,6689.0,6569.0,6651.0,6561.0,4934.0,4818.0,4562.0
U.S. citizen or permanent resident,6635.0,6408.0,5478.0,5969.0,5748.0,5650.0,5584.0,4118.0,4025.0,3755.0
Temporary visa holder,414.0,563.0,485.0,554.0,487.0,588.0,567.0,515.0,611.0,546.0
Unknown citizenship,145.0,203.0,398.0,166.0,334.0,413.0,410.0,301.0,182.0,261.0
Humanities and arts,4176.0,3451.0,3548.0,4372.0,5308.0,5226.0,4688.0,5662.0,5139.0,4453.0
U.S. citizen or permanent resident,3910.0,3094.0,2998.0,3752.0,4497.0,4297.0,3706.0,4493.0,4145.0,3333.0
Temporary visa holder,174.0,229.0,309.0,506.0,556.0,694.0,715.0,770.0,739.0,849.0
Unknown citizenship,92.0,128.0,241.0,114.0,255.0,235.0,267.0,399.0,255.0,271.0
Other non-science and engineering,815.0,775.0,858.0,972.0,948.0,1090.0,1341.0,1472.0,1504.0,1754.0
U.S. citizen or permanent resident,692.0,655.0,641.0,761.0,768.0,741.0,944.0,1019.0,1003.0,1175.0
Temporary visa holder,100.0,80.0,111.0,178.0,138.0,265.0,307.0,345.0,386.0,460.0
Unknown citizenship,23.0,40.0,106.0,33.0,42.0,84.0,90.0,108.0,115.0,119.0
