Table 2-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Postgraduation commitment of research doctorate recipients, by sex, citizenship status, ethnicity, and race: Selected years, 1993–2023",,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,
Commitment status and year,Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
,,,,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,Male,Female,U.S. citizen or permanent resident,Temporary visa holder,,American Indian or Alaska Native,Asianb,Black or African American,White,More than one race,Other race or race not reportedc,
All doctorate recipients (number),,,,,,,,,,,,,
1993,39800,24384,15121,28722,9964,974,120,2005,1278,24040,na,135,170
1998,42636,24628,17847,31204,9461,1332,190,2728,1603,24284,na,416,651
2003,40762,22256,18506,28170,10597,1435,136,2033,1723,21162,363,354,964
2008,48776,26271,22494,30844,15261,1773,115,2507,1961,22835,506,343,804
2013,52703,28326,24365,33964,15674,2135,119,2892,2172,24749,858,279,760
2018,55078,29742,25308,35349,17582,2572,115,3302,2449,24924,1100,371,516
2023,57862,30356,27499,35566,19393,3449,115,3828,2725,23057,1296,459,637
All postgraduation commitments (number),,,,,,,,,,,,,
1993,36546,22534,14006,27366,9170,918,113,1839,1181,23120,na,110,85
1998,38244,22168,16041,29377,8799,1212,173,2579,1487,23250,na,388,288
2003,36868,20192,16676,26824,9980,1364,124,1979,1614,20700,362,335,346
2008,44018,23611,20407,29566,14377,1647,111,2404,1873,22311,496,317,407
2013,47836,25717,22118,32771,14925,2052,115,2845,2110,24305,852,250,242
2018,50338,27265,23073,33652,16530,2433,101,3180,2332,24046,1099,293,168
2023,52109,27420,24683,33702,18143,3255,94,3697,2597,22255,1283,335,186
Definite commitment for employment or postdoctoral training (%),,,,,,,,,,,,,
1993,67,66.2,68.2,70.1,57.8,68.2,67.3,59.2,65.1,71.4,na,61.8,56.5
1998,69.7,70.5,68.5,71,65.5,70.3,62.4,66.2,65.6,72.2,na,63.1,63.9
2003,71.3,72.3,70.2,72.5,68.2,70.6,66.1,65.9,69,73.8,70.7,63.6,68.2
2008,69.2,70.1,68.2,70.6,66.4,65.9,73.9,61.9,65,72.5,67.9,64.7,64.4
2013,62.6,64,61.1,63.7,60.3,58,58.3,55,55.6,66.1,60.4,60.4,59.5
2018,68.2,69,67.2,68.2,68,66.6,66.3,63.8,62.5,69.5,69.6,68.9,64.3
2023,73.6,74,73.3,72.3,76,71.2,80.9,69.7,71,73.1,74,64.5,69.9
No definite commitment for employment or postdoctoral training (%)d,,,,,,,,,,,,,
1993,33,33.8,31.8,29.9,42.2,31.8,32.7,40.8,34.9,28.6,na,38.2,43.5
1998,30.3,29.5,31.5,29,34.5,29.7,37.6,33.8,34.4,27.8,na,36.9,36.1
2003,28.7,27.7,29.8,27.5,31.8,29.4,33.9,34.1,31,26.2,29.3,36.4,31.8
2008,30.8,29.9,31.8,29.4,33.6,34.1,26.1,38.1,35,27.5,32.1,35.3,35.6
2013,37.4,36,38.9,36.3,39.7,42,41.7,45,44.4,33.9,39.6,39.6,40.5
2018,31.8,31,32.8,31.8,32,33.4,33.7,36.2,37.5,30.5,30.4,31.1,35.7
2023,26.4,26,26.7,27.7,24,28.8,19.1,30.3,29,26.9,26,35.5,30.1
