Table 2-4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Postgraduation plans of research doctorate recipients with definite commitments, by sex, citizenship status, ethnicity, and race: Selected years, 1993–2023",,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,
"Definite commitment, plan, and year",Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
,,,,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,Male,Female,U.S. citizen or permanent resident,Temporary visa holder,,American Indian or Alaska Native,Asianb,Black or African American,White,More than one race,Other race or race not reportedc,
All definite commitments (number),,,,,,,,,,,,,
1993,24480,14919,9559,19176,5298,626,76,1088,769,16501,na,68,48
1998,26644,15635,10987,20848,5762,852,108,1708,975,16776,na,245,184
2003,26299,14595,11704,19449,6804,963,82,1304,1114,15281,256,213,236
2008,30467,16547,13920,20860,9552,1085,82,1489,1218,16182,337,205,262
2013,29969,16459,13509,20880,8994,1190,67,1565,1173,16075,515,151,144
2018,34308,18807,15501,22953,11238,1621,67,2028,1457,16705,765,202,108
2023,38375,20285,18086,24382,13792,2317,76,2577,1844,16272,950,216,130
Reported type of plan (number),,,,,,,,,,,,,
1993,24362,14858,9502,19090,5266,624,76,1080,763,16432,na,67,48
1998,26141,15386,10736,20459,5654,832,105,1691,928,16488,na,240,175
2003,26213,14549,11664,19402,6772,960,82,1298,1110,15254,255,211,232
2008,29533,16102,13431,20174,9305,1042,77,1452,1164,15664,324,199,252
2013,27703,15302,12400,19161,8448,1047,59,1436,1072,14800,476,140,131
2018,34254,18775,15479,22915,11223,1618,67,2025,1454,16679,764,200,108
2023,38328,20270,18054,24352,13776,2316,76,2575,1841,16250,948,216,130
Employment plans (%),,,,,,,,,,,,,
1993,71,68.4,75.1,73.9,60.7,74,85.5,60.9,83.5,74.3,na,64.2,64.6
1998,71,69.7,72.9,73.7,61.3,75,82.9,61.6,83.4,74.3,na,66.7,76
2003,67.2,64.7,70.4,70.9,56.7,72.9,81.7,59.2,77.7,71.6,62.4,63.5,66.8
2008,64.2,62.4,66.3,67.4,57.3,63.3,71.4,60.9,73.6,67.9,64.5,63.3,65.5
2013,60.6,60.5,60.7,63.1,54.9,59.4,62.7,58.6,70.7,63.4,56.3,66.4,64.9
2018,61.5,61.5,61.5,63,58.2,60.3,80.6,57.8,73,62.9,61.5,72.5,69.4
2023,63.4,63.8,63,64.9,60.7,61.7,73.7,64.4,75.3,64.5,56.8,68.5,75.4
Postdoctoral training plans (%),,,,,,,,,,,,,
1993,29,31.6,24.9,26.1,39.3,26,14.5,39.1,16.5,25.7,na,35.8,35.4
1998,29,30.3,27.1,26.3,38.7,25,17.1,38.4,16.6,25.7,na,33.3,24
2003,32.8,35.3,29.6,29.1,43.3,27.1,18.3,40.8,22.3,28.4,37.6,36.5,33.2
2008,35.8,37.6,33.7,32.6,42.7,36.7,28.6,39.1,26.4,32.1,35.5,36.7,34.5
2013,39.4,39.5,39.3,36.9,45.1,40.6,37.3,41.4,29.3,36.6,43.7,33.6,35.1
2018,38.5,38.5,38.5,37,41.8,39.7,19.4,42.2,27,37.1,38.5,27.5,30.6
2023,36.6,36.2,37,35.1,39.3,38.3,26.3,35.6,24.7,35.5,43.2,31.5,24.6
