Table 3-1,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Research doctorate recipients, by detailed field of doctorate: 2021–23",,,
(Number),,,
Field of doctorate,2021,2022.0,2023.0
All fields,52160,57448.0,57862.0
Science and engineering,41188,45847.0,45973.0
Agricultural sciences and natural resources,1222,1304.0,1278.0
"Agricultural, animal, plant, and veterinary sciences",806,857.0,856.0
Agronomy and crop science,69,68.0,76.0
Animal sciences,159,174.0,173.0
Food science and technology,175,156.0,178.0
Plant sciences,152,162.0,149.0
Soil sciences,79,100.0,86.0
Veterinary biomedical and clinical sciences,78,77.0,93.0
"Agricultural, animal, plant, and veterinary sciences nec",94,120.0,101.0
Natural resources and conservation,416,447.0,422.0
Environmental science,117,145.0,132.0
Environmental/ natural resources management and policy,78,72.0,63.0
Forestry,74,69.0,69.0
Natural resources conservation and research,74,72.0,81.0
Natural resources and conservation nec,73,89.0,77.0
Biological and biomedical sciences,8243,9375.0,9724.0
"Biochemistry, biophysics, and molecular biology",1346,1554.0,1509.0
Biochemistry,416,465.0,440.0
Biochemistry and molecular biology,263,325.0,311.0
Biophysics,234,251.0,254.0
Molecular biology,260,274.0,268.0
"Biochemistry, biophysics, and molecular biology nec",173,239.0,236.0
"Bioinformatics, biostatistics, and computational biology",562,688.0,735.0
Bioinformatics,136,169.0,181.0
Biostatistics,223,260.0,283.0
Computational biology,106,154.0,151.0
"Bioinformatics, biostatistics, and computational biology nec",97,105.0,120.0
"Biological and biomedical sciences, general",660,845.0,907.0
"Biology/ biological sciences, general",330,471.0,522.0
"Biomedical sciences, general",330,374.0,385.0
Cell/ cellular biology and anatomy,655,685.0,761.0
Cell/ cellular and molecular biology,480,523.0,583.0
Developmental biology and embryology,103,114.0,96.0
Cell/ cellular biology and anatomy nec,72,48.0,82.0
"Ecology, evolutionary biology, and epidemiology",981,1121.0,1144.0
Ecology,227,238.0,246.0
Ecology and evolutionary biology,243,270.0,277.0
Epidemiology,296,386.0,382.0
Epidemiology and biostatistics,54,45.0,39.0
Evolutionary biology,68,83.0,84.0
"Ecology, evolutionary biology, and epidemiology nec",93,99.0,116.0
Genetics and genomics,397,436.0,477.0
"Genetics, general",121,122.0,128.0
Genome sciences and genomics,72,97.0,116.0
Human/ medical genetics,62,81.0,71.0
Molecular genetics,71,66.0,77.0
Genetics and genomics nec,71,70.0,85.0
Microbiology and immunology,972,1088.0,1092.0
Immunology,303,343.0,342.0
Microbiology and immunology,215,265.0,271.0
"Microbiology, general",257,270.0,275.0
Virology,107,123.0,111.0
Microbiology and immunology nec,90,87.0,93.0
Neurobiology and neurosciences,1013,1177.0,1200.0
Cognitive neuroscience,102,131.0,114.0
Neurobiology,138,79.0,68.0
Neuroscience,685,823.0,877.0
Neurobiology and neurosciences nec,88,144.0,141.0
Pharmacology and toxicology,311,386.0,409.0
Pharmacology,131,164.0,186.0
Toxicology,106,125.0,95.0
Pharmacology and toxicology nec,74,97.0,128.0
"Physiology, oncology, and cancer biology",711,764.0,821.0
Biomechanics,77,69.0,85.0
Exercise physiology and kinesiology,76,95.0,103.0
Oncology and cancer biology,314,318.0,336.0
"Physiology, general",75,99.0,78.0
"Physiology, oncology, and cancer biology nec",169,183.0,219.0
"Biological and biomedical sciences, other",635,631.0,669.0
