Table 3-5,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
"Median years to science and engineering research doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023",,,,,,,,,,,,,,,,,,,,,,,,,,
(Number and median years),,,,,,,,,,,,,,,,,,,,,,,,,,
Time to degree and demographic characteristic,All fields,,"Science and engineering, total",,Agricultural sciences and natural resources,,Biological and biomedical sciences,,Computer and information sciences,,Engineering,,"Geosciences, atmospheric, and ocean sciences",,Health sciences,,Mathematics and statistics,,Multidisciplinary/ interdisciplinary sciences,,Physical sciences,,Psychology,,Social sciences,
,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median
Years since bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctorate recipients reporting year of bachelor's degree,54429,8.6,43361,8,1204,9,9266,7.8,2159,8.2,10074,7.4,1155,8.1,2512,11.4,1970,7,1616,8.3,5179,6.7,3474,8.6,4752,10.2
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,28564,8.3,24059,7.9,540,9.1,4202,8,1620,8.1,7426,7.6,630,8.3,714,9.9,1411,6.8,993,8.1,3414,7,800,8.9,2309,10
Female,25858,9,19295,8.2,664,8.6,5063,7.6,539,8.9,2648,7.1,524,8,1798,12.2,558,7.2,623,8.4,1764,6.3,2673,8.4,2441,10.3
Citizenship status,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,34922,8.8,26551,8,770,8.9,6908,7.6,806,8.3,4458,6.9,767,8,1880,12.2,924,6.3,813,8.3,3101,6.3,3084,8.6,3040,10.3
Temporary visa holder,18754,8.3,16264,8.1,425,8.9,2259,8.3,1310,8.1,5509,7.9,375,8.5,586,9.9,1020,7.3,784,8.2,2025,7.3,320,8.5,1651,10
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino,3370,8.6,2552,7.9,63,8.3,713,7.6,47,7.4,398,6.6,58,8.3,155,10.7,64,6.3,73,8.4,294,6.6,361,8.6,326,10.5
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,113,11.4,67,10,D,D,11,8.1,D,D,6,6.2,D,D,9,13.2,0,-,D,D,5,8.6,12,7.6,15,10.3
Asian,3765,8.3,3196,8,46,10.1,890,8,189,8.3,721,7.3,57,9.3,189,11.6,135,6.3,109,8,342,6.7,229,9.2,289,10.3
Black or African American,2680,11.4,1633,9.6,D,D,333,8,D,D,209,7.5,D,D,235,13,22,9.5,D,D,97,7,291,10,292,11.2
White,22814,8.6,17402,7.8,574,8.4,4511,7.6,469,8.3,2846,6.8,594,7.9,1170,12.6,644,6.3,521,8.1,2166,6.3,1966,8.3,1941,10.3
More than one race,1291,8,1055,7.3,27,10,325,7.3,21,7.2,175,6.3,29,7.4,60,11.7,40,6.1,24,6.8,111,6.2,140,8.6,103,9.4
Other race or race not reported,435,9.2,326,8.3,9,12.3,72,8,17,9.3,54,7.8,5,7.5,24,13.4,11,6.3,7,12.9,46,6.3,37,8.8,44,10.3
Ethnicity not reported,454,9.6,320,8.3,15,7.3,53,7.7,18,9,49,8,5,8.8,38,10.7,8,7.6,16,14.8,40,6.6,48,8.3,30,10.7
Years since entering graduate school,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctorate recipients reporting year of graduate school entry,52827,7.2,42184,6.8,1149,7.3,9108,6.4,2071,7,9775,6.6,1131,6.8,2451,9,1906,6,1577,7,5032,6,3329,6.9,4655,8.7
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,27788,7,23449,6.8,515,7.3,4143,6.7,1561,6.9,7197,6.7,626,6.9,703,7.8,1372,6,981,6.9,3319,6,779,7,2253,8.3
Female,25032,7.4,18728,6.8,634,7.3,4964,6.3,510,7.7,2578,6.3,504,6.8,1748,9.3,533,6.1,596,7.3,1712,5.8,2549,6.8,2400,8.8
Citizenship status,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,33766,7.1,25736,6.7,721,7.2,6760,6.3,771,7,4313,6,751,6.6,1824,9.8,897,5.8,772,7,2995,5.8,2950,6.9,2982,8.6
Temporary visa holder,18200,7.3,15815,7,409,7.8,2251,7,1251,7,5321,6.9,364,7.5,580,7.7,975,6.3,777,7,1974,6.3,303,7,1610,8.7
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino,3260,7.3,2467,6.8,61,7.5,697,6.3,45,6.3,388,6,57,6.8,153,9.3,60,5.8,70,6.9,281,5.8,331,7,324,8.8
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,95,8.8,59,7.9,D,D,11,7,D,D,D,D,D,D,9,12.8,0,-,D,D,D,D,9,6.9,15,8
Asian,3699,7,3137,6.8,45,8.4,885,6.8,181,7.3,705,6.3,56,7.7,187,9.1,131,5.8,107,7,336,5.9,219,7,285,9
Black or African American,2596,9.7,1578,8,D,D,321,6.8,D,D,D,D,D,D,232,10,21,7.8,D,D,D,D,282,8.3,284,9.8
White,22279,7,17042,6.3,547,6.9,4434,6.2,459,6.8,2782,6,584,6.5,1153,9.8,628,5.8,497,6.8,2125,5.8,1919,6.8,1914,8.3
More than one race,1283,6.8,1050,6.2,27,7.8,324,6,21,6,174,5.8,29,6.1,58,9.7,41,5.8,24,6,111,5.8,139,6.8,102,7.8
Other race or race not reported,340,7.6,251,6.5,3,12.2,60,6.4,12,12.1,36,5.9,4,6.3,16,10.4,11,5.8,6,12.7,34,5.4,31,6.3,38,8.9
Ethnicity not reported,214,8.1,152,7,5,7.6,28,5.9,10,6.3,21,8.3,2,6.6,16,11.5,5,5.8,10,6.5,15,6.8,20,8.5,20,10.1
Years since entering doctoral programa,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctorate recipients reporting year of doctoral program entryb,52050,5.7,41586,5.6,1132,5,8995,5.8,2031,5.7,9615,5.3,1119,5.7,2415,5,1880,5.3,1560,5.3,4967,5.7,3270,5.9,4602,6
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,27340,5.7,23075,5.6,505,5,4083,5.8,1531,5.7,7068,5.3,620,5.5,690,5,1353,5.3,973,5.6,3271,5.8,759,5.9,2222,5.9
Female,24703,5.8,18504,5.7,627,5,4911,5.7,500,5.7,2547,5.3,498,5.8,1725,5,526,5.3,587,5.3,1695,5.3,2510,5.9,2378,6
Citizenship status,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,33211,5.8,25326,5.8,708,5,6668,5.8,745,5.8,4238,5.3,742,5.8,1791,5.3,877,5.7,763,5.7,2949,5.7,2897,5.9,2948,6.1
Temporary visa holder,17993,5.3,15637,5.3,405,4.8,2231,5.7,1236,5.4,5241,5.2,362,5.3,579,5,971,5.1,769,5.3,1955,5.6,297,5.7,1591,5.8
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino,3200,5.8,2419,5.8,57,5.3,685,5.8,43,5.9,381,5.3,57,5.8,149,5.2,59,5.3,68,5.3,275,5.5,323,6,322,6.3
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,92,5.8,59,6,D,D,11,6,D,D,D,D,D,D,9,5,0,-,D,D,D,D,9,6.9,15,6.2
