Table 3-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
"Median years to non-science and engineering research doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023",,,,,,,,,,,,,,
(Number and median years),,,,,,,,,,,,,,
Time to degree and demographic characteristic,All fields,,"Non-science and engineering, total",,Business,,Education,,Humanities,,Visual and performing arts,,Other non-science and engineering,
,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median
Years since bachelor's degree,,,,,,,,,,,,,,
Doctorate recipients reporting year of bachelor's degree,54429,8.6,11068,12.3,1398,10.5,3718,15.4,3130,11.4,765,11.3,2057,11.4
Sex,,,,,,,,,,,,,,
Male,28564,8.3,4505,12,765,10.3,1009,15,1596,11.6,327,10.3,808,11.4
Female,25858,9,6563,12.8,633,10.9,2709,15.6,1534,11.3,438,12,1249,11.3
Citizenship status,,,,,,,,,,,,,,
U.S. citizen or permanent resident,34922,8.8,8371,13,647,12.3,3219,16.2,2476,11.4,569,11.4,1460,12
Temporary visa holder,18754,8.3,2490,10.8,720,9.7,443,11.8,594,11.3,178,11.1,555,10.5
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,
Hispanic or Latino,3370,8.6,818,12.7,38,14.4,345,14.4,246,11.4,49,11.3,140,12
Not Hispanic or Latino,,,,,,,,,,,,,,
American Indian or Alaska Native,113,11.4,46,15.2,D,D,25,17.6,12,9.6,D,D,5,15.2
Asian,3765,8.3,569,12,119,10.3,174,14.3,128,12.4,38,10.2,110,11.4
Black or African American,2680,11.4,1047,15.1,D,D,585,16.3,145,13,D,D,231,13.8
White,22814,8.6,5412,13,384,12.4,1942,16.5,1790,11.3,423,11.6,873,11.6
More than one race,1291,8,236,12.3,15,17,76,14.4,74,11.3,16,8.2,55,11.6
Other race or race not reported,435,9.2,109,13,12,11.5,23,17,40,12.8,9,13,25,12.6
Ethnicity not reported,454,9.6,134,14.3,13,12.4,49,18,41,12,10,12.8,21,15
Years since entering graduate school,,,,,,,,,,,,,,
Doctorate recipients reporting year of graduate school entry,52827,7.2,10643,10,1328,8.8,3584,12.7,3009,9.8,744,9.3,1978,9.3
Sex,,,,,,,,,,,,,,
Male,27788,7,4339,9.8,730,8.8,972,12.8,1536,9.8,323,8.8,778,9.3
Female,25032,7.4,6304,10.3,598,8.8,2612,12.6,1473,9.3,421,9.8,1200,9.4
Citizenship status,,,,,,,,,,,,,,
U.S. citizen or permanent resident,33766,7.1,8030,10.8,611,9.8,3085,13.3,2381,9.8,553,9.4,1400,9.8
Temporary visa holder,18200,7.3,2385,9,688,8.2,415,9.3,576,9.9,174,9.3,532,8.8
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,
Hispanic or Latino,3260,7.3,793,10.6,36,13,333,11.9,240,9.8,48,10.5,136,9.7
Not Hispanic or Latino,,,,,,,,,,,,,,
American Indian or Alaska Native,95,8.8,36,12.3,D,D,21,12.8,8,8.8,D,D,D,D
Asian,3699,7,562,10.1,117,8.4,174,12,124,10.3,38,8.9,109,10.3
Black or African American,2596,9.7,1018,12.3,D,D,564,13.7,144,10,D,D,D,D
White,22279,7,5237,10.7,368,9.3,1875,13.7,1740,9.6,410,9.5,844,9.3
More than one race,1283,6.8,233,10.5,15,14.7,76,12.8,72,9.8,16,7.1,54,10.8
Other race or race not reported,340,7.6,89,11,8,9,20,15.3,33,9.8,8,9.9,20,10.4
Ethnicity not reported,214,8.1,62,10.5,5,7.8,22,11.5,20,10.3,9,10.3,6,12.2
Years since entering doctoral programa,,,,,,,,,,,,,,
Doctorate recipients reporting year of doctoral program entryb,52050,5.7,10464,5.9,1314,5,3523,5.6,2953,6.8,737,6.7,1937,5.8
Sex,,,,,,,,,,,,,,
Male,27340,5.7,4265,6,724,5,958,5.6,1501,6.8,320,6.3,762,5.8
Female,24703,5.8,6199,5.9,590,5,2565,5.7,1452,6.8,417,6.8,1175,5.8
Citizenship status,,,,,,,,,,,,,,
U.S. citizen or permanent resident,33211,5.8,7885,6,603,5,3029,5.8,2336,6.9,550,6.8,1367,5.8
Temporary visa holder,17993,5.3,2356,5.8,684,5,411,5.2,566,6.4,170,6.3,525,5.4
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,
Hispanic or Latino,3200,5.8,781,6.3,35,5,330,5.8,235,7,48,6.9,133,5.3
Not Hispanic or Latino,,,,,,,,,,,,,,
American Indian or Alaska Native,92,5.8,33,5.3,D,D,19,7.3,8,5.3,D,D,D,D
Asian,3638,5.8,553,5.9,113,5.7,173,5.3,122,7,38,6,107,5.7
Black or African American,2527,5.8,982,5.8,D,D,543,5.7,142,6.3,D,D,D,D
White,21955,5.8,5164,6,366,4.9,1850,5.7,1709,6.8,408,6.8,831,5.8
More than one race,1265,5.8,229,6.7,15,5.7,76,6.2,70,7,15,6.6,53,6
Other race or race not reported,325,5.8,83,6.8,8,6.6,16,6.8,32,7.1,8,7,19,5
Ethnicity not reported,209,5.8,60,5.8,5,3.8,22,4.5,18,7.8,9,10.1,6,5.7
