Table 4-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Research doctorate recipients' primary source of financial support, by broad field of doctorate, sex, citizenship status, ethnicity, and race: 2023",,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,
Field and primary source of support,Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
,,,,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,Male,Female,U.S. citizen or permanent resident,Temporary visa holder,,American Indian or Alaska Native,Asian,Black or African American,White,More than one race,Other race or race not reported,
All doctorate recipients (number),57862,30356,27499,35566,19393,3449,115,3828,2725,23057,1296,459,637
"All doctorate recipients reporting primary source of support, all fields (number)",51139,26849,24284,32973,17878,3178,92,3611,2507,21838,1263,314,170
Teaching assistantships,21.2,22,20.2,19.7,23.8,18.3,10.9,18.1,11.4,21.2,18.1,19.7,20
Research assistantships or traineeshipsb,35.6,40.5,30.1,28.8,48.1,22.7,6.5,35.9,16.1,30.1,29.9,28,15.3
"Fellowships, scholarships, or dissertation grants",24.6,22.7,26.6,26.7,20.7,35.3,42.4,30.2,26.7,24.6,30.6,27.7,29.4
Own resources,14.7,10.8,19.1,20.4,4.1,20.5,32.6,12.5,40.8,19.4,17.5,21.7,29.4
Employer or other sources,4,4,4,4.4,3.3,3.2,7.6,3.4,4.9,4.7,3.9,2.9,5.9
Science and engineering (number),40922,22695,18221,25160,15542,2409,58,3064,1534,16706,1034,233,122
Teaching assistantships,20.2,21,19.1,18.3,23.2,16.5,D,17.1,12.3,19.4,16.4,D,17.2
Research assistantships or traineeshipsb,41.5,46.1,35.8,34.9,52.2,27.3,D,39.5,21.1,36.7,34.8,D,18
"Fellowships, scholarships, or dissertation grants",24.2,21.5,27.5,28,18.1,38.9,53.4,29.9,31.3,25.4,32.3,27.5,34.4
Own resources,10.9,7.9,14.6,15.5,3.4,15.2,29.3,10.4,31.8,14.9,13.4,17.6,23.8
Employer or other sources,3.2,3.5,2.9,3.3,3,2.1,3.4,3.1,3.5,3.5,3,3.4,6.6
Agricultural sciences and natural resources (number),1118,498,620,705,407,58,D,44,D,537,27,3,4
Teaching assistantships,13.3,11.8,14.5,14.9,10.8,13.8,0,D,16.7,15.5,D,0,0
Research assistantships or traineeshipsb,53.3,55,51.9,46.4,65.1,34.5,0,50,50,47.5,44.4,33.3,50
"Fellowships, scholarships, or dissertation grants",18.1,17.9,18.2,19.3,16,36.2,0,D,D,17.3,25.9,33.3,25
Own resources,10.3,9,11.3,14.3,3.4,13.8,D,15.9,16.7,14.2,D,33.3,0
Employer or other sources,5,6.2,4,5.1,4.7,1.7,0,0,6.7,5.6,7.4,0,25
Biological and biomedical sciences (number),8843,4006,4836,6598,2210,680,11,860,311,4338,319,57,22
Teaching assistantships,13.4,14.4,12.6,12.4,16.2,10.3,0,7.4,7.1,14.5,8.2,7,13.6
Research assistantships or traineeshipsb,39.8,41.2,38.6,36.9,48.8,27.6,0,37.8,28.6,38.9,36.1,47.4,4.5
"Fellowships, scholarships, or dissertation grants",35.8,33.8,37.4,38.6,27.4,53.7,100,43.3,51.4,33.9,42.3,33.3,54.5
Own resources,8.5,8,8.9,9.9,4.4,7.2,0,8.8,11.9,10.3,11,10.5,18.2
Employer or other sources,2.5,2.6,2.4,2.2,3.3,1.2,0,2.7,1,2.4,2.5,1.8,9.1
Computer and information sciences (number),1994,1501,493,746,1228,43,D,175,D,448,21,9,8
Teaching assistantships,16,15.1,18.7,11.7,18.8,D,0,12.6,14.6,11.6,D,0,12.5
Research assistantships or traineeshipsb,57.2,59.4,50.5,47.1,63.4,D,0,56.6,D,48.7,33.3,55.6,62.5
"Fellowships, scholarships, or dissertation grants",15.5,14.6,18.5,19.6,13,44.2,D,D,34.1,17.6,33.3,11.1,0
Own resources,7.3,7.1,8.1,15.8,2,18.6,0,D,34.1,15.4,D,22.2,0
Employer or other sources,3.9,3.8,4.3,5.9,2.7,2.3,0,4,7.3,6.7,0,11.1,25
Engineering (number),9475,6968,2507,4215,5211,380,D,688,D,2730,171,32,16
