Table 4-3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"Research doctorate recipients' sources of financial support, by sex and broad field of doctorate: 2023",,,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,,
Sex and financial resource,All fields (number),All fields (percent),Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
All doctorate recipients reporting source of support,51181,100,80,2.2,17.3,3.9,18.5,2.2,4.6,3.6,3,9.6,6.2,8.9,20,2.5,6.7,5.7,1.4,3.7
Fellowship or scholarship,34305,100,79.4,2.2,18.6,3.2,17.1,2.4,4.1,3.4,2.9,8.9,5.8,10.7,20.6,2.7,5.1,7.1,1.9,3.8
Dissertation grant,9385,100,70.3,2.2,14.2,1.4,9,2.1,5.3,1.4,2.2,4.5,8,20,29.7,2.4,5.4,12.6,3.2,6.1
Assistantship,,,,,,,,,,,,,,,,,,,,
Teaching,35082,100,80.9,1.7,14.2,4.3,17.7,2.5,3.1,4.9,3.1,12.3,6.4,10.8,19.1,2.6,3.7,7.1,1.8,3.8
Research,35008,100,86.8,2.6,16.8,4.8,23,2.7,3.5,3.4,3.4,12.4,5.6,8.4,13.2,2.4,3.6,3.3,0.7,3.2
Other,4250,100,67.3,2,8.5,2.2,11.2,2.1,4,2.5,2.3,4.8,15.4,12.4,32.7,2.5,11.6,10,2.5,6
Traineeship,2053,100,95.9,1.1,49.6,1.4,12,0.8,7.5,1.4,1.9,4.8,10.4,5.1,4.1,0.3,1,1.4,0.3,1.1
Internship or clinical residency,6245,100,93.8,1,6.5,13.1,27.8,1.9,2.3,5.9,6,5.1,20.3,4,6.2,0.8,1.5,1.8,0.7,1.4
Loan (any source),10459,100,66.3,1.9,12.4,1.7,8.9,1.2,8.2,1.3,1.9,4.4,13.8,10.7,33.7,2.2,14.8,8.1,2.2,6.3
Personal sources,,,,,,,,,,,,,,,,,,,,
Savings,27389,100,76.2,2.2,17,3.4,15.2,2,5.3,3,2.9,7.3,7.9,10,23.8,3,8.4,6.3,1.7,4.4
Other earnings during graduate school,15317,100,66.9,2.2,13.3,2.3,9.8,1.7,7.1,2.4,2.3,4.6,9.7,11.7,33.1,2.1,13.2,9.4,2.7,5.6
"Spouse's, partner's, or family's earnings or savings",20751,100,76.4,1.9,17.5,3.1,15.2,2,5.2,2.9,2.7,7.3,8.9,9.7,23.6,3,7.6,6.9,1.8,4.3
Employer reimbursement or assistance,5229,100,67.4,2.2,12.9,4,13.2,2.1,9.7,2.6,2.7,5.4,5.1,7.4,32.6,3,18.2,5.5,0.8,5.2
Foreign (non-U.S.) support,2280,100,77.5,3.1,12.3,4.8,22.7,2.6,5.4,3.3,3.4,6.4,1.6,11.8,22.5,3.2,5.9,6.1,2.2,5.1
Other ,553,100,71.4,2.4,14.3,4.3,8.7,2.2,8.5,2.2,3.4,5.2,10.3,9.9,28.6,3.6,10.3,6.7,2.4,5.6
Male doctorate recipients reporting source of support,26872,100,84.5,1.9,14.9,5.6,26,2.3,2.5,4.9,3.5,12,2.7,8.2,15.5,2.6,3.4,5.5,1.2,2.8
