Table 4-5,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
"Education-related debt of research doctorate recipients, by sex, citizenship status, ethnicity, and race: 2023",,,,,,,,,,,,,,,,,,,,,,,,
"(Median debt, number, and percent)",,,,,,,,,,,,,,,,,,,,,,,,
Debt level,Sex,,,,Citizenship status,,,,U.S. citizens and permanent residents,,,,,,,,,,,,,,,
,,,,,,,,,Hispanic or Latino, ,Not Hispanic or Latino,,,,,,,,,,,,Ethnicity not reported,
,Male,,Female,,U.S. citizen or permanent resident,,Temporary visa holder,,, ,American Indian or Alaska Native,,Asian,,Black or African American,,White,,More than one race,,Other race or race not reported,,,
Cumulative debt,,,,,,,,,,,,,,,,,,,,,,,,
All reporting education-related debt (number),27392,,24636,,33627,,18122,,3250,,94,,3689,,2589,,22225,,1283,,330,,167,
Median debt (dollars),35000,,45000,,45000,,15000,,45000,,60000,,25000,,95000,,40000,,40000,,45000,,50000,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
No debt,17839,65.1,14382,58.4,17394,51.7,14653,80.9,1387,42.7,37,39.4,2648,71.8,576,22.2,11819,53.2,644,50.2,186,56.4,97,58.1
"$10,000 or less",1987,7.3,1676,6.8,2289,6.8,1354,7.5,271,8.3,5,5.3,243,6.6,133,5.1,1512,6.8,88,6.9,21,6.4,16,9.6
"$10,001–$20,000",1392,5.1,1334,5.4,2143,6.4,571,3.2,233,7.2,6,6.4,175,4.7,120,4.6,1487,6.7,100,7.8,12,3.6,10,6
"$20,001–$30,000",1223,4.5,1166,4.7,1970,5.9,410,2.3,239,7.4,5,5.3,150,4.1,131,5.1,1344,6,75,5.8,20,6.1,6,3.6
"$30,001–$40,000",868,3.2,821,3.3,1460,4.3,223,1.2,162,5,D,D,D,D,134,5.2,999,4.5,59,4.6,17,5.2,1,0.6
"$40,001–$50,000",604,2.2,593,2.4,1014,3,179,1,102,3.1,5,5.3,56,1.5,97,3.7,706,3.2,37,2.9,8,2.4,3,1.8
"$50,001–$60,000",471,1.7,486,2,804,2.4,147,0.8,83,2.6,D,D,D,D,96,3.7,532,2.4,28,2.2,7,2.1,4,2.4
"$60,001–$70,000",391,1.4,450,1.8,740,2.2,91,0.5,83,2.6,5,5.3,34,0.9,99,3.8,488,2.2,25,1.9,5,1.5,1,0.6
"$70,001–$80,000",327,1.2,417,1.7,667,2,73,0.4,74,2.3,D,D,D,D,88,3.4,446,2,24,1.9,2,0.6,4,2.4
"$80,001–$90,000",338,1.2,364,1.5,653,1.9,47,0.3,64,2,0,0,32,0.9,83,3.2,450,2,18,1.4,4,1.2,2,1.2
"$90,001–$100,000",381,1.4,467,1.9,772,2.3,67,0.4,78,2.4,D,D,D,D,111,4.3,493,2.2,35,2.7,10,3,1,0.6
"$100,001–$120,000",351,1.3,542,2.2,796,2.4,93,0.5,94,2.9,D,D,D,D,169,6.5,453,2,21,1.6,10,3,5,3
"$120,001–$140,000",273,1,402,1.6,619,1.8,53,0.3,94,2.9,D,D,D,D,113,4.4,347,1.6,29,2.3,5,1.5,3,1.8
"$140,001–$160,000",218,0.8,322,1.3,484,1.4,57,0.3,68,2.1,D,D,D,D,118,4.6,257,1.2,18,1.4,3,0.9,3,1.8
"$160,001 or more",729,2.7,1214,4.9,1822,5.4,104,0.6,218,6.7,10,10.6,68,1.8,521,20.1,892,4,82,6.4,20,6.1,11,6.6
Graduate debt,,,,,,,,,,,,,,,,,,,,,,,,
All reporting graduate debt (number),27359,,24599,,33593,,18096,,3246,,94,,3688,,2580,,22206,,1283,,330,,166,
Median debt (dollars),25000,,45000,,45000,,15000,,45000,,45000,,25000,,75000,,45000,,45000,,45000,,55000,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
No debt,20968,76.6,17143,69.7,22713,67.6,15205,84,1916,59,46,48.9,3021,81.9,894,34.7,15627,70.4,866,67.5,228,69.1,115,69.3
