Table 5-4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Baccalaureate-origin institution characteristics of research doctorate recipients, by broad field of doctorate: 2023",,,,,,,,,,,,,,,,,,,
(Number),,,,,,,,,,,,,,,,,,,
Baccalaureate-origin institution characteristics,All fields,Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
Doctorate recipients reporting bachelor's degree,54618,43483,1209,9285,2165,10115,1159,2522,1973,1623,5185,3483,4764,11135,1410,3742,3145,769,2069
U.S. baccalaureate-origin institutions,34884,26699,736,6982,787,4404,748,1860,1003,799,3215,3172,2993,8185,664,3148,2402,572,1399
Institution control,,,,,,,,,,,,,,,,,,,
Public,21184,16344,568,4201,440,3067,485,1177,559,469,1852,1829,1697,4840,415,2120,1152,266,887
"Private, not-for-profit",13539,10247,165,2774,342,1331,263,657,443,329,1361,1296,1286,3292,238,1010,1241,305,498
"Private, for-profit",125,86,1,3,3,4,0,22,0,1,1,41,10,39,9,10,6,1,13
2021 Carnegie Classification,,,,,,,,,,,,,,,,,,,
R1: doctoral universities - very high research,18771,15190,443,3975,511,3170,417,867,587,487,1671,1476,1586,3581,359,1323,979,282,638
R2: doctoral universities - high research,4493,3227,82,812,95,496,95,293,84,101,373,428,368,1266,104,568,313,64,217
Doctoral/ professional universities,1641,1100,17,276,22,84,25,150,32,31,136,224,103,541,41,231,165,19,85
Master's colleges and universities,4942,3468,99,881,76,353,86,321,157,79,491,543,382,1474,93,625,405,79,272
Baccalaureate colleges,4550,3383,85,966,75,244,122,165,138,93,522,456,517,1167,56,346,492,110,163
Other universities,487,331,10,72,8,57,3,64,5,8,22,45,37,156,11,55,48,18,24
Historically Black college or university,,,,,,,,,,,,,,,,,,,
Yes ,622,387,17,78,15,47,2,46,7,19,25,60,71,235,16,142,23,3,51
No,34226,26290,717,6900,770,4355,746,1810,995,780,3189,3106,2922,7936,646,2998,2376,569,1347
Non-U.S. baccalaureate-origin institutions,19315,16459,466,2252,1360,5614,403,643,952,808,1941,291,1729,2856,727,561,726,193,649
Top countries or economies,13848,12094,235,1616,1128,4414,290,439,726,614,1429,213,990,1754,581,332,329,114,398
Chinaa,5939,5304,105,756,500,1749,156,134,455,259,754,78,358,635,251,122,76,39,147
India,2774,2590,62,392,275,1051,33,107,95,140,289,25,121,184,89,17,25,10,43
Iran,1210,1113,16,82,122,610,21,15,18,67,102,7,53,97,49,12,D,D,22
South Korea,1031,708,13,54,31,226,10,31,42,27,51,33,190,323,102,57,59,15,90
Bangladesh,628,596,9,57,70,297,D,22,11,33,58,D,28,32,15,D,D,0,12
Canada,510,381,7,75,19,63,21,20,21,19,41,34,61,129,19,13,58,20,19
Taiwan,503,449,6,81,30,149,13,23,22,21,70,7,27,54,11,12,13,6,12
Saudi Arabia,468,355,D,28,42,106,D,71,23,15,24,5,32,113,13,55,11,5,29
Turkey,408,326,9,34,25,118,7,D,11,22,20,D,65,82,23,D,15,D,10
United Kingdom,377,272,D,57,14,45,16,D,28,11,20,10,55,105,9,8,60,14,14
