Table 5-5,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Educational attainment of research doctorate recipients' parents, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023",,,,,,,,
(Percent),,,,,,,,
Demographic characteristic and field,Total (number),Highest level of parental education (%),,,,,,
,,All,High school or less,Some collegea,Bachelor's degree,Master's degree,Professional doctorateb,Research doctoral degree
Doctorate recipients reporting parental education (number),49708,49708,8621,6553,13498,11102,4298,5636
Highest level of parental education,49708,100,17.3,13.2,27.2,22.3,8.6,11.3
Sex,,,,,,,,
Male,26048,100,18.3,12.3,27.9,21.9,8.3,11.2
Female,23655,100,16.2,14.1,26.3,22.8,9,11.5
Citizenship status,,,,,,,,
U.S. citizen or permanent resident,32492,100,14.2,14.2,24.4,24.3,10.7,12.1
Temporary visa holder,17193,100,23.3,11.2,32.3,18.6,4.8,9.9
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,
Hispanic or Latino,3128,100,28.6,16.9,21.7,17.3,7.5,8
Not Hispanic or Latino,,,,,,,,
American Indian or Alaska Native,91,100,23.1,23.1,24.2,23.1,D,D
Asian,3537,100,16.9,10,21.5,22,8,21.6
Black or African American,2416,100,23.6,25.4,18,20.8,5.5,6.6
White,21710,100,10.7,13.3,26,26.2,12.2,11.6
More than one race,1243,100,11.8,13.1,23.5,23.4,11.7,16.4
Other race or race not reported,272,100,13.6,11,26.1,25,D,D
Ethnicity not reported,95,100,14.7,18.9,22.1,24.2,7.4,12.6
Field of doctorate,,,,,,,,
Science and engineering ,39753,100,16.9,12.5,28,22.5,8.7,11.4
Agricultural sciences and natural resources,1084,100,19.2,14.9,24.9,21.2,8.9,10.8
Biological and biomedical sciences,8689,100,15.2,12.7,27,23.4,10.4,11.4
Computer and information sciences,1905,100,18.8,11.5,28.6,21.3,6.9,12.9
Engineering,9180,100,17.1,10.7,30.6,22.9,6.7,12.1
"Geosciences, atmospheric, and ocean sciences",1082,100,15.8,12.6,28.2,23.2,9.3,10.9
Health sciences,2294,100,20.1,15.9,25.6,22.1,8,8.3
Mathematics and statistics,1766,100,17.7,10.4,30.1,22.7,7.5,11.7
Multidisciplinary/ interdisciplinary sciences,1471,100,15.6,11.4,28.5,24,7.7,12.8
Physical sciences,4768,100,17.8,12.8,29.9,21.7,7.7,10.1
Psychology,3111,100,15.4,15.7,25.2,22.4,12,9.3
Social sciences,4403,100,17.1,12.9,25.4,21.3,9.7,13.5
Non-science and engineering,9955,100,19.1,15.8,23.7,21.6,8.6,11.1
Business,1228,100,19.1,13.5,27,20,6.3,14.1
Education,3364,100,23.4,19.7,20.9,20.7,6.8,8.4
Humanities,2834,100,15.8,12.9,25.1,23,11.6,11.5
Visual and performing arts,703,100,12.2,11,23,26.5,12.4,14.9
Other non-science and engineering,1826,100,19.1,16.5,25,20.3,7.2,11.9
