Table 6-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"U.S. citizen and permanent resident research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2023",,,,,,,,,
(Number),,,,,,,,,
Field of doctorate,U.S. citizen and permanent resident doctorate recipients,Doctorate recipients with definite commitments,Location of definite commitments,,,,,,
,,,United States,,,,,Abroad,Unknown
,,,Total,Postdoctoral study,Academic employment,Industry employmenta,Otherb,,
U.S. citizens and permanent residents reporting postgraduation plans,35566,24352,23695,8120,5992,5732,3851,650,7
Science and engineering,27010,18532,18017,7409,3121,5190,2297,512,3
Agricultural sciences and natural resources,778,529,512,173,109,127,103,17,0
"Agricultural, animal, plant, and veterinary sciences",497,323,313,102,67,98,46,10,0
Natural resources and conservation,281,206,199,71,42,29,57,7,0
Biological and biomedical sciences,7004,4446,4334,2416,495,1087,336,111,1
"Biochemistry, biophysics, and molecular biology",1031,621,612,318,58,211,25,9,0
"Bioinformatics, biostatistics, and computational biology",411,269,264,76,39,123,26,5,0
"Biological and biomedical sciences, general",623,365,356,D,D,79,28,9,0
Cell/ cellular biology and anatomy,546,310,303,D,D,73,8,7,0
"Ecology, evolutionary biology, and epidemiology",907,665,638,354,92,71,121,27,0
Genetics and genomics,359,212,D,132,D,48,12,D,0
Microbiology and immunology,845,525,513,322,D,D,24,11,1
Neurobiology and neurosciences,947,609,596,388,D,D,27,13,0
Pharmacology and toxicology,295,185,D,88,D,75,12,D,0
"Physiology, oncology, and cancer biology",580,380,372,187,62,104,19,8,0
"Biological and biomedical sciences, other",460,305,292,162,53,43,34,13,0
Computer and information sciences,820,579,559,93,121,277,68,19,1
Computer science,554,393,D,62,82,197,D,D,0
"Computer and information sciences, other",266,186,D,31,39,80,D,D,1
Engineering,4542,3076,3008,775,267,1563,403,67,1
"Aerospace, aeronautical, astronautical, and space engineering",322,241,D,38,D,98,71,D,0
"Biological, biomedical, and biosystems engineering",860,515,503,207,32,239,25,12,0
Chemical and petroleum engineering,600,396,386,98,14,261,13,10,0
"Civil, environmental, and transportation engineering",444,301,296,76,33,134,53,5,0
Electrical and computer engineering,586,422,417,65,32,253,67,5,0
Engineering technologies,123,78,D,D,9,43,9,D,0
Industrial engineering and operations research,233,175,D,D,29,81,38,D,0
Materials and mining engineering,417,294,281,D,D,146,32,13,0
Mechanical engineering,634,428,417,104,48,209,56,11,0
"Engineering, other",323,226,D,60,D,99,39,D,1
"Geosciences, atmospheric, and ocean sciences",773,586,572,343,64,85,80,14,0
Geological and earth sciences,412,311,305,165,D,D,42,6,0
"Ocean, marine, and atmospheric sciences",361,275,267,178,D,D,38,8,0
Health sciences,1953,1343,1329,345,480,251,253,14,0
Nursing and nursing science,517,364,D,50,D,D,82,D,0
Pharmacy and pharmaceutical sciences,204,125,125,54,D,D,2,0,0
Public health,578,411,404,136,108,54,106,7,0
"Health sciences, other",654,443,D,105,180,D,63,D,0
Mathematics and statistics,929,671,629,254,149,174,52,42,0
Applied mathematics,240,172,165,73,22,53,17,7,0
Mathematics,495,344,314,146,93,58,17,30,0
Statistics,194,155,150,35,34,63,18,5,0
Multidisciplinary/ interdisciplinary sciences,826,562,549,158,122,198,71,13,0
Interdisciplinary computer sciences,230,175,D,36,35,86,D,D,0
"Multidisciplinary/ interdisciplinary sciences, other",596,387,D,122,87,112,D,D,0
Physical sciences,3142,2135,2038,875,163,848,152,97,0
Astronomy and astrophysics,215,172,D,112,D,17,10,D,0
