Table 6-5,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Male research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2023",,,,,,,,,
(Number),,,,,,,,,
Field of doctorate,Male doctorate recipients,Doctorate recipients with definite commitments,Location of definite commitments,,,,,,
,,,United States,,,,,Abroad,Unknown
,,,Total,Postdoctoral study,Academic employment,Industry employmenta,Otherb,,
Male doctorate recipients reporting postgraduation commitments,30356,20270,18335,6564,3238,6659,1874,1922,13
Science and engineering,25480,17190,15608,6143,1822,6377,1266,1573,9
Agricultural sciences and natural resources,572,382,353,168,60,81,44,29,0
"Agricultural, animal, plant, and veterinary sciences",371,248,224,111,36,60,17,24,0
Natural resources and conservation,201,134,129,57,24,21,27,5,0
Biological and biomedical sciences,4433,2780,2649,1571,216,718,144,131,0
"Biochemistry, biophysics, and molecular biology",780,497,481,276,27,165,13,16,0
"Bioinformatics, biostatistics, and computational biology",413,279,271,95,25,132,19,8,0
"Biological and biomedical sciences, general",370,202,191,123,19,37,12,11,0
Cell/ cellular biology and anatomy,313,165,157,102,18,34,3,8,0
"Ecology, evolutionary biology, and epidemiology",447,314,287,173,31,42,41,27,0
Genetics and genomics,225,127,D,76,D,32,8,D,0
Microbiology and immunology,495,313,304,207,16,73,8,9,0
Neurobiology and neurosciences,524,321,308,207,12,76,13,13,0
Pharmacology and toxicology,180,115,D,56,D,42,8,D,0
"Physiology, oncology, and cancer biology",413,262,251,149,36,58,8,11,0
"Biological and biomedical sciences, other",273,185,167,107,22,27,11,18,0
Computer and information sciences,1710,1214,1109,204,170,666,69,102,3
Computer science,1234,885,809,145,114,508,42,75,1
"Computer and information sciences, other",476,329,300,59,56,158,27,27,2
Engineering,7873,5264,4850,1411,297,2768,374,413,1
"Aerospace, aeronautical, astronautical, and space engineering",489,346,328,80,34,149,65,18,0
"Biological, biomedical, and biosystems engineering",743,437,420,187,27,189,17,17,0
Chemical and petroleum engineering,889,597,543,165,9,355,14,54,0
"Civil, environmental, and transportation engineering",863,579,516,185,40,242,49,63,0
Electrical and computer engineering,1719,1219,1110,195,58,776,81,109,0
Engineering technologies,317,212,189,53,9,121,6,23,0
Industrial engineering and operations research,436,299,272,56,35,151,30,27,0
Materials and mining engineering,649,436,402,144,10,227,21,34,0
Mechanical engineering,1277,824,770,248,54,413,55,54,0
"Engineering, other",491,315,300,98,21,145,36,14,1
"Geosciences, atmospheric, and ocean sciences",668,491,445,281,39,79,46,45,1
Geological and earth sciences,384,281,252,139,26,56,31,28,1
"Ocean, marine, and atmospheric sciences",284,210,193,142,13,23,15,17,0
Health sciences,789,529,476,188,100,126,62,53,0
Nursing and nursing science,69,47,39,5,D,D,10,8,0
Pharmacy and pharmaceutical sciences,211,145,129,56,D,D,4,16,0
Public health,218,154,139,67,25,20,27,15,0
"Health sciences, other",291,183,169,60,51,37,21,14,0
Mathematics and statistics,1480,1030,890,377,142,318,53,139,1
Applied mathematics,342,249,227,102,18,92,15,22,0
Mathematics,703,446,357,199,79,63,16,89,0
Statistics,435,335,306,76,45,163,22,28,1
Multidisciplinary/ interdisciplinary sciences,1044,762,701,193,106,352,50,60,1
Interdisciplinary computer sciences,409,307,289,64,42,162,21,17,1
"Multidisciplinary/ interdisciplinary sciences, other",635,455,412,129,64,190,29,43,0
Physical sciences,3594,2410,2179,1052,117,918,92,231,0
Astronomy and astrophysics,219,170,143,D,D,22,8,27,0
Chemistry,1550,1031,964,415,56,458,35,67,0
Materials sciences,248,164,157,D,D,82,8,7,0
Physics,1577,1045,915,473,45,356,41,130,0
Psychology,885,581,557,291,103,87,76,24,0
Clinical psychology,242,183,D,144,14,D,16,D,0
Counseling and applied psychology,288,194,184,65,37,39,43,10,0
Research and experimental psychology,245,158,D,63,40,D,13,D,0
"Psychology, other",110,46,D,19,12,D,4,D,0
Social sciences,2432,1747,1399,407,472,264,256,346,2
Anthropology,134,82,64,27,24,10,3,18,0
"Area, ethnic, cultural, gender, and group studies",155,96,85,38,37,0,10,11,0
Economics,907,712,520,110,145,162,103,191,1
Political science and government,384,272,236,85,92,24,35,36,0
Public policy analysis,161,109,97,18,21,18,40,11,1
"Sociology, demography, and population studies",240,180,154,59,66,10,19,26,0
"Social sciences, other",451,296,243,70,87,40,46,53,0
Non-science and engineering,4876,3080,2727,421,1416,282,608,349,4
Business,822,608,507,45,337,82,43,99,2
Business administration and management,265,166,137,14,76,31,16,28,1
"Business, other",557,442,370,31,261,51,27,71,1
Education,1089,735,694,61,324,53,256,41,0
Education leadership and administration,396,296,280,16,122,14,128,16,0
Education research,317,200,190,17,83,31,59,10,0
Teacher education and teaching fields,273,179,D,19,90,D,52,D,0
"Education, other",103,60,D,9,29,D,17,D,0
Humanities,1731,1008,885,218,416,56,195,122,1
"English language and literature, letters",420,245,225,37,134,21,33,19,1
"Foreign languages, literatures, and linguistics",233,125,D,25,66,D,17,D,0
History,404,236,211,69,83,5,54,25,0
Philosophy and religious studies,397,250,208,77,82,15,34,42,0
"Humanities, other",277,152,D,10,51,D,57,D,0
Visual and performing arts,356,181,160,20,95,25,20,21,0
Performing arts,257,120,109,7,67,20,15,11,0
"Visual arts, media studies, and design",99,61,51,13,28,5,5,10,0
Other non-science and engineering,878,548,481,77,244,66,94,66,1
Communications and journalism,247,161,144,23,96,14,11,17,0
Multidisciplinary/ interdisciplinary studies,160,94,84,11,43,8,22,10,0
Public administration and social services,143,96,85,14,27,15,29,11,0
"Non-science and engineering, other",328,197,168,29,78,29,32,28,1
