Table 7-3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Top 20 doctorate-granting institutions ranked by total number of research doctorate recipients, by broad field of doctorate and sex: 2023",,,,
(Number),,,,
Field and institution,Rank,Totala,Male,Female
Science and engineering,-,45973,25480,20486
From top 20 institutions,-,12641,7552,5086
"U. Michigan, Ann Arbor",1,764,448,316
"Texas A&M U., College Station",2,714,463,251
"U. California, Berkeley",3,713,432,281
"Purdue U., West Lafayette",4,710,467,243
Stanford U.,5,694,423,271
Massachusetts Institute of Technology,6,645,432,213
U. Florida,7,610,352,258
"U. Washington, Seattle",8,608,315,293
"U. Illinois, Urbana-Champaign",9,606,375,231
U. Wisconsin-Madison,10,602,354,248
"U. California, Los Angeles",11,597,357,240
"U. Texas, Austin",12,593,362,230
Harvard U.,13,579,302,277
"Ohio State U., Columbus",14,576,340,236
"U. Minnesota, Twin Cities",14,576,302,273
"U. California, Davis",16,556,290,266
Pennsylvania State U.,17,545,310,234
Georgia Institute of Technology,18,510,357,153
Johns Hopkins U.,19,485,265,220
"U. California, San Diego",20,479,320,159
"U. Maryland, College Park",20,479,286,193
 Agricultural sciences and natural resources,-,1278,572,706
From top 20 institutions,-,725,331,394
U. Florida,1,65,37,28
U. Georgia,2,54,22,32
Cornell U.,3,52,20,32
"Texas A&M U., College Station",3,52,26,26
North Carolina State U.,5,49,23,26
Iowa State U.,6,42,20,22
"U. California, Davis",7,39,16,23
Virginia Polytechnic Institute and State U.,8,38,16,22
"U. Illinois, Urbana-Champaign",9,34,15,19
Oregon State U.,10,33,13,20
"U. Minnesota, Twin Cities",11,31,11,20
"Purdue U., West Lafayette",12,29,16,13
Mississippi State U.,13,28,17,11
"Ohio State U., Columbus",13,28,9,19
U. Wisconsin-Madison,13,28,13,15
Kansas State U.,16,26,9,17
"U. Nebraska, Lincoln",16,26,14,12
"Louisiana State U., Baton Rouge",18,24,13,11
Texas Tech U.,18,24,15,9
Michigan State U.,20,23,6,17
 Biological and biomedical sciences,-,9724,4433,5290
From top 20 institutions,-,2818,1305,1513
Harvard U.,1,207,103,104
Johns Hopkins U.,2,185,76,109
"U. California, Davis",3,174,69,105
"U. Washington, Seattle",4,163,76,87
"U. North Carolina, Chapel Hill",5,162,61,101
U. Pennsylvania,6,156,68,88
"U. Michigan, Ann Arbor",7,150,67,83
U. Wisconsin-Madison,8,145,70,75
U. Florida,9,144,77,67
"U. California, Berkeley",10,134,72,62
"U. California, Los Angeles",10,134,66,68
Stanford U.,12,130,64,66
"U. Minnesota, Twin Cities",12,130,53,77
Yale U.,14,121,63,58
Columbia U. in the City of New York,15,119,49,70
"Texas A&M U., College Station",16,114,49,65
"U. California, San Diego",16,114,74,40
Vanderbilt U.,16,114,54,60
"U. Pittsburgh, Pittsburgh",19,113,44,69
U. Georgia,20,109,50,59
 Computer and information sciences,-,2297,1710,587
From top 20 institutions,-,822,628,194
Massachusetts Institute of Technology,1,64,56,8
Stanford U.,2,53,35,18
"U. California, Berkeley",3,50,44,6
Carnegie Mellon U.,4,48,37,11
"Purdue U., West Lafayette",5,45,38,7
U. Southern California,6,44,32,12
"U. Illinois, Urbana-Champaign",7,41,27,14
"U. Maryland, College Park",8,39,26,13
Georgia Institute of Technology,9,35,28,7
Princeton U.,9,35,27,8
Johns Hopkins U.,11,34,31,3
U. Central Florida,12,32,21,11
Cornell U.,13,30,20,10
"U. Texas, Austin",13,30,24,6
"U. California, San Diego",15,29,24,5
"U. Washington, Seattle",15,29,21,8
"U. California, Irvine",17,27,21,6
U. Chicago,17,27,19,8
George Mason U.,19,26,20,6
"Indiana U., Bloomington",19,26,19,7
Northeastern U.,19,26,21,5
"U. California, Los Angeles",19,26,21,5
"U. Michigan, Ann Arbor",19,26,16,10
 Engineering,-,10724,7873,2851
From top 20 institutions,-,3919,2911,1008
"Purdue U., West Lafayette",1,327,244,83
Georgia Institute of Technology,2,305,221,84
"Texas A&M U., College Station",3,299,246,53
Massachusetts Institute of Technology,4,252,170,82
"U. Michigan, Ann Arbor",5,237,174,63
Stanford U.,6,217,140,77
"U. Illinois, Urbana-Champaign",7,215,165,50
Virginia Polytechnic Institute and State U.,8,211,151,60
"U. Texas, Austin",9,210,168,42
North Carolina State U.,10,173,118,55
"U. California, Berkeley",11,162,106,56
"Ohio State U., Columbus",12,161,126,35
Pennsylvania State U.,13,158,129,29
Carnegie Mellon U.,14,153,113,40
"U. California, Los Angeles",15,145,119,26
"U. California, San Diego",15,145,114,31
"U. Maryland, College Park",17,144,106,38
"Arizona State U., Tempe",18,140,104,36
U. Florida,18,140,100,40
U. Wisconsin-Madison,20,125,97,28
" Geosciences, atmospheric, and ocean sciences",-,1216,668,547
From top 20 institutions,-,466,243,222
"Texas A&M U., College Station",1,41,25,16
"U. California, San Diego",2,39,16,23
"U. Texas, Austin",3,31,14,17
"U. Washington, Seattle",4,28,12,16
Massachusetts Institute of Technology,5,27,12,15
U. Colorado Boulder,6,23,11,12
U. Arizona,7,21,9,12
Colorado School of Mines,8,19,13,6
"Colorado State U., Fort Collins",8,19,7,12
"U. California, Los Angeles",8,19,13,6
"U. Michigan, Ann Arbor",8,19,8,11
Columbia U. in the City of New York,12,18,14,4
Stanford U.,12,18,10,8
U. Houston,12,18,12,6
Stony Brook U.,15,17,9,8
U. Utah,15,17,12,4
Pennsylvania State U.,17,16,11,5
U. Southern California,17,16,8,8
"U. California, Berkeley",19,15,7,8
"U. California, Santa Cruz",19,15,9,6
"U. Hawaii, Manoa",19,15,5,10
"U. Maryland, College Park",19,15,6,9
 Health sciences,-,2746,789,1957
From top 20 institutions,-,921,281,640
Walden U.,1,130,26,104
"U. Washington, Seattle",2,64,18,46
"U. North Carolina, Chapel Hill",3,57,14,43
U. Florida,4,51,14,37
Johns Hopkins U.,5,50,10,40
Texas Woman's U.,6,48,4,44
"U. Minnesota, Twin Cities",7,47,20,27
U. Wisconsin-Madison,8,44,23,21
Harvard U.,9,39,10,29
"U. Pittsburgh, Pittsburgh",10,38,8,30
"U. Texas Health Science Center, Houston",11,37,15,22
"Ohio State U., Columbus",12,36,11,25
"U. Michigan, Ann Arbor",13,35,14,21
"U. Mississippi, Oxford",14,34,20,14
"U. Texas, Austin",15,32,13,19
"U. Illinois, Chicago",16,31,7,24
U. Iowa,17,30,11,19
"U. Nebraska, Medical Center",17,30,12,18
