Table 7-5,Unnamed: 1,Unnamed: 2
"Top 20 doctorate-granting institutions, ranked by number of research doctorate recipients holding temporary visas: 2023",,
(Number),,
Institution,Rank,Doctorate recipients
All institutions (459 institutions),-,19393
From top 20 institutions,-,5471
"Purdue U., West Lafayette",1,448
"U. Illinois, Urbana-Champaign",2,390
"Texas A&M U., College Station",3,375
U. Florida,4,324
"Ohio State U., Columbus",5,316
"U. Michigan, Ann Arbor",6,315
Massachusetts Institute of Technology,7,272
Georgia Institute of Technology,8,263
U. Wisconsin-Madison,9,249
"U. California, Los Angeles",10,242
U. Southern California,11,241
Columbia U. in the City of New York,12,236
"U. Minnesota, Twin Cities",13,233
"Arizona State U., Tempe",14,230
Harvard U.,14,230
North Carolina State U.,16,229
"U. California, Berkeley",17,228
Cornell U.,18,223
"U. Texas, Austin",19,214
"U. Maryland, College Park",20,213
