Table 7-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"State or location of doctorate institution ranked by total number of research doctorate recipients, by field of doctorate and sex: 2023",,,,,,,,,,
(Number),,,,,,,,,,
State or location,Rank,Totala,Male,Female,Science and engineering,,,Non-science and engineering,,
,,,,,Total,Male,Female,Total,Male,Female
California,1,6775,3670,3105,5703,3227,2476,1072,443,629
Texas,2,4525,2462,2062,3495,2028,1466,1030,434,596
New York,3,4336,2285,2050,3401,1884,1516,935,401,534
Massachusetts,4,3113,1686,1427,2609,1453,1156,504,233,271
Pennsylvania,5,2725,1427,1297,2177,1188,988,548,239,309
Illinois,6,2478,1317,1161,1908,1057,851,570,260,310
Florida,7,2426,1250,1176,1832,1022,810,594,228,366
Michigan,8,1980,1070,910,1585,920,665,395,150,245
North Carolina,9,1953,998,955,1591,845,746,362,153,209
Ohio,10,1921,991,930,1468,827,641,453,164,289
Indiana,11,1656,971,685,1318,817,501,338,154,184
Virginia,12,1630,835,795,1289,734,555,341,101,240
Georgia,13,1599,809,790,1273,689,584,326,120,206
Maryland,14,1463,786,677,1225,685,540,238,101,137
Minnesota,15,1369,549,819,1001,428,572,368,121,247
New Jersey,16,1189,625,564,923,523,400,266,102,164
Colorado,17,1149,571,578,938,489,449,211,82,129
Wisconsin,18,1055,549,506,814,460,354,241,89,152
Arizona,19,1044,550,493,826,471,354,218,79,139
Tennessee,20,998,514,484,775,432,343,223,82,141
Washington,21,985,501,484,831,438,393,154,63,91
Missouri,22,962,526,436,723,398,325,239,128,111
Connecticut,23,799,438,361,659,377,282,140,61,79
Alabama,24,762,380,382,609,316,293,153,64,89
Iowa,25,741,415,326,609,353,256,132,62,70
Louisiana,26,630,301,329,462,238,224,168,63,105
Utah,27,583,324,258,496,289,206,87,35,52
South Carolina,28,581,314,267,443,261,182,138,53,85
Kansas,29,553,265,288,418,215,203,135,50,85
Oregon,30,542,272,270,443,230,213,99,42,57
District of Columbia,31,521,226,295,374,164,210,147,62,85
Kentucky,32,499,265,234,352,183,169,147,82,65
Oklahoma,32,499,291,208,358,216,142,141,75,66
Mississippi,34,463,215,248,308,149,159,155,66,89
Nebraska,35,373,181,192,298,151,147,75,30,45
Rhode Island,36,337,192,145,292,169,123,45,23,22
Nevada,37,278,138,140,233,129,104,45,9,36
New Mexico,38,262,150,112,197,120,77,65,30,35
Delaware,39,261,143,118,237,135,102,24,8,16
West Virginia,40,245,107,138,180,86,94,65,21,44
Arkansas,41,219,124,95,176,104,72,43,20,23
Puerto Rico,42,205,78,127,146,50,96,59,28,31
New Hampshire,43,187,92,95,171,85,86,16,7,9
North Dakota,44,177,98,79,144,83,61,33,15,18
Hawaii,45,164,69,95,112,56,56,52,13,39
Montana,46,138,68,70,109,60,49,29,8,21
Idaho,47,137,73,64,115,69,46,22,D,D
South Dakota,48,116,66,50,104,58,46,12,D,D
Wyoming,49,93,51,42,79,47,32,14,D,D
Vermont,50,66,28,37,59,27,31,7,D,D
Maine,51,65,32,33,53,28,25,12,D,D
Alaska,52,35,18,17,32,17,15,3,D,D
