Table 7-7,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Top 10 countries or economies of origin of temporary visa holders earning U.S. research doctorates, by country or economy of citizenship and field of doctorate: 2013–23",,,,,,,,,,,
(Number),,,,,,,,,,,
Country or economy and field,2013,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021.0,2022.0,2023.0
Chinaa,4796,4982.0,5374.0,5527.0,5552.0,6188.0,6316.0,6335,6198.0,6661.0,6652.0
Science and engineering,4443,4653.0,4971.0,5141.0,5147.0,5692.0,5755.0,5730,5605.0,6029.0,5981.0
Non-science and engineering,353,329.0,403.0,386.0,405.0,496.0,561.0,605,593.0,632.0,671.0
India ,2204,2316.0,2229.0,2195.0,1970.0,2045.0,2056.0,2250,2300.0,2674.0,2762.0
Science and engineering,2075,2209.0,2119.0,2085.0,1885.0,1922.0,1910.0,2111,2138.0,2513.0,2583.0
Non-science and engineering,129,107.0,110.0,110.0,85.0,123.0,146.0,139,162.0,161.0,179.0
South Korea,1383,1284.0,1234.0,1229.0,1129.0,1039.0,1168.0,1055,1036.0,1075.0,1109.0
Science and engineering,1012,930.0,920.0,892.0,818.0,729.0,824.0,756,733.0,761.0,800.0
Non-science and engineering,371,354.0,314.0,337.0,311.0,310.0,344.0,299,303.0,314.0,309.0
Iran ,409,483.0,629.0,695.0,767.0,935.0,964.0,963,815.0,859.0,648.0
Science and engineering,380,463.0,608.0,664.0,728.0,869.0,882.0,896,741.0,791.0,597.0
Non-science and engineering,29,20.0,21.0,31.0,39.0,66.0,82.0,67,74.0,68.0,51.0
Bangladesh ,107,139.0,154.0,185.0,236.0,280.0,292.0,392,397.0,551.0,552.0
Science and engineering,96,127.0,146.0,178.0,225.0,271.0,271.0,369,381.0,522.0,528.0
Non-science and engineering,11,12.0,8.0,7.0,11.0,9.0,21.0,23,16.0,29.0,24.0
Saudi Arabia ,73,105.0,134.0,238.0,339.0,403.0,554.0,614,485.0,492.0,483.0
Science and engineering,53,76.0,98.0,175.0,232.0,294.0,431.0,471,368.0,385.0,373.0
Non-science and engineering,20,29.0,36.0,63.0,107.0,109.0,123.0,143,117.0,107.0,110.0
Taiwan,699,668.0,614.0,592.0,520.0,514.0,492.0,468,410.0,416.0,462.0
Science and engineering,571,559.0,516.0,500.0,435.0,445.0,426.0,417,375.0,374.0,420.0
Non-science and engineering,128,109.0,98.0,92.0,85.0,69.0,66.0,51,35.0,42.0,42.0
Canada ,485,488.0,454.0,408.0,409.0,431.0,427.0,398,369.0,474.0,405.0
Science and engineering,335,325.0,325.0,275.0,288.0,307.0,313.0,281,267.0,356.0,300.0
Non-science and engineering,150,163.0,129.0,133.0,121.0,124.0,114.0,117,102.0,118.0,105.0
Turkey ,478,426.0,469.0,472.0,496.0,454.0,406.0,371,330.0,354.0,368.0
Science and engineering,392,360.0,386.0,380.0,393.0,364.0,324.0,305,272.0,289.0,289.0
Non-science and engineering,86,66.0,83.0,92.0,103.0,90.0,82.0,66,58.0,65.0,79.0
Nepal ,150,172.0,177.0,222.0,221.0,225.0,241.0,226,252.0,313.0,326.0
Science and engineering,D,163.0,162.0,208.0,209.0,219.0,230.0,D,242.0,305.0,311.0
Non-science and engineering,D,9.0,15.0,14.0,12.0,6.0,11.0,D,10.0,8.0,15.0
