Table 7-9,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Top 20 baccalaureate-origin institutions ranked by 2021 Carnegie Classification category and total number of research doctorate recipients, by field of doctorate: 2023",,,,
(Number),,,,
2021 Carnegie Classification and baccalaureate-origin institution,Ranka,All fields,Science and engineering,Non-science and engineering
U.S. institutions by 2021 Carnegie Classification,-,34644,26545,8099
R1: doctoral universities - very high research,-,18771,15190,3581
"U. California, Berkeley",1,535,464,71
"U. California, Los Angeles",2,408,341,67
"U. Michigan, Ann Arbor",3,374,299,75
U. Florida,4,331,265,66
U. Wisconsin-Madison,5,328,278,50
"U. Illinois, Urbana-Champaign",6,315,271,44
Cornell U.,7,300,257,43
"U. Texas, Austin",8,298,237,61
"U. California, San Diego",9,285,256,29
"Ohio State U., Columbus",10,284,236,48
"U. Minnesota, Twin Cities",11,261,214,47
"U. California, Davis",12,257,221,36
"U. North Carolina, Chapel Hill",12,257,200,57
"U. Washington, Seattle",12,257,226,31
"Purdue U., West Lafayette",15,245,218,27
"Texas A&M U., College Station",16,242,190,52
Massachusetts Institute of Technology,17,241,232,9
U. Chicago,18,237,187,50
"U. Maryland, College Park",18,237,205,32
Pennsylvania State U.,20,236,202,34
R2: doctoral universities - high research,-,4493,3227,1266
"Brigham Young U., Provo",1,259,176,83
William & Mary,2,104,81,23
"U. Puerto Rico, Rio Piedras",3,93,70,23
James Madison U.,4,73,56,17
U. Vermont,5,70,61,9
Florida Atlantic U.,6,69,52,17
"Miami U., Oxford",6,69,45,24
"California State U., Long Beach",8,68,46,22
Northern Arizona U.,8,68,51,17
Rochester Institute of Technology,10,66,62,4
Texas State U.,11,62,39,23
"San Diego State U., San Diego",12,61,42,19
"Loyola U., Chicago",13,60,45,15
San Francisco State U.,14,57,35,22
Central Michigan U.,15,56,32,24
"U. North Carolina, Wilmington",16,54,44,10
Worcester Polytechnic Institute,16,54,52,2
"California State U., Fullerton",18,53,43,10
"Southern Illinois U., Carbondale",18,53,33,20
"U. North Carolina, Charlotte",18,53,38,15
Doctoral/ professional universities,-,1641,1100,541
Grand Valley State U.,1,44,33,11
Elon U.,2,30,22,8
Hofstra U.,2,30,23,7
Harding U.,4,29,19,10
"Missouri State U., Springfield",4,29,21,8
Santa Clara U.,4,29,23,6
U. St. Thomas,4,29,23,6
"U. Tennessee, Chattanooga",4,29,20,9
Drake U.,9,28,22,6
Gonzaga U.,9,28,22,6
Valparaiso U.,11,27,21,6
Lipscomb U.,12,26,15,11
Seattle U.,12,26,18,8
"Southern Illinois U., Edwardsville",12,26,18,8
U. San Francisco,12,26,15,11
Hampton U.,16,25,13,12
Samford U.,17,22,6,16
"St. John's U., Queens",17,22,18,4
Western Kentucky U.,17,22,15,7
Liberty U.,20,21,9,12
"U. Phoenix, Phoenix",20,21,15,6
Xavier U.,20,21,20,1
Master's colleges and universities,-,4942,3468,1474
"U. Puerto Rico, Mayaguez",1,94,89,5
"California Polytechnic State U., San Luis Obispo",2,73,67,6
Western Washington U.,3,61,56,5
C. New Jersey,4,59,51,8
"CUNY, Hunter C.",4,59,40,19
"California State U., Northridge",6,56,43,13
"SUNY, Geneseo",6,56,48,8
Appalachian State U.,8,54,39,15
"California State Polytechnic U., Pomona",9,46,36,10
Truman State U.,10,43,33,10
C. Charleston,11,40,27,13
"California State U., Sacramento",12,38,24,14
Calvin U.,13,37,26,11
Humboldt State U.,14,36,27,9
Ithaca C.,14,36,24,12
New Mexico Institute of Mining and Technology,16,32,32,0
San Jose State U.,16,32,22,10
Christopher Newport U.,18,31,17,14
U. Northern Iowa,18,31,16,15
"California State U., Los Angeles",20,30,22,8
Baccalaureate colleges,-,4550,3383,1167
Oberlin C.,1,89,61,28
Carleton C.,2,74,64,10
Smith C.,3,70,55,15
Wesleyan U.,4,69,56,13
Swarthmore C.,5,64,48,16
Middlebury C.,6,63,44,19
St. Olaf C.,7,62,50,12
Wellesley C.,8,61,39,22
Vassar C.,9,59,43,16
Williams C.,10,58,42,16
Mount Holyoke C.,11,56,43,13
Macalester C.,12,55,44,11
Pomona C.,12,55,44,11
Barnard C.,14,52,40,12
Amherst C.,15,49,36,13
Kenyon C.,15,49,40,9
Grinnell C.,17,48,36,12
Colgate U.,18,47,40,7
Colorado C.,18,47,38,9
U.S. Air Force Academy,20,45,35,10
Other universities,-,247,177,70
Rose-Hulman Institute of Technology,1,37,37,0
Franklin W. Olin C. Engineering,2,16,16,0
Moody Bible Institute,3,8,1,7
Juilliard School,4,7,2,5
Southern Baptist Theological Seminary,5,5,0,5
"U. Maryland, Baltimore",5,5,5,0
"U. Nebraska, Medical Center",5,5,4,1
"U. Texas Health Science Center, San Antonio",5,5,4,1
U. Texas Southwestern Medical Center,5,5,5,0
Non-U.S. institutions,-,19315,16459,2856
Beijing U.,1,348,306,42
U. of Science and Technology of China (USTC),2,315,310,5
Tsinghua U.,3,304,287,17
Bangladesh U. of Engineering and Technology,4,239,236,3
Tribhuvan U.,5,234,222,12
National Taiwan U.,6,209,190,19
Sharif U. of Technology,7,192,173,19
Shanghai Jiaotong U.,8,178,173,5
Zhejiang U.,8,178,170,8
Seoul National U.,10,167,127,40
Fudan U.,11,157,141,16
Huazhong U. of Science and Technology,12,156,147,9
U. of Dhaka,13,154,139,15
Nanjing U.,14,147,139,8
Wuhan U.,15,140,122,18
U. of Delhi,16,138,111,27
Islamic Azad U.,17,130,114,16
Yonsei U.,17,130,92,38
Nankai U.,19,126,118,8
King Saud U.,20,117,91,26
U. of Mumbai,20,117,110,7
