Table 8-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Science and engineering research doctorate recipients, statistical profile by sex and broad field of doctorate: 2023",,,,,,,,,,,,,
"(Number, percent, and median years)",,,,,,,,,,,,,
Characteristic,All fields,Science and engineering ,,,,,,,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences
All doctorate recipients (number)a,57862,45973,1278,9724,2297,10724,1216,2746,2056,1704,5443,3793,4992
Sex (%),,,,,,,,,,,,,
Male,52.5,55.4,44.8,45.6,74.4,73.4,54.9,28.7,72,61.3,66,23.3,48.7
Female,47.5,44.6,55.2,54.4,25.6,26.6,45,71.3,28,38.7,34,76.6,51.2
Unknown,*,*,0,*,0,0,0.1,0,*,0,*,*,*
Citizenship status (%),,,,,,,,,,,,,
U.S. citizen or permanent resident,61.5,58.8,60.9,72,35.7,42.4,63.6,71.1,45.2,48.5,57.7,83.8,61.4
Temporary visa holder,33.5,36.6,35.5,24.2,58.2,52.6,32,22.7,51,47.7,38.5,8.8,34.4
Unknown,5,4.7,3.6,3.8,6.1,5,4.4,6.2,3.8,3.8,3.8,7.4,4.2
Marital status (%),,,,,,,,,,,,,
Never married,38.6,41.8,36.5,42.8,42,46,41.6,25.9,54,42.1,50.8,30.7,34.5
Married,37.2,34.6,39.3,33.9,35.7,33.5,33.1,47.9,24.9,36.2,27.3,35.3,40.9
Marriage-like relationship,9.3,9.8,9.1,12.5,6.1,7.3,13.2,6.6,9,8.3,10.3,13.4,10.8
"Separated, divorced, widowed",3,2.4,2.4,1.9,2.4,1.3,2.7,5.3,1.5,2.7,1.2,4,4.2
Unknown,12,11.3,12.8,8.9,13.8,12,9.3,14.3,10.6,10.7,10.3,16.6,9.7
Has dependent age 18 or younger (%),19.2,15.9,21.6,13.3,16.3,14.3,14.9,33.6,9.4,15.2,9.5,18.7,21.6
Has one or more functional limitations (%),14.2,13.6,16.7,14.9,12.1,10.2,16.1,12.6,11.1,13.1,13.9,17.1,15.8
Age at doctorate (median years),31.4,30.7,31.9,30.4,30.8,30.1,30.8,34.8,29.2,31.1,29.3,31.3,33.1
Bachelor's in same field as doctorate (%)b,60.6,64.3,48.4,64.2,38.8,78.4,49.8,46.4,80.6,14,77.2,70.9,55.2
Master's earned (%),73.2,68,77.9,44.6,74.7,74.4,68.9,80.9,68.8,76.4,50.3,89,89
