Table 8-16,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Business research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,
"(Number, percent, and median years)",,,
Characteristic,All business fields,Business administration and management,"Business, other"
All doctorate recipients (number)a,1510,493,1017
Sex (%),,,
Male,54.4,53.8,54.8
Female,45.6,46.2,45.2
Unknown,0,0,0
Citizenship status (%),,,
U.S. citizen or permanent resident,43.9,45.2,43.3
Temporary visa holder,49.1,42.2,52.5
Unknown,7,12.6,4.2
Marital status (%),,,
Never married,29.1,23.3,31.9
Married,46.7,42,49
Marriage-like relationship,5.6,3,6.9
"Separated, divorced, widowed",3.9,4.5,3.6
Unknown,14.7,27.2,8.7
Has dependent age 18 or younger (%),29.3,34,27.5
Has one or more functional limitations (%),10.9,11,10.8
Age at doctorate (median years),33.5,35.4,32.9
Bachelor's in same field as doctorate (%)b,42.3,34.1,45.5
Master's earned (%),87.8,90.3,86.8
Master's earned at same doctorate institution (%),24.9,27.1,24
Time to doctorate (median years),,,
Years since earning bachelor's degree,10.5,12.3,10
From graduate school start,8.8,9.9,8.3
From doctoral program startc,5,5,5
Received tuition remission (%),83.8,69.7,89.3
Male doctorate recipients (number),822,265,557
Citizenship status (%),,,
U.S. citizen or permanent resident,43.3,41.5,44.2
Temporary visa holder,49.5,45.3,51.5
Unknown,7.2,13.2,4.3
Marital status (%),,,
Never married,29.4,22.3,32.9
Married,48.3,46,49.4
Marriage-like relationship,5.5,3.4,6.5
"Separated, divorced, widowed",2.8,3,2.7
Unknown,14,25.3,8.6
Has dependent age 18 or younger (%),32.1,38.4,29.7
Has one or more functional limitations (%),9.5,10.7,9
Age at doctorate (median years),33.7,35.8,33.1
Bachelor's in same field as doctorate (%)b,41.7,36.3,44
Master's earned (%),87.9,91,86.6
Master's earned at same doctorate institution (%),24.5,25.1,24.2
Time to doctorate (median years),,,
Years since earning bachelor's degree,10.3,11.8,10
From graduate school start,8.8,9.9,8.2
From doctoral program startc,5,5,5
Received tuition remission (%),83.5,70.5,88.6
Female doctorate recipients (number),688,228,460
Citizenship status (%),,,
U.S. citizen or permanent resident,44.6,49.6,42.2
Temporary visa holder,48.7,38.6,53.7
Unknown,6.7,11.8,4.1
Marital status (%),,,
Never married,28.6,24.6,30.7
Married,44.8,37.3,48.5
Marriage-like relationship,5.8,2.6,7.4
"Separated, divorced, widowed",5.2,6.1,4.8
Unknown,15.6,29.4,8.7
Has dependent age 18 or younger (%),25.9,28.6,24.8
Has one or more functional limitations (%),12.6,11.5,13
Age at doctorate (median years),33.3,35,32.8
Bachelor's in same field as doctorate (%)b,42.9,31.4,47.5
Master's earned (%),87.7,89.3,87
Master's earned at same doctorate institution (%),25.5,29.7,23.8
Time to doctorate (median years),,,
Years since earning bachelor's degree,10.9,12.9,10.1
From graduate school start,8.8,9.9,8.5
From doctoral program startc,5,5.3,5
Received tuition remission (%),84.2,68.7,90.2
