Table 8-18,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Other non-science and engineering research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,,,
"(Number, percent, and median years)",,,,,
Characteristic,All other non-science and engineering fields,Communications and journalism,Multidisciplinary/ interdisciplinary studies,Public administration and social services,"Non-science and engineering, other"
All doctorate recipients (number)a,2209,635,380,505,689
Sex (%),,,,,
Male,39.7,38.9,42.1,28.3,47.6
Female,60.3,61.1,57.9,71.7,52.4
Unknown,0,0,0,0,0
Citizenship status (%),,,,,
U.S. citizen or permanent resident,67.5,69.3,73.9,75.8,56.2
Temporary visa holder,26.1,23.9,18.9,19.6,36.9
Unknown,6.4,6.8,7.1,4.6,7
Marital status (%),,,,,
Never married,29.2,33.2,29.2,24,29.5
Married,43.3,39.2,37.6,51.7,44.1
Marriage-like relationship,7.7,9.9,8.2,5.7,6.7
"Separated, divorced, widowed",5.2,3,7.6,8.3,3.5
Unknown,14.6,14.6,17.4,10.3,16.3
Has dependent age 18 or younger (%),29,21.6,24.2,38.1,31.3
Has one or more functional limitations (%),17.5,23,15.4,17.3,13.4
Age at doctorate (median years),35,33.3,34.8,36.8,35.1
Bachelor's in same field as doctorate (%)b,38,55.5,33.2,26.1,33.4
Master's earned (%),95.3,97.2,89.5,98.7,94
Master's earned at same doctorate institution (%),34.7,29.3,43.6,32.8,36.7
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,11.4,10,11.8,13.8,11.3
From graduate school start,9.3,8,9.8,10.7,9.7
From doctoral program startc,5.8,5,6.8,5.8,5.3
Received tuition remission (%),82.6,93.5,77.3,75.9,80.4
Male doctorate recipients (number),878,247,160,143,328
Citizenship status (%),,,,,
U.S. citizen or permanent resident,61.3,68,72.5,70.6,46.6
Temporary visa holder,31.5,25.9,20,25.2,44.2
Unknown,7.2,6.1,7.5,4.2,9.1
Marital status (%),,,,,
Never married,27.6,D,25,D,28.4
Married,46,42.1,41.3,58.7,45.7
Marriage-like relationship,7.5,9.7,10.6,6.3,4.9
"Separated, divorced, widowed",2.7,D,5,D,2.1
Unknown,16.2,14.6,18.1,10.5,18.9
Has dependent age 18 or younger (%),31.6,24,29,41.9,33.8
Has one or more functional limitations (%),17.1,25.4,20,14.8,10
Age at doctorate (median years),35.5,34.5,34.9,37.1,35.3
Bachelor's in same field as doctorate (%)b,36.7,52.3,33.8,24.1,31.9
Master's earned (%),95.3,96.4,90.8,97.7,95.4
Master's earned at same doctorate institution (%),32.6,28.6,35.4,33.8,33.7
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,11.4,10.3,11.8,13.6,11.3
From graduate school start,9.3,8.3,9.8,10.6,9.3
From doctoral program startc,5.8,5,6.8,6,5.1
Received tuition remission (%),81.3,89.9,79.6,73.1,79.3
Female doctorate recipients (number),1331,388,220,362,361
Citizenship status (%),,,,,
U.S. citizen or permanent resident,71.6,70.1,75,77.9,64.8
Temporary visa holder,22.5,22.7,18.2,17.4,30.2
Unknown,5.9,7.2,6.8,4.7,5
Marital status (%),,,,,
Never married,30.4,D,32.3,D,30.5
Married,41.5,37.4,35,48.9,42.7
Marriage-like relationship,7.7,10.1,6.4,5.5,8.3
"Separated, divorced, widowed",6.8,D,9.5,D,4.7
Unknown,13.6,14.7,16.8,10.2,13.9
Has dependent age 18 or younger (%),27.3,20.1,20.8,36.6,29
Has one or more functional limitations (%),17.7,21.6,12.2,18.3,16.2
Age at doctorate (median years),34.7,32.6,34.8,36.7,34.8
Bachelor's in same field as doctorate (%)b,38.8,57.6,32.8,26.8,34.7
Master's earned (%),95.3,97.7,88.5,99.1,92.8
Master's earned at same doctorate institution (%),36,29.7,49.7,32.4,39.5
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,11.3,9.7,11.9,13.8,11.3
From graduate school start,9.4,7.9,9.7,10.7,9.8
From doctoral program startc,5.8,5,6.8,5.8,5.8
Received tuition remission (%),83.4,95.9,75.7,77,81.3
