Table 8-4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Biological and biomedical sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,,,,,,,,,,
"(Number, percent, and median years)",,,,,,,,,,,,
Characteristic,All biological and biomedical sciences fields,"Biochemistry, biophysics, and molecular biology","Bioinformatics, biostatistics, and computational biology","Biological and biomedical sciences, general",Cell/ cellular biology and anatomy,"Ecology, evolutionary biology, and epidemiology",Genetics and genomics,Microbiology and immunology,Neurobiology and neurosciences,Pharmacology and toxicology,"Physiology, oncology, and cancer biology","Biological and biomedical sciences, other"
All doctorate recipients (number)a,9724,1509,735,907,761,1144,477,1092,1200,409,821,669
Sex (%),,,,,,,,,,,,
Male,45.6,51.7,56.2,40.8,41.1,39.1,47.2,45.3,43.7,44,50.3,40.8
Female,54.4,48.2,43.8,59.2,58.9,60.9,52.8,54.7,56.3,56,49.7,59.2
Unknown,*,0.1,0,0,0,0,0,0,0,0,0,0
Citizenship status (%),,,,,,,,,,,,
U.S. citizen or permanent resident,72,68.3,55.9,68.7,71.7,79.3,75.3,77.4,78.9,72.1,70.6,68.8
Temporary visa holder,24.2,28.2,41,23.8,23.9,18.7,21,19.6,18.2,22.7,24.1,28.4
Unknown,3.8,3.4,3.1,7.5,4.3,2,3.8,3,2.9,5.1,5.2,2.8
Marital status (%),,,,,,,,,,,,
Never married,42.8,46.1,47.9,39.1,45.2,38.2,43.6,42,44.1,45.2,40.9,39.8
Married,33.9,33.1,33.5,30.4,34,37.9,34.2,35.7,31.3,30.3,36.1,34.8
Marriage-like relationship,12.5,10.5,9.8,10.8,12.2,15.6,12.2,14.4,14.9,11,11.3,12.6
"Separated, divorced, widowed",1.9,1.6,1.8,2,1.4,2.4,1.9,1.4,2,2,2.3,1.9
Unknown,8.9,8.7,7.1,17.6,7.1,5.9,8.2,6.5,7.7,11.5,9.4,10.9
Has dependent age 18 or younger (%),13.3,11.7,14.2,12.6,11.9,16.4,14.8,12.5,10.5,14.2,16.4,14.3
Has one or more functional limitations (%),14.9,15.7,13.6,14.7,12.6,15.9,15.4,15.8,15.2,12.2,13.3,17
Age at doctorate (median years),30.4,29.8,30.2,30.7,30.3,31.7,30.2,30.2,30.2,30.3,30.5,31
Bachelor's in same field as doctorate (%)b,64.2,61.6,39.2,71,81.4,58.2,75.1,80.2,61.6,60.9,56.4,61.4
Master's earned (%),44.6,36.1,62.4,42,34.7,66.2,34.5,33.7,36.4,46.7,50.4,53.2
Master's earned at same doctorate institution (%),38.5,41.3,43.3,40.1,34.4,35.6,36.1,34.1,50.4,44.1,33.2,29.6
Time to doctorate (median years),,,,,,,,,,,,
Years since earning bachelor's degree,7.8,7.2,7.8,8,7.8,9,7.6,7.6,7.6,7.6,7.9,8
From graduate school start,6.4,6.2,6.7,6.5,6.3,7.3,6.4,6.1,6.3,6.3,6.6,6.8
From doctoral program startc,5.8,5.8,5.3,5.8,5.8,5.7,5.8,5.5,5.8,5.3,5.3,5.6
Received tuition remission (%),90.4,92.2,90,91.8,90.4,87.1,87.3,90.8,92.1,91.6,91.5,87
Male doctorate recipients (number),4433,780,413,370,313,447,225,495,524,180,413,273
Citizenship status (%),,,,,,,,,,,,
U.S. citizen or permanent resident,70.2,67.1,56.4,66.8,71.2,77.6,75.6,76.4,75.2,73.9,69.2,64.5
Temporary visa holder,25.7,29.2,40.7,25.7,22.4,20.6,19.6,21.2,21.4,19.4,24.9,32.2
Unknown,4.1,3.7,2.9,7.6,6.4,1.8,4.9,2.4,3.4,6.7,5.8,3.3
Marital status (%),,,,,,,,,,,,
Never married,44.1,47.6,49.6,41.1,D,38,D,43.8,45,43.3,38.7,D
Married,33.2,31.9,31.5,28.4,27.8,39.6,29.3,37.6,30.3,34.4,37.8,34.4
Marriage-like relationship,11.8,10.3,9.9,10.8,13.1,14.3,13.8,12.1,13.7,9.4,11.1,11.4
"Separated, divorced, widowed",1.6,1.4,1.7,1.6,D,2.7,D,1,1.7,0,1.9,D
Unknown,9.3,8.8,7.3,18.1,9.9,5.4,8.9,5.5,9.2,12.8,10.4,11.7
