Table 8-5,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Computer and information science research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,
"(Number, percent, and median years)",,,
Characteristic,All computer and information sciences fields,Computer science,"Computer and information sciences, other"
All doctorate recipients (number)a,2297,1605,692
Sex (%),,,
Male,74.4,76.9,68.8
Female,25.6,23.1,31.2
Unknown,0,0,0
Citizenship status (%),,,
U.S. citizen or permanent resident,35.7,34.5,38.4
Temporary visa holder,58.2,59.9,54.2
Unknown,6.1,5.5,7.4
Marital status (%),,,
Never married,42,45.1,34.8
Married,35.7,34.5,38.7
Marriage-like relationship,6.1,5.7,6.8
"Separated, divorced, widowed",2.4,1.7,3.8
Unknown,13.8,13,15.9
Has dependent age 18 or younger (%),16.3,14.3,21.1
Has one or more functional limitations (%),12.1,11.5,13.5
Age at doctorate (median years),30.8,30.4,31.8
Bachelor's in same field as doctorate (%)b,38.8,43.2,28.2
Master's earned (%),74.7,72.6,79.8
Master's earned at same doctorate institution (%),50.1,52.5,45
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.2,8,9.3
From graduate school start,7,6.8,7.8
From doctoral program startc,5.7,5.7,5.6
Received tuition remission (%),86.1,88.3,80.9
Male doctorate recipients (number),1710,1234,476
Citizenship status (%),,,
U.S. citizen or permanent resident,35,34.7,35.9
Temporary visa holder,59.6,60.5,57.1
Unknown,5.4,4.8,6.9
Marital status (%),,,
Never married,44.2,46.6,37.8
Married,34.9,33.5,38.4
Marriage-like relationship,5.8,5.5,6.5
"Separated, divorced, widowed",2.3,1.8,3.6
Unknown,12.9,12.6,13.7
Has dependent age 18 or younger (%),15.7,13.8,20.8
Has one or more functional limitations (%),11.8,11.2,13.5
Age at doctorate (median years),30.6,30.4,31.4
Bachelor's in same field as doctorate (%)b,39.7,43.4,30.2
Master's earned (%),73.4,71.9,77.1
Master's earned at same doctorate institution (%),50.7,52.3,46.9
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.1,7.9,9
From graduate school start,6.9,6.8,7.3
From doctoral program startc,5.7,5.7,5.5
Received tuition remission (%),86.9,89.3,80.8
Female doctorate recipients (number),587,371,216
Citizenship status (%),,,
U.S. citizen or permanent resident,37.6,34,44
Temporary visa holder,54.2,58,47.7
Unknown,8.2,8.1,8.3
Marital status (%),,,
Never married,35.8,40.2,28.2
Married,38.2,37.5,39.4
Marriage-like relationship,6.8,6.5,7.4
"Separated, divorced, widowed",2.6,1.6,4.2
Unknown,16.7,14.3,20.8
Has dependent age 18 or younger (%),18.1,16.1,21.9
Has one or more functional limitations (%),13,12.7,13.5
Age at doctorate (median years),31.3,30.7,32.3
Bachelor's in same field as doctorate (%)b,35.7,42.6,23.5
Master's earned (%),78.9,74.8,86.3
Master's earned at same doctorate institution (%),48.5,53.3,41
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.9,8.3,10
From graduate school start,7.7,6.8,8.3
From doctoral program startc,5.7,5.7,5.6
Received tuition remission (%),83.7,85,81.4
