Table 8-7,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Geosciences, atmospheric, and ocean sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,
"(Number, percent, and median years)",,,
Characteristic,"All geosciences, atmospheric, and ocean sciences fields",Geological and earth sciences,"Ocean, marine, and atmospheric sciences"
All doctorate recipients (number)a,1216,682,534
Sex (%),,,
Male,54.9,56.3,53.2
Female,45,43.7,46.6
Unknown,0.1,0,0.2
Citizenship status (%),,,
U.S. citizen or permanent resident,63.6,60.4,67.6
Temporary visa holder,32,34.5,28.8
Unknown,4.4,5.1,3.6
Marital status (%),,,
Never married,41.6,38,46.3
Married,33.1,37.7,27.3
Marriage-like relationship,13.2,13.5,12.9
"Separated, divorced, widowed",2.7,2.1,3.6
Unknown,9.3,8.8,9.9
Has dependent age 18 or younger (%),14.9,17.1,12.1
Has one or more functional limitations (%),16.1,14.6,18.1
Age at doctorate (median years),30.8,31.3,30.4
Bachelor's in same field as doctorate (%)b,49.8,58,39.4
Master's earned (%),68.9,71,66.3
Master's earned at same doctorate institution (%),45.2,39.8,52.6
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.1,8.4,8
From graduate school start,6.8,7,6.6
From doctoral program startc,5.7,5.4,5.8
Received tuition remission (%),88,88.4,87.6
Male doctorate recipients (number),668,384,284
Citizenship status (%),,,
U.S. citizen or permanent resident,57,54.9,59.9
Temporary visa holder,38.2,39.3,36.6
Unknown,4.8,5.7,3.5
Marital status (%),,,
Never married,43.1,37.8,50.4
Married,34.7,39.3,28.5
Marriage-like relationship,10.9,12,9.5
"Separated, divorced, widowed",2.2,1.8,2.8
Unknown,9,9.1,8.8
Has dependent age 18 or younger (%),18.5,21.5,14.3
Has one or more functional limitations (%),12.2,11.3,13.5
Age at doctorate (median years),31.3,32,30.6
Bachelor's in same field as doctorate (%)b,50.6,57.1,41.9
Master's earned (%),72.6,75.9,68.1
Master's earned at same doctorate institution (%),43.9,39.4,50.5
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.3,8.6,8
From graduate school start,6.9,7,6.8
From doctoral program startc,5.5,5.3,5.6
Received tuition remission (%),87.2,87,87.5
Female doctorate recipients (number),547,298,249
Citizenship status (%),,,
U.S. citizen or permanent resident,71.7,67.4,76.7
Temporary visa holder,24.5,28.2,20.1
Unknown,3.8,4.4,3.2
Marital status (%),,,
Never married,39.9,38.3,41.8
Married,31.3,35.6,26.1
Marriage-like relationship,16.1,15.4,16.9
"Separated, divorced, widowed",3.3,2.3,4.4
Unknown,9.5,8.4,10.8
Has dependent age 18 or younger (%),10.5,11.4,9.5
Has one or more functional limitations (%),20.9,18.8,23.6
Age at doctorate (median years),30.4,30.7,30.1
Bachelor's in same field as doctorate (%)b,49,59.2,36.6
Master's earned (%),64.3,64.6,63.9
Master's earned at same doctorate institution (%),47.1,40.4,55.2
Time to doctorate (median years),,,
Years since earning bachelor's degree,8,8.2,7.6
From graduate school start,6.8,7,6.3
From doctoral program startc,5.8,5.6,5.8
Received tuition remission (%),89,90.2,87.5
