Table 9-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Science and engineering research doctorate recipients, postgraduation plans by sex and broad field of doctorate: 2023",,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,
Characteristic,All fields,Science and engineering ,,,,,,,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences
Doctorate recipients reporting postgraduation status (number),52109,41671,1135,9035,2037,9654,1119,2413,1881,1555,4983,3254,4605
Definite postdoctoral training plans,26.9,30.9,31.5,40,16,22.2,50.4,22.6,33.4,23.2,34.8,48.1,22.4
Definite employment plans,46.6,43,41.5,28.2,62,51.1,27.5,51.8,44.1,54.1,38.4,32.6,53.8
Seeking employment or study,23.5,23.3,24.8,26.1,20.2,24.6,20.9,22.6,20.4,21,25.2,16.8,21.2
Other statusa,2.8,2.8,1.9,5.5,1.8,2,1.2,2.9,1.9,1.8,1.6,2.3,2.6
Definite postdoctoral training plans (%)b,,,,,,,,,,,,,
Postdoc fellowship or research associateship,94.5,94.6,95.8,94.6,95.4,95.9,98,89,97,95.8,98.3,86.1,96.6
Other training or unknownc,5.5,5.4,4.2,5.4,4.6,4.1,2,11,3,4.2,1.7,13.9,3.4
Definite employment plans (%)d,,,,,,,,,,,,,
Academe,35.8,26.4,33.3,23.1,22.3,11.8,27.3,47.6,29.4,27.3,11.9,39.1,53.2
In tenure track faculty position (%),44.5,44,41.4,23.3,62.1,43.9,21.4,42,43.4,51.3,19.7,42.5,55.5
Not in tenure track position (%),53,53,55.4,74.9,35.1,52.8,78.6,52.6,53.7,45.7,75,54.6,42.2
Government,7,7.8,14.4,7.2,2.9,6.5,22.1,8.7,5.2,3.8,5.1,13.4,12.4
Industry or businesse,45.1,57.3,41.6,60.6,69.5,76.9,41.6,28.6,60.8,61.2,78.8,30,20.7
Nonprofit organization,6.4,5.8,6.6,7.2,3.3,3.3,5.8,11.9,2.4,5,2.7,9.2,10
Other or unknownf,5.6,2.6,4,1.9,2,1.5,3.2,3.1,2.2,2.6,1.5,8.4,3.8
Primary activityg,,,,,,,,,,,,,
Research and development,47.5,57.6,53.2,59,73.3,67.2,53,32.7,51.4,65.6,72.6,30,42.1
Teaching,24.9,16.5,D,11.9,12.4,6.7,15.8,33.9,D,16.6,8.5,22.2,34.7
Management or administration,5.3,2.7,D,3.7,1.1,1.6,3.7,7,D,1.7,0.7,4.1,3.9
Professional services and other,22.3,23.2,20.8,25.4,13.2,24.5,27.5,26.4,23.4,16.1,18.2,43.7,19.3
Secondary activityg,,,,,,,,,,,,,
Research and development,23.4,19.9,25.3,14.4,16.4,16,25.2,31.7,24.8,19.7,9.1,23.4,33.1
Teaching,8.8,6.2,5.5,3.1,6.8,3.4,4,11.8,3.6,7.7,1.2,11.7,14.5
Management or administration,13.7,14.3,25.1,18.4,7.5,13.9,16.1,16.6,5,11,16.5,13.8,13.8
Professional services and other,9.6,10.5,11.1,8.6,12.1,12.5,10.1,9.9,11.1,13.1,8.8,9.3,8.8
No secondary activity,44.5,49,33,55.5,57.3,54.3,44.6,29.9,55.5,48.6,64.4,41.8,29.8
Activity unknown,3.7,3.5,4.2,3.3,3.6,3.4,3.2,4.2,3.4,3.8,3.4,4.8,3.1
Postgraduation location (%)h,,,,,,,,,,,,,
United Statesi,92,92.3,93.1,95.3,91.2,92.8,92.8,92.5,87.9,92.8,91.7,97.6,84.1
Midwest,16.1,15.1,27.1,15.6,9,14.3,8.4,17.7,14.7,11.5,14.3,20,15
Northeast,22,22.9,13.4,28.5,20.9,19.5,16.1,23.1,23.3,21.6,24.1,24.5,22.2
South,27.3,25.5,31,25.6,20.4,24.8,29.6,33,23.7,22.8,20.4,28.5,27.9
West,26.1,28.3,21.3,25.1,40.3,34,38.5,18.2,25.7,36.1,32.4,24,18.4
