Table 9-14,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Education research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,,,
(Number and percent),,,,,
Characteristic,All education fields,Education leadership and administration,Education research,Teacher education and teaching fields,"Education, other"
Doctorate recipients reporting postgraduation status (number),3515,1055,1086,1002,372
Definite postdoctoral training plans,6.5,4.3,6.6,7.9,8.6
Definite employment plans,69.3,77.4,66.3,65.3,65.6
Seeking employment or study,21.6,15.9,24.8,24,22
Other statusa,2.6,2.4,2.2,2.9,3.5
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,93,93.3,91.7,93.7,93.8
Other training or unknownc,7,6.7,8.3,6.3,6.3
Definite employment plans (%)d,,,,,
Academe,51.8,50.7,49.2,56,52
In tenure track faculty position (%),27.8,11.4,29.7,44,29.9
Not in tenure track position (%),69.6,87.2,66.7,53.6,66.9
Government,4.4,5.3,4,4.3,3.3
Industry or businesse,9,5.1,16.3,6.3,7.4
Nonprofit organization,7.6,6.6,8.9,6,11.1
Other or unknownf,27.3,32.3,21.7,27.5,26.2
Primary activityg,,,,,
Research and development,11.7,8.8,15.8,9.9,14.8
Teaching,42.5,24,42,65.6,44.3
Management or administration,23.3,42.4,15.2,10.4,17.4
Professional services and other,22.5,24.8,27,14.2,23.5
Secondary activityg,,,,,
Research and development,24.4,11.5,25.5,39.1,24.8
Teaching,13.9,15.2,15.6,10.7,13.5
Management or administration,15.5,21.1,13.9,10,16.5
Professional services and other,9.1,8.7,11.1,8.5,6.5
No secondary activity,37,43.6,33.9,31.7,38.7
Activity unknown,4.5,4.2,4.9,4.1,5.7
Postgraduation location (%)h,,,,,
United Statesi,95.6,97.1,95.2,93.9,97.1
Midwest,22.6,26,22.6,19.2,21.4
Northeast,15,15.9,12,16.4,17.4
South,39.6,40,42.4,42.4,22.8
West,17.8,14.8,18.1,15,34.1
Outside the United States,4.3,2.9,4.7,6.1,2.5
Location unknown,0.1,0,0.1,0,0.4
Postgraduation location in same state as doctorate institution (%),61.8,70.3,57.8,55.3,64.1
Male doctorate recipients reporting postgraduation status (number),955,353,279,246,77
Definite postdoctoral training plans,6.6,4.5,6.5,8.1,11.7
Definite employment plans,70.4,79.3,65.2,64.6,66.2
Seeking employment or study,20.2,14.2,25.1,24,18.2
Other statusa,2.8,2,3.2,3.3,3.9
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,96.8,D,94.4,95,D
Other training or unknownc,3.2,D,5.6,5,D
Definite employment plans (%)d,,,,,
Academe,51.8,47.1,48.4,61.6,58.8
In tenure track faculty position (%),24.1,12.1,27.3,38.8,20
Not in tenure track position (%),72.7,84.1,70.5,59.2,73.3
Government,5.2,D,5.5,4.4,D
Industry or businesse,8,D,17,3.8,D
Nonprofit organization,7.3,D,10.4,3.8,D
Other or unknownf,27.7,35.4,18.7,26.4,21.6
Primary activityg,,,,,
Research and development,12,10.2,16.7,7.7,18.8
Teaching,37.9,21.5,32.2,71.6,39.6
Management or administration,27.1,42.6,21.8,9.7,16.7
Professional services and other,23.1,25.7,29.3,11,25
Secondary activityg,,,,,
Research and development,22.4,D,21.8,43.2,D
Teaching,16.5,17,20.7,10.3,18.8
Management or administration,16.5,21.9,11.5,10.3,25
Professional services and other,8.6,D,13.2,8.4,D
No secondary activity,36,43,32.8,27.7,35.4
Activity unknown,4.5,5.4,4.4,2.5,5.9
Postgraduation location (%)h,,,,,
United Statesi,94.4,94.6,95,D,D
Midwest,23.3,25.3,23,22.3,16.7
Northeast,15.9,16.2,9.5,D,D
South,39.3,38.5,44.5,41.3,20
West,15.6,14.2,17.5,8.9,36.7
Outside the United States,5.6,5.4,5,D,D
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),58,66.2,54.5,47.5,60
Female doctorate recipients reporting postgraduation status (number),2560,702,807,756,295
Definite postdoctoral training plans,6.4,4.1,6.7,7.8,7.8
Definite employment plans,68.9,76.5,66.7,65.5,65.4
Seeking employment or study,22.1,16.8,24.7,23.9,23.1
Other statusa,2.5,2.6,1.9,2.8,3.4
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,91.5,89.7,90.7,93.2,91.3
Other training or unknownc,8.5,10.3,9.3,6.8,8.7
Definite employment plans (%)d,,,,,
Academe,51.8,52.5,49.4,54.1,50.3
In tenure track faculty position (%),29.2,11,30.5,45.9,33
Not in tenure track position (%),68.5,88.7,65.4,51.5,64.9
Government,4.1,D,3.5,4.2,D
Industry or businesse,9.3,D,16,7.1,D
Nonprofit organization,7.7,D,8.4,6.7,D
Other or unknownf,27.1,30.7,22.7,27.9,27.5
