Table 9-16,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Business research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,
(Number and percent),,,
Characteristic,All business fields,Business administration and management,"Business, other"
Doctorate recipients reporting postgraduation status (number),1303,367,936
Definite postdoctoral training plans,8,7.6,8.1
Definite employment plans,77.6,73.6,79.2
Seeking employment or study,11.8,15.3,10.5
Other statusa,2.5,3.5,2.1
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,91.3,89.3,92.1
Other training or unknownc,8.7,10.7,7.9
Definite employment plans (%)d,,,
Academe,77.6,70,80.4
In tenure track faculty position (%),84.2,82,84.9
Not in tenure track position (%),14.9,18,13.9
Government,D,D,2.3
Industry or businesse,14.2,17.8,13
Nonprofit organization,D,D,2.2
Other or unknownf,2.4,3,2.2
Primary activityg,,,
Research and development,43.8,42.1,44.5
Teaching,39.6,31.4,42.5
Management or administration,4.3,10,2.2
Professional services and other,12.3,16.5,10.8
Secondary activityg,,,
Research and development,40.4,32.6,43.2
Teaching,31.6,29.5,32.4
Management or administration,6.1,8.4,5.3
Professional services and other,3,3.4,2.8
No secondary activity,18.9,26.1,16.3
Activity unknown,2.8,3.3,2.6
Postgraduation location (%)h,,,
United Statesi,84.1,84.9,83.8
Midwest,17.3,15.4,18
Northeast,16.3,16.4,16.3
South,33.5,32.6,33.8
West,16.6,19.8,15.4
Outside the United States,15.7,14.8,16
Location unknown,0.2,0.3,0.1
Postgraduation location in same state as doctorate institution (%),18.2,22.8,16.5
Male doctorate recipients reporting postgraduation status (number),715,203,512
Definite postdoctoral training plans,7.6,8.9,7
Definite employment plans,77.5,72.9,79.3
Seeking employment or study,12,14.8,10.9
Other statusa,2.8,3.4,2.5
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,90.7,83.3,94.4
Other training or unknownc,9.3,16.7,5.6
Definite employment plans (%)d,,,
Academe,75.3,65.5,78.8
In tenure track faculty position (%),85.6,84.5,85.9
Not in tenure track position (%),13.7,15.5,13.1
Government,D,D,D
Industry or businesse,15.5,21.6,13.3
Nonprofit organization,D,D,D
Other or unknownf,2,2.7,1.7
Primary activityg,,,
Research and development,45.6,42.1,46.9
Teaching,36.8,29.7,39.3
Management or administration,3.7,9.7,1.5
Professional services and other,14,18.6,12.3
Secondary activityg,,,
Research and development,37.9,31.7,40.1
Teaching,32.5,25.5,35.1
Management or administration,5.5,D,D
Professional services and other,3.1,D,D
No secondary activity,21,31,17.3
Activity unknown,1.8,2,1.7
Postgraduation location (%)h,,,
United Statesi,83.4,82.5,83.7
Midwest,17.3,15.7,17.9
Northeast,16.1,17.5,15.6
South,34.4,31.3,35.5
West,15.3,17.5,14.5
Outside the United States,16.3,16.9,16.1
Location unknown,0.3,0.6,0.2
Postgraduation location in same state as doctorate institution (%),18.1,22.9,16.3
Female doctorate recipients reporting postgraduation status (number),588,164,424
Definite postdoctoral training plans,8.5,6.1,9.4
Definite employment plans,77.7,74.4,79
Seeking employment or study,11.6,15.9,9.9
Other statusa,2.2,3.7,1.7
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,92,D,90
Other training or unknownc,8,D,10
Definite employment plans (%)d,,,
Academe,80.5,75.4,82.4
In tenure track faculty position (%),82.6,79.3,83.7
Not in tenure track position (%),16.3,20.7,14.9
Government,D,4.1,D
Industry or businesse,12.7,13.1,12.5
Nonprofit organization,D,4.1,D
Other or unknownf,2.8,3.3,2.7
Primary activityg,,,
Research and development,41.7,42.2,41.5
Teaching,43.1,33.6,46.4
Management or administration,5,10.3,3.1
Professional services and other,10.3,13.8,9
Secondary activityg,,,
Research and development,43.5,33.6,47.1
Teaching,30.5,34.5,29.1
Management or administration,6.8,D,D
Professional services and other,2.7,D,D
No secondary activity,16.4,19.8,15.2
Activity unknown,3.9,4.9,3.6
Postgraduation location (%)h,,,
United Statesi,85,87.9,84
Midwest,17.4,15.2,18.1
Northeast,16.6,15.2,17.1
South,32.3,34.1,31.7
West,18.1,22.7,16.5
Outside the United States,15,12.1,16
Location unknown,0,0,0
Postgraduation location in same state as doctorate institution (%),18.3,22.7,16.8
