Table 9-3,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Agricultural sciences and natural resources research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,
(Number and percent),,,
Characteristic,All agricultural sciences and natural resources fields,"Agricultural, animal, plant, and veterinary sciences",Natural resources and conservation
Doctorate recipients reporting postgraduation status (number),1135,759,376
Definite postdoctoral training plans,31.5,31.2,31.9
Definite employment plans,41.5,41.1,42.3
Seeking employment or study,24.8,25.8,22.9
Other statusa,1.9,1.8,1.9
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,95.8,94.5,98.3
Other training or unknownc,4.2,5.5,1.7
Definite employment plans (%)d,,,
Academe,33.3,33.3,33.3
In tenure track faculty position (%),41.4,49,26.4
Not in tenure track position (%),55.4,47.1,71.7
Government,14.4,9,25.2
Industry or businesse,41.6,49,27
Nonprofit organization,6.6,5.4,8.8
Other or unknownf,4,3.2,5.7
Primary activityg,,,
Research and development,53.2,55.8,48
Teaching,D,20.3,D
Management or administration,D,3.7,D
Professional services and other,20.8,20.3,22
Secondary activityg,,,
Research and development,25.3,24.9,26
Teaching,5.5,6.3,4
Management or administration,25.1,23.3,28.7
Professional services and other,11.1,10.6,12
No secondary activity,33,34.9,29.3
Activity unknown,4.2,3.5,5.7
Postgraduation location (%)h,,,
United Statesi,93.1,92.2,95
Midwest,27.1,33.2,15.1
Northeast,13.4,11.3,17.6
South,31,30.8,31.5
West,21.3,16.4,30.8
Outside the United States,6.9,7.8,5
Location unknown,0,0,0
Postgraduation location in same state as doctorate institution (%),45.9,45,47.7
Male doctorate recipients reporting postgraduation status (number),511,332,179
Definite postdoctoral training plans,34.1,34.9,32.4
Definite employment plans,40.7,39.8,42.5
Seeking employment or study,23.9,24.4,22.9
Other statusa,1.2,0.9,1.7
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,94.8,92.2,100
Other training or unknownc,5.2,7.8,0
Definite employment plans (%)d,,,
Academe,35.1,37.1,31.6
In tenure track faculty position (%),38.4,46.9,20.8
Not in tenure track position (%),56.2,46.9,75
Government,11.5,5.3,22.4
Industry or businesse,41.8,48.5,30.3
Nonprofit organization,6.3,5.3,7.9
Other or unknownf,5.3,3.8,7.9
Primary activityg,,,
Research and development,58.2,59.2,56.3
Teaching,D,D,12.7
Management or administration,D,D,11.3
Professional services and other,19.4,19.2,19.7
Secondary activityg,,,
Research and development,25.5,26.4,23.9
Teaching,D,4.8,D
Management or administration,27.6,23.2,35.2
Professional services and other,8.7,8.8,8.5
No secondary activity,33.2,36.8,26.8
Activity unknown,5.8,5.3,6.6
Postgraduation location (%)h,,,
United Statesi,92.4,90.3,96.3
Midwest,26.4,34.3,11.9
Northeast,12.3,12.5,11.9
South,35.9,31.5,44
West,17.5,11.7,28.4
Outside the United States,7.6,9.7,3.7
Location unknown,0,0,0
Postgraduation location in same state as doctorate institution (%),48.4,44.8,55.2
Female doctorate recipients reporting postgraduation status (number),624,427,197
Definite postdoctoral training plans,29.3,28.3,31.5
Definite employment plans,42.1,42.2,42.1
Seeking employment or study,25.6,26.9,22.8
Other statusa,2.4,2.6,2
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,96.7,96.7,96.8
Other training or unknownc,3.3,3.3,3.2
Definite employment plans (%)d,,,
Academe,31.9,30.6,34.9
In tenure track faculty position (%),44,50.9,31
Not in tenure track position (%),54.8,47.3,69
Government,16.7,11.7,27.7
Industry or businesse,41.4,49.4,24.1
Nonprofit organization,6.8,5.6,9.6
Other or unknownf,3,2.8,3.6
Primary activityg,,,
Research and development,49.4,53.4,40.5
Teaching,22.4,D,D
Management or administration,6.3,D,D
Professional services and other,22,21,24.1
Secondary activityg,,,
Research and development,25.1,23.9,27.8
Teaching,D,7.4,D
Management or administration,23.1,23.3,22.8
Professional services and other,12.9,11.9,15.2
No secondary activity,32.9,33.5,31.6
Activity unknown,3,2.2,4.8
Postgraduation location (%)h,,,
United Statesi,93.7,93.7,93.8
Midwest,27.6,32.2,17.9
Northeast,14.3,10.3,22.8
South,26.9,30.2,20
West,24.4,20.3,33.1
Outside the United States,6.3,6.3,6.2
Location unknown,0,0,0
Postgraduation location in same state as doctorate institution (%),43.7,45.2,40.7
