Table 9-5,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Computer and information sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,
(Number and percent),,,
Characteristic,All computer and information sciences fields,Computer science,"Computer and information sciences, other"
Doctorate recipients reporting postgraduation status (number),2037,1436,601
Definite postdoctoral training plans,16,16.2,15.6
Definite employment plans,62,62.3,61.2
Seeking employment or study,20.2,19.9,21
Other statusa,1.8,1.6,2.2
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,95.4,95.7,94.7
Other training or unknownc,4.6,4.3,5.3
Definite employment plans (%)d,,,
Academe,22.3,19.8,28.5
In tenure track faculty position (%),62.1,58.2,68.6
Not in tenure track position (%),35.1,39,28.6
Government,2.9,1.8,5.4
Industry or businesse,69.5,74.1,58.4
Nonprofit organization,3.3,3,4.1
Other or unknownf,2,1.3,3.5
Primary activityg,,,
Research and development,73.3,74.7,69.7
Teaching,12.4,12,13.5
Management or administration,1.1,0.6,2.3
Professional services and other,13.2,12.8,14.4
Secondary activityg,,,
Research and development,16.4,15.7,17.9
Teaching,6.8,5.2,11
Management or administration,7.5,7,8.6
Professional services and other,12.1,12.6,10.7
No secondary activity,57.3,59.4,51.9
Activity unknown,3.6,2.8,5.7
Postgraduation location (%)h,,,
United Statesi,91.2,91.2,91.1
Midwest,9,8.3,10.8
Northeast,20.9,21.9,18.4
South,20.4,18.5,25.1
West,40.3,42.3,35.3
Outside the United States,8.6,8.7,8.2
Location unknown,0.3,0.1,0.6
Postgraduation location in same state as doctorate institution (%),32.2,32.2,32.3
Male doctorate recipients reporting postgraduation status (number),1537,1113,424
Definite postdoctoral training plans,15.6,15.5,15.8
Definite employment plans,63.4,64,61.8
Seeking employment or study,19.3,19,20
Other statusa,1.8,1.5,2.4
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,94.6,94.8,94
Other training or unknownc,5.4,5.2,6
Definite employment plans (%)d,,,
Academe,20.2,18.3,25.6
In tenure track faculty position (%),61.9,57.7,70.1
Not in tenure track position (%),35.5,39.2,28.4
Government,2.7,D,D
Industry or businesse,72.3,75.8,62.6
Nonprofit organization,3,D,D
Other or unknownf,1.8,1.4,3.1
Primary activityg,,,
Research and development,74.7,76,70.9
Teaching,10.9,10.9,10.8
Management or administration,1.4,0.7,3.2
Professional services and other,13.1,12.4,15.1
Secondary activityg,,,
Research and development,15.3,15.1,15.9
Teaching,6.3,4.9,10
Management or administration,7.8,7,10
Professional services and other,12.2,13.1,10
No secondary activity,58.4,59.9,54.2
Activity unknown,3.6,3.4,4.2
Postgraduation location (%)h,,,
United Statesi,91.4,91.4,91.2
Midwest,8.8,8.5,9.7
Northeast,20.4,21.7,17
South,20.3,18.4,25.5
West,41.4,42.6,38
Outside the United States,8.4,8.5,8.2
Location unknown,0.2,0.1,0.6
Postgraduation location in same state as doctorate institution (%),32.4,32.4,32.2
Female doctorate recipients reporting postgraduation status (number),500,323,177
Definite postdoctoral training plans,17.2,18.3,15.3
Definite employment plans,57.8,56.7,59.9
Seeking employment or study,23.2,23.2,23.2
Other statusa,1.8,1.9,1.7
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,97.7,98.3,96.3
Other training or unknownc,2.3,1.7,3.7
Definite employment plans (%)d,,,
Academe,29.4,25.7,35.8
In tenure track faculty position (%),62.4,59.6,65.8
Not in tenure track position (%),34.1,38.3,28.9
Government,3.5,D,D
Industry or businesse,60.2,67.2,48.1
Nonprofit organization,4.5,D,D
Other or unknownf,2.4,1.1,4.7
Primary activityg,,,
Research and development,68.7,69.8,66.7
Teaching,17.6,15.9,20.8
Management or administration,0,0,0
Professional services and other,13.7,14.3,12.5
Secondary activityg,,,
Research and development,19.8,18.1,22.9
Teaching,8.6,6,13.5
Management or administration,6.5,7.1,5.2
Professional services and other,11.5,11,12.5
No secondary activity,53.6,57.7,45.8
Activity unknown,3.8,0.5,9.4
Postgraduation location (%)h,,,
United Statesi,90.7,90.5,91
Midwest,9.6,7.4,13.5
Northeast,22.4,22.7,21.8
South,20.5,18.6,24.1
West,36.8,41.3,28.6
Outside the United States,9.1,9.5,8.3
Location unknown,0.3,0,0.8
Postgraduation location in same state as doctorate institution (%),31.7,31.4,32.3
