Table 9-7,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Geosciences, atmospheric, and ocean sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,
(Number and percent),,,
Characteristic,"All geosciences, atmospheric, and ocean sciences fields",Geological and earth sciences,"Ocean, marine, and atmospheric sciences"
Doctorate recipients reporting postgraduation status (number),1119,628,491
Definite postdoctoral training plans,50.4,44.6,57.8
Definite employment plans,27.5,32,21.8
Seeking employment or study,20.9,22.1,19.3
Other statusa,1.2,1.3,1
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,98,98.2,97.9
Other training or unknownc,2,1.8,2.1
Definite employment plans (%)d,,,
Academe,27.3,28.9,24.3
In tenure track faculty position (%),21.4,D,D
Not in tenure track position (%),78.6,D,D
Government,22.1,16.9,31.8
Industry or businesse,41.6,45.8,33.6
Nonprofit organization,5.8,6,5.6
Other or unknownf,3.2,2.5,4.7
Primary activityg,,,
Research and development,53,50.5,57.7
Teaching,15.8,19.1,9.6
Management or administration,3.7,D,D
Professional services and other,27.5,D,D
Secondary activityg,,,
Research and development,25.2,25.3,25
Teaching,4,D,D
Management or administration,16.1,D,D
Professional services and other,10.1,9.3,11.5
No secondary activity,44.6,46.4,41.3
Activity unknown,3.2,3.5,2.8
Postgraduation location (%)h,,,
United Statesi,92.8,91.9,93.9
Midwest,8.4,11,5.1
Northeast,16.1,14.3,18.2
South,29.6,28.7,30.7
West,38.5,37.6,39.6
Outside the United States,7,7.7,6.1
Location unknown,0.2,0.4,0
Postgraduation location in same state as doctorate institution (%),39.4,38.9,40.2
Male doctorate recipients reporting postgraduation status (number),618,353,265
Definite postdoctoral training plans,50.8,44.8,58.9
Definite employment plans,28.6,34.8,20.4
Seeking employment or study,19.3,19.3,19.2
Other statusa,1.3,1.1,1.5
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,98.4,98.1,98.7
Other training or unknownc,1.6,1.9,1.3
Definite employment plans (%)d,,,
Academe,24.3,23.6,25.9
In tenure track faculty position (%),23.3,D,D
Not in tenure track position (%),76.7,D,D
Government,19.8,17.9,24.1
Industry or businesse,47.5,48.8,44.4
Nonprofit organization,5.6,D,D
Other or unknownf,2.8,D,D
Primary activityg,,,
Research and development,57.9,55.9,62.3
Teaching,D,16.1,D
Management or administration,D,D,D
Professional services and other,26.9,D,D
Secondary activityg,,,
Research and development,23.4,22.9,24.5
Teaching,D,5.9,D
Management or administration,17,16.1,18.9
Professional services and other,11.1,11,11.3
No secondary activity,43.9,44.1,43.4
Activity unknown,3.4,4.1,1.9
Postgraduation location (%)h,,,
United Statesi,90.6,89.7,91.9
Midwest,9.2,10.7,7.1
Northeast,15.5,13.5,18.1
South,28.1,28.8,27.1
West,37.5,36.3,39
Outside the United States,9.2,10,8.1
Location unknown,0.2,0.4,0
Postgraduation location in same state as doctorate institution (%),39.9,39.9,40
Female doctorate recipients reporting postgraduation status (number),501,275,226
Definite postdoctoral training plans,49.9,44.4,56.6
Definite employment plans,26.1,28.4,23.5
Seeking employment or study,23,25.8,19.5
Other statusa,1,1.5,0.4
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,97.6,98.4,96.9
Other training or unknownc,2.4,1.6,3.1
Definite employment plans (%)d,,,
Academe,31.3,37.2,22.6
In tenure track faculty position (%),19.5,D,D
Not in tenure track position (%),80.5,D,D
Government,25.2,15.4,39.6
Industry or businesse,33.6,41,22.6
Nonprofit organization,6.1,D,D
Other or unknownf,3.8,D,D
Primary activityg,,,
Research and development,46.5,42.1,52.9
Teaching,D,23.7,D
Management or administration,D,D,D
Professional services and other,28.3,D,D
Secondary activityg,,,
Research and development,27.6,28.9,25.5
Teaching,D,D,D
Management or administration,15,D,D
Professional services and other,8.7,6.6,11.8
No secondary activity,45.7,50,39.2
Activity unknown,3.1,2.6,3.8
Postgraduation location (%)h,,,
United Statesi,95.5,95,96.1
Midwest,7.3,11.5,2.8
Northeast,16.8,15.5,18.2
South,31.5,28.5,34.8
West,39.9,39.5,40.3
Outside the United States,4.2,4.5,3.9
Location unknown,0.3,0.5,0
Postgraduation location in same state as doctorate institution (%),38.8,37.5,40.3
