Table A-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Research doctoral degrees included in the Survey of Earned Doctorates:  2019–23,,,,,,,,,,,
(Number and percent),,,,,,,,,,,
Doctoral degree type,Degree title,2019,,2020,,2021,,2022,,2023,
,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
All research doctorates ,-,55599,100,55203,100,52160,100,57448,100,57862,100
PhD ,Doctor of Philosophy ,54701,98.4,54249,98.3,51360,98.5,56671,98.6,57048,98.6
EdD ,Doctor of Education ,469,0.8,486,0.9,463,0.9,471,0.8,502,0.9
"DSc, ScD",Doctor of Science ,92,0.2,68,0.1,28,0.1,36,0.1,21,*
"DEng, DESc, DES",Doctor of Engineering or Engineering Science,43,0.1,54,0.1,21,*,19,*,22,*
DA ,Doctor of Arts ,1,*,1,*,0,0,1,*,0,0
DBA ,Doctor of Business Administration ,17,*,22,*,13,*,15,*,14,*
DMA ,Doctor of Musical Arts ,115,0.2,170,0.3,155,0.3,130,0.2,148,0.3
DDes ,Doctor of Design ,8,*,8,*,13,*,4,*,9,*
DPH ,Doctor of Public Health ,37,0.1,38,0.1,34,0.1,24,*,26,*
DHL ,Doctor of Hebrew Letters ,1,*,1,*,0,0,1,*,0,0
DME ,Doctor of Music Education ,1,*,2,*,2,*,0,0,2,*
DML ,Doctor of Modern Languages ,6,*,5,*,1,*,4,*,4,*
DNSc ,Doctor of Nursing Science ,2,*,5,*,0,0,0,0,3,*
ThD ,Doctor of Theology ,11,*,3,*,7,*,8,*,9,*
DFA ,Doctor of Fine Arts ,2,*,1,*,5,*,4,*,2,*
"JSD, SJD",Doctor of Juridical Science ,91,0.2,84,0.2,54,0.1,57,0.1,48,0.1
STD ,Doctor of Sacred Theology ,1,*,2,*,2,*,2,*,3,*
JCD ,Doctor of Canon Law ,1,*,4,*,2,*,1,*,1,*
