Table A-2,Unnamed: 1
Survey response rates: 1970–2023,
(Percent),
Year,Response rate
1970,98.1
1971,97.5
1972,97.3
1973,97.5
1974,94.2
1975,97.3
1976,97.2
1977,96.6
1978,96.3
1979,96.4
1980,96.2
1981,95.7
1982,95.3
1983,95.5
1984,95.1
1985,94.8
1986,93.5
1987,93.1
1988,92.9
1989,92.3
1990,93.6
1991,94.6
1992,95.1
1993,94.7
1994,94.6
1995,94.2
1996,93
1997,91.6
1998,91.9
1999,91.9
2000,92.4
2001,92.7
2002,91.3
2003,91.6
2004,91.3
2005,92.1
2006,93.1
2007,91.7
2008,92.3
2009,92.6
2010,93
2011,92.9
2012,92.5
2013,92
2014,90.6
2015,90.3
2016,92
2017,91.4
2018,92.2
2019,92.2
2020,92.2
2021,91.6
2022,91.7
2023,91.2
