Table A-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Doctoral SED-CIP code crosswalk to trend broad, major, and fine fields: 2023",,,,
(Field),,,,
SED-CIP code,SED-CIP title,Trend broad field,Trend major field,Trend fine field
01.0103,Agricultural Economics,Agricultural sciences and natural resources,Agricultural sciences,Agricultural economics
01.0904,Animal Nutrition,Agricultural sciences and natural resources,Agricultural sciences,Animal nutrition
01.0907,Poultry Science,Agricultural sciences and natural resources,Agricultural sciences,"Animal science, poultry or avian"
01.0302,Animal/ Livestock Husbandry and Production,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0306,Dairy Husbandry and Production,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0307,Horse Husbandry/ Equine Science and Management,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0505,Animal Training,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0507,Equestrian/ Equine Studies,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0509,Farrier Science,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0599,"Agricultural and Domestic Animal Services, Other",Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0901,"Animal Sciences, General",Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0902,Agricultural Animal Breeding,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0903,Animal Health,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0905,Dairy Science,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0906,Livestock Management,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0999,"Animal Sciences, Other",Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
26.0708,Animal Behavior and Ethology,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other"
01.0304,Crop Production,Agricultural sciences and natural resources,Agricultural sciences,Agronomy and crop science
01.1102,Agronomy and Crop Science,Agricultural sciences and natural resources,Agricultural sciences,Agronomy and crop science
01.1104,Agricultural and Horticultural Plant Breeding,Agricultural sciences and natural resources,Agricultural sciences,Agricultural and horticultural plant breeding
26.0305b,Plant Pathology/ Phytopathology (AGRICULTURAL SCIENCES),Agricultural sciences and natural resources,Agricultural sciences,Plant pathology/ phytopathology (agricultural sciences)
01.1101,"Plant Sciences, General",Agricultural sciences and natural resources,Agricultural sciences,"Plant sciences, other"
01.1105,Plant Protection and Integrated Pest Management,Agricultural sciences and natural resources,Agricultural sciences,"Plant sciences, other"
01.1199,"Plant Sciences, Other",Agricultural sciences and natural resources,Agricultural sciences,"Plant sciences, other"
01.1001,Food Science,Agricultural sciences and natural resources,Agricultural sciences,Food science
01.0401,Agricultural and Food Products Processing,Agricultural sciences and natural resources,Agricultural sciences,"Food science and technology, other"
01.1002,Food Technology and Processing,Agricultural sciences and natural resources,Agricultural sciences,"Food science and technology, other"
01.1003,Brewing Science,Agricultural sciences and natural resources,Agricultural sciences,"Food science and technology, other"
01.1004,Viticulture and Enology,Agricultural sciences and natural resources,Agricultural sciences,"Food science and technology, other"
01.1005,Zymology/ Fermentation Science,Agricultural sciences and natural resources,Agricultural sciences,"Food science and technology, other"
01.1099,"Food Science and Technology, Other",Agricultural sciences and natural resources,Agricultural sciences,"Food science and technology, other"
01.1202,Soil Chemistry and Physics,Agricultural sciences and natural resources,Agricultural sciences,Soil chemistry/ microbiology
01.1203,Soil Microbiology,Agricultural sciences and natural resources,Agricultural sciences,Soil chemistry/ microbiology
01.1203b,Soil Chemistry and Microbiology,Agricultural sciences and natural resources,Agricultural sciences,Soil chemistry/ microbiology
01.1201,"Soil Science and Agronomy, General",Agricultural sciences and natural resources,Agricultural sciences,"Soil sciences, other"
01.1299,"Soil Sciences, Other",Agricultural sciences and natural resources,Agricultural sciences,"Soil sciences, other"
01.0601,"Applied Horticulture/ Horticulture Operations, General",Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
01.0603,Ornamental Horticulture,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
01.0604,Greenhouse Operations and Management,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
01.0605,Landscaping and Groundskeeping,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
01.0606,Plant Nursery Operations and Management,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
01.0607,Turf and Turfgrass Management,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
01.0608,Floriculture/ Floristry Operations and Management,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
01.0609,Public Horticulture,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science
