Table B-1,Unnamed: 1,Unnamed: 2
SED data table crosswalk: 2020 vs. 2021–23,,
(Crosswalk),,
2020,2021–23,2023 table title
Trends in research doctorate recipient characteristics ,,
Table 1,Table 1-1,Research doctorate recipients from U.S. colleges and universities: 1958–2023
Table 11,Table 1-2,"Research doctorate recipients, by trend broad field of doctorate and 2021 Carnegie Classification of doctorate institution: 2013–23"
Table 12,Table 1-3,"Research doctorate recipients, by trend major field of doctorate: Selected years, 1993–2023"
Table 14,Table 1-4,"Research doctorate recipients, by trend broad field of doctorate and sex: Selected years, 1993–2023"
Table 15,Table 1-5,"Research doctorate recipients, by trend major field of doctorate and sex: 2013–23"
Table 17,Table 1-6,"Research doctorate recipients, by trend broad field of doctorate and citizenship status: Selected years, 1978–2023"
Table 18,Table 1-7,"Research doctorate recipients, by trend major field of doctorate and citizenship status: 2013–23"
Table 19,Table 1-8,"Research doctorate recipients, by ethnicity, race, and citizenship status: 2013–23"
Table 20,Table 1-9,"Male research doctorate recipients, by ethnicity, race, and citizenship status: 2013–23"
Table 21,Table 1-10,"Female research doctorate recipients, by ethnicity, race, and citizenship status: 2013–23"
Table 23,Table 1-11,"U.S. citizen and permanent resident research doctorate recipients, by trend broad field of doctorate, ethnicity, and race: Selected years, 1978–2023"
Table 31,Table 1-12,"Median years to research doctorate, by trend broad field of doctorate: Selected years, 1973–2023"
Table 39,Table 1-13,"Education-related debt of research doctorate recipients, by trend broad field of doctorate: 2013–23"
Table 34,Table 1-14,Highest educational attainment of either parent of research doctorate recipients: 1970–2023
Trends in postgraduation commitments of research doctorate recipients,,
Table 42,Table 2-1,"Postgraduation commitment of research doctorate recipients, by trend broad field of doctorate: Selected years, 1993–2023"
Table 43,Table 2-2,"Postgraduation commitment of research doctorate recipients, by sex, citizenship status, ethnicity, and race: Selected years, 1993–2023"
Table 44,Table 2-3,"Postgraduation plans of research doctorate recipients with definite commitments, by trend broad field of doctorate: Selected years, 1993–2023"
Table 45,Table 2-4,"Postgraduation plans of research doctorate recipients with definite commitments, by sex, citizenship status, ethnicity, and race: Selected years, 1993–2023"
Table 50,Table 2-5,"Sources of support for research doctorate recipients with postdoctoral training commitments, by sex, citizenship status, ethnicity, and race: Selected years, 1993–2023"
Table 46,Table 2-6,"Employment sector of research doctorate recipients with definite postgraduation commitments for non-postdoc employment in the United States, by trend broad field of doctorate: Selected years, 1993–2023"
Table 47,Table 2-7,"Employment sector of research doctorate recipients with definite postgraduation commitments for non-postdoc employment in the United States, by sex, citizenship status, ethnicity, and race: Selected years, 1993–2023"
Table 53,Table 2-8,"Research doctorate recipients with temporary visas intending to stay in the United States after doctorate receipt, by region and country or economy of citizenship: 2017–23"
Field and demographic characteristics of research doctorate recipients,,
Table 13,Table 3-1,"Research doctorate recipients, by detailed field of doctorate: 2021–23"
Table 16,Table 3-2,"Research doctorate recipients, by detailed field of doctorate and sex: 2023"
Table 22,Table 3-3,"Research doctorate recipients, by detailed field of doctorate, citizenship status, ethnicity, and race: 2023"
Table 24,Table 3-4,"U.S. citizen and permanent resident research doctorate recipients, by major field of doctorate, ethnicity, and race: 2023"
Table 32,Table 3-5,"Median years to science and engineering research doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023"
Table 32,Table 3-6,"Median years to non-science and engineering research doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023"
Table 27,Table 3-7,"Median age and age distribution of research doctorate recipients, by broad field of doctorate, sex, citizenship status, ethnicity, and race: 2023"
Financial support and education-related debt of research doctorate recipients,,
Table 35,Table 4-1,"Research doctorate recipients' primary source of financial support, by broad field of doctorate, sex, citizenship status, ethnicity, and race: 2023"
Table 36,Table 4-2,"Research doctorate recipients' sources of financial support, by broad field of doctorate and sex: 2023"
Table 37,Table 4-3,"Research doctorate recipients' sources of financial support, by sex and broad field of doctorate: 2023"
Table 38,Table 4-4,"Education-related debt of research doctorate recipients, by broad field of doctorate: 2023"
Table 40,Table 4-5,"Education-related debt of research doctorate recipients, by sex, citizenship status, ethnicity, and race: 2023"
Table 41,Table 4-6,"U.S. citizen and permanent resident research doctorate recipients with graduate education-related debt, by ethnicity, race, and broad field of doctorate: 2023"
Educational and background characteristics of research doctorate recipients,,
Table 30,Table 5-1,"Research doctorate recipients who ever attended community college, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023"
New,Table 5-2,"Research doctorate recipients who earned a bachelor's degree related to doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023"
Table 29,Table 5-3,"Research doctorate recipients who earned a master's degree related to doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023"
New,Table 5-4,"Baccalaureate-origin institution characteristics of research doctorate recipients, by broad field of doctorate: 2023"
Table 33,Table 5-5,"Educational attainment of research doctorate recipients' parents, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023"
Table 28,Table 5-6,"Research doctorate recipients with one or more functional limitations, by broad field of doctorate, sex, and citizenship status: 2023"
Postgraduation commitments and salaries of research doctorate recipients,,
Table 51,Table 6-1,"Research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2023"
Table 51,Table 6-2,"U.S. citizen and permanent resident research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2023"
Table 51,Table 6-3,"Temporary visa holder research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2023"
Table 52,Table 6-4,"Female research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2023"
Table 52,Table 6-5,"Male research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2023"
Table 48,Table 6-6,"Median basic annual salary for research doctorate recipients with definite postgraduation plans in the United States, by broad field of doctorate, type of postgraduation plans, and sex: 2023"
Table 49,Table 6-7,"Median basic annual salary for research doctorate recipients with definite postgraduation plans for non-postdoc employment in the United States, by broad field of doctorate and employment sector: 2023"
"Doctorate institutions, locations, and countries of origins of research doctorate recipients",,
Table 2,Table 7-1,Doctorate-granting institutions and research doctorate recipients per institution: 1973–2023
Table 3,Table 7-2,"Top 50 doctorate-granting institutions ranked by total number of research doctorate recipients, by sex: 2023"
Table 4,Table 7-3,"Top 20 doctorate-granting institutions ranked by total number of research doctorate recipients, by broad field of doctorate and sex: 2023"
Table 9,Table 7-4,"Top 20 doctorate-granting institutions ranked by number of minority U.S. citizen and permanent resident research doctorate recipients, by ethnicity and race: 5-year total, 2019–23"
Table 10,Table 7-5,"Top 20 doctorate-granting institutions, ranked by number of research doctorate recipients holding temporary visas: 2023"
Table 5,Table 7-6,"State or location of doctorate institution ranked by total number of research doctorate recipients, by field of doctorate and sex: 2023"
Table 26,Table 7-7,"Top 10 countries or economies of origin of temporary visa holders earning U.S. research doctorates, by country or economy of citizenship and field of doctorate: 2013–23"
