sas_name,DESCRIPTION
ACTCAP,"Activity, Computer Applications"
ACTDED,"Activity, Development and Design"
ACTMGT,"Activity, Management/Sales"
ACTRD,"Activity, Research and Development"
ACTRDT,"Activity, Research, Development, and Teaching"
ACTRES,"Activity, Research (Basic and/or Applied)"
ACTTCH,"Activity, Teaching"
ADQCOMM,Career Preparation: Oral Communication Skills
ADQCOMP,Career Preparation: Computer Skills
ADQCONT,Career Preparation: Establishing Contacts
ADQETHIC,Career Preparation: Research Integrity/Ethics
ADQGP,Career Preparation: Problem Solving Skills
ADQKNOW,Career Preparation: Subject Matter Knowledge
ADQMNG,Career Preparation: Management/Administrative Skills
ADQNONE,No More Training Desired
ADQPRI,More Training: First Area
ADQQUA,Career Preparation: Quantitative Skills
ADQSEC,More Training: Second Area
ADQTEACH,Career Preparation: Teaching Skills
ADQTEAM,Career Preparation: Collaboration/Team Work Skills
ADQWRITE,Career Preparation: Writing Skills
AGE,Age
AGEGR,Age Group (in 5-year intervals)
AGEP,"Age, recoded for public use."
ARTICLE,Number of Articles Authored or Co-authored Which Have Been Accepted for Publication
ASIAN,New Asian racial background indicator
BAACYR,Academic Year of First Bachelor Degree
BAAYR3,Year of First Bachelor degree (3-year intervals)
BAAYR5,Year of First Bachelor Degree (5-year intervals)
BAAYR5P,"Year of First Bachelor Degree (5-year intervals), recoded for public use."
BACARN,Carnegie Classification for School Awarding First Bachelor Degree
BADGRUS,Location of School Awarding First Bachelor Degree (USA/Non-USA code)
BAINCD,Code for School Awarding First Bachelor Degree
BAMED,Field of Major for First Bachelor Degree (Best code)
BAMEDP,Field of Major for First Bachelor Degree Code (Recoded for public use)
BAMEDX,Field of Major for First Bachelor Degree (Reported code)
BAMEMG,Field of Major for First Bachelor Degree (Major group)
BAMENG,Field of Major for First Bachelor Degree (Minor group)
BAMN,Month of First Bachelor Degree
BAPBPR,Indicator of Public/Private Status of School Awarding First Bachelor Degree
BARGN,Location of School Awarding First Bachelor Degree (Region code)
BARGNP,"Location of School Awarding First Bachelor Degree (Region code, recoded for public use)"
BAST,Location of School Awarding First Bachelor Degree (Reported state code)
BAYR,Year of First Bachelor Degree
BIRDAY,Birth Date: Day
BIRMN,Birth Date: Month
BIRYR,Birth Date: Year
BIRYRP,"Year, Date of Birth Public Use"
BLACK,Black or African-American racial background indicator	
BOOKS,Number of Books or Monographs (co)authored Accepted for Publication.
BSDGN,Number Of Bachelors Or Higher Degrees
BTHRGN,"Region Code, Place of Birth"
BTHST,"State/Country Code, Place of Birth"
BTHUS,Place of Birth (Recoded for public use)
CARNEG,Carnegie Class for Employer
