SESTAT DATA DICTIONARY/FILE LAYOUT FOR EPSD03.DAT


SAS NAME          LENGTH   FORMAT   START     END     TYPE        LABEL
--------          ------   ------   -----    -----   ---------    ------------------------------
ACADADJF           0001    $CHAR1.  00001    00001   Character    E_JOB_EMPLR_ACAD_POSITION_ADJUNCT                 
ACADADMN           0001    $CHAR1.  00002    00002   Character    E_JOB_EMPLR_ACAD_POSITION_ADMIN_PUB               
ACADNA             0001    $CHAR1.  00003    00003   Character    E_JOB_EMPLR_ACAD_POSITION_NA                      
ACADOTHP           0001    $CHAR1.  00004    00004   Character    E_JOB_EMPLR_ACAD_POSITION_OTHER_PUB               
ACADPDOC           0001    $CHAR1.  00005    00005   Character    E_JOB_EMPLR_ACAD_POSITION_POSTDOC                 
ACADRCHF           0001    $CHAR1.  00006    00006   Character    E_JOB_EMPLR_ACAD_POSITION_RESEARCH_FACULTY        
ACADTCHF           0001    $CHAR1.  00007    00007   Character    E_JOB_EMPLR_ACAD_POSITION_TEACH_FACULTY           
ACADV              0001    $CHAR1.  00008    00008   Character    N_ED_REF_WK_ENROLL_REAS_ADVANCEMT                 
ACCAR              0001    $CHAR1.  00009    00009   Character    N_ED_REF_WK_ENROLL_REAS_BEGIN_CAREER              
ACCCEP             0001    $CHAR1.  00010    00010   Character    N_ED_REF_WK_EMP_ASSISTANCE                        
ACCHG              0001    $CHAR1.  00011    00011   Character    N_ED_REF_WK_ENROLL_REAS_CHG_FLD                   
ACFPT              0001    $CHAR1.  00012    00012   Character    N_ED_REF_WK_ENROLL_FT_PT_IND                      
ACINT              0001    $CHAR1.  00013    00013   Character    N_ED_REF_WK_ENROLL_REAS_PERSONL                   
ACLIC              0001    $CHAR1.  00014    00014   Character    N_ED_REF_WK_ENROLL_REAS_LICENSING                 
ACOTP              0001    $CHAR1.  00015    00015   Character    N_ED_REF_WK_ENROLL_REAS_OTHR_PUB                  
ACSIN              0001    $CHAR1.  00016    00016   Character    N_ED_REF_WK_ENROLL_IND_REV                        
ACSKL              0001    $CHAR1.  00017    00017   Character    N_ED_REF_WK_ENROLL_REAS_ACQ_SKILL                 
ACTCAP             0001    $CHAR1.  00018    00018   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER              
ACTDED             0001    $CHAR1.  00019    00019   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN            
ACTMGT             0001    $CHAR1.  00020    00020   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_MGT_SALES             
ACTRD              0001    $CHAR1.  00021    00021   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV             
ACTRDT             0001    $CHAR1.  00022    00022   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_TEACH       
ACTRES             0001    $CHAR1.  00023    00023   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH                 
ACTTCH             0001    $CHAR1.  00024    00024   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_TEACH                 
AGEP               0003    3.0      00025    00027   Numeric      U_DEM_AGE_PUB                                     
ARTICLEP           0004    4.0      00028    00031   Numeric      F_JOB_ARTICLES_PROF_JOURNALS_PUB                  
BA03Y5P            0005    5.0      00032    00036   Numeric      J_ED_BA_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB     
BOOKSP             0001    $CHAR1.  00037    00037   Character    F_JOB_BOOKS_PUBLISHED_IND                         
BTHUS              0002    $CHAR2.  00038    00039   Character    U_DEM_BIRTH_PLACE_REGION_US_NONUS                 
CH1218IN           0001    $CHAR1.  00040    00040   Character    W_DEM_CHILDREN_IND_12_18                          
CH19IN             0001    $CHAR1.  00041    00041   Character    W_DEM_CHILDREN_IND_19                             
CH25IN             0001    $CHAR1.  00042    00042   Character    W_DEM_CHILDREN_IND_2_5                            
CH611IN            0001    $CHAR1.  00043    00043   Character    W_DEM_CHILDREN_IND_6_11                           
CH6IN              0001    $CHAR1.  00044    00044   Character    W_DEM_CHILDREN_IND_UNDER_6                        
CHTOTPB            0002    $CHAR2.  00045    00046   Character    W_DEM_CHILDREN_TOTAL_PUB                          
CHU2IN             0001    $CHAR1.  00047    00047   Character    W_DEM_CHILDREN_IND_UNDER_2                        
CHUN12             0001    $CHAR1.  00048    00048   Character    W_DEM_CHILDREN_UNDER_12_IND                       
CMEDU              0001    $CHAR1.  00049    00049   Character    V_DEM_FIRST_CAME_REASON_TO_US_EDUCATION           
CMFAM              0001    $CHAR1.  00050    00050   Character    V_DEM_FIRST_CAME_REASON_TO_US_FAMILY              
CMFLD              0001    $CHAR1.  00051    00051   Character    V_DEM_FIRST_CAME_REASON_TO_US_SCIENCE             
CMOPP              0001    $CHAR1.  00052    00052   Character    V_DEM_FIRST_CAME_REASON_TO_US_JOB                 
CMOT               0001    $CHAR1.  00053    00053   Character    V_DEM_FIRST_CAME_REASON_TO_US_OTHER               
CMPRI              0001    $CHAR1.  00054    00054   Character    V_DEM_FIRST_CAME_REASON_TO_US_PRIMARY             
CMSEC              0001    $CHAR1.  00055    00055   Character    V_DEM_FIRST_CAME_REASON_TO_US_SECONDARY           
COHORT             0001    $CHAR1.  00056    00056   Character    Z_SURVEY_COHORT                                   
CTZUS              0001    $CHAR1.  00057    00057   Character    V_DEM_US_CITIZENSHIP_STATUS                       
CTZUSIN            0001    $CHAR1.  00058    00058   Character    V_DEM_CITIZENSHIP_US_CITIZEN                      
DGRDG              0001    $CHAR1.  00059    00059   Character    O_ED_HD_DEGREE_TYPE                               
EMSECPB            0001    $CHAR1.  00060    00060   Character    E_JOB_EMPLR_SECTOR_CD_PUB                         
EMSIZE             0001    $CHAR1.  00061    00061   Character    E_JOB_EMPLR_SIZE                                  
