sas_name,SESTAT_NAME,DESCRIPTION,source,question,domain,SAS_FMT
ACADADJF,E_JOB_EMPLR_ACAD_POSITION_ADJUNCT,Academic position: adjunct faculty,A14.5,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution? (Marked ""Adjunct faculty"")","Working during the week of April 1, 2006 and employer is a postsecondary institution (SDR only)",$MRKALL.
ACADADMN,E_JOB_EMPLR_ACAD_POSITION_ADMIN_PUB,Academic position: dean or president,RECODE,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution? (Marked 'Dean (any level), department head or chair' or 'President, Provost or Chancellor (any level)')","Working during the week of April 1, 2006 and employer is a postsecondary institution (SDR only)",$MRKACD.
ACADNA,E_JOB_EMPLR_ACAD_POSITION_NA,Academic position: not applicable,A14.0,Derived after data collection from reported information,"Working during the week of April 1, 2006 and employer is a postsecondary institution (SDR only)",$MRKALL.
ACADOTHP,E_JOB_EMPLR_ACAD_POSITION_OTHER_PUB,"Academic position: research assistant, teaching assistant or other",RECODE,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution?(Marked 'Teaching assistant', 'Research assistant' or 'Other')","Working during the week of April 1, 2006 and employer is a postsecondary institution (SDR only)",$MRKOTH.
ACADPDOC,E_JOB_EMPLR_ACAD_POSITION_POSTDOC,Academic position: postdoc,A14.6,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution? (Marked ""Postdoc (e.g., postdoctoral fellow or associate)"")","Working during the week of April 1, 2006 and employer is a postsecondary institution (SDR only)",$MRKALL.
ACADRCHF,E_JOB_EMPLR_ACAD_POSITION_RESEARCH_FACULTY,Academic position: research faculty,A14.3,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution? (Marked ""Research faculty, scientist, associate or fellow"")","Working during the week of April 1, 2006 and employer is a postsecondary institution (SDR only)",$MRKALL.
ACADTCHF,E_JOB_EMPLR_ACAD_POSITION_TEACH_FACULTY,Academic position: teaching faculty,A14.4,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution? (Marked ""Teaching faculty"")","Working during the week of April 1, 2006 and employer is a postsecondary institution (SDR only)",$MRKALL.
ACTCAP,F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER,Primary/secondary work activity on principal job: computer applications,RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$YESNO.
ACTDED,F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN,Primary/secondary work activity on principal job: development or design,RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$YESNO.
ACTMGT,F_JOB_WRK_ACTIVITY_PRIM_SEC_MGT_SALES,Primary/secondary work activity on principal job: management/sales,RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$YESNO.
ACTRD,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV,Primary/secondary work activity on principal job: basic research/applied research/development/design,RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$YESNO.
ACTRDT,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_TEACH,Primary/secondary work activity on principal job: basic research/applied research/development/design/teaching,RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$YESNO.
ACTRES,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH,Primary/secondary work activity on principal job: basic or applied research,RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$YESNO.
ACTTCH,F_JOB_WRK_ACTIVITY_PRIM_SEC_TEACH,Primary/secondary work activity on principal job: teaching,RECODE,Derived within SESTAT from reported information.,"Working during the week of April 1, 2006",$YESNO.
AGEP,U_DEM_AGE_PUB,Age (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,AGE03P.
