var,label,SAS_FMT
ACADADJF,Academic position: adjunct faculty,$MARK_ALL_CODES
ACADADMN,Academic position: dean or president,$MARK_ACADMN
ACADNA,Academic position: not applicable,$MARK_ALL_CODES
ACADOTHP,"Academic position: research assistant, teaching assistant or other",$MARK_ACADOTH
ACADPDOC,Academic position: postdoc,$MARK_ALL_CODES
ACADRCHF,Academic position: research faculty,$MARK_ALL_CODES
ACADTCHF,Academic position: teaching faculty,$MARK_ALL_CODES
ACADV,Reason for taking courses during reference week: increase advancement opportunities,$YES_NO_CODES
ACCAR,Reason for taking courses during reference week: further education before career,$YES_NO_CODES
ACCCEP,School related costs for course taking paid by employer,$YES_NO_CODES
ACCHG,Reason for taking courses during reference week:  change academic/occupational field,$YES_NO_CODES
ACDRG,Type of degree working on during reference week,$DEGREE_CODES
ACFPT,Taking courses/enrolled during reference week: enrollment status,$FULL_PART_TIME_STUDENT_NEW
ACINT,Reason for taking courses during reference week: leisure/personal interest,$YES_NO_CODES
ACLIC,Reason for taking courses during reference week: licensure/certification,$YES_NO_CODES
ACOTP,"Reason for taking courses during reference week: graduate school, required by employer or other",$MARK_ACOTP
ACSIN,Taking courses and/or enrolled during reference week indicator,$YES_NO_CODES
ACSKL,Reason for taking courses during reference week: gain further skills in field,$YES_NO_CODES
ACTCAP,Primary/secondary work activity on principal job: computer applications,$YES_NO_CODES
ACTDED,Primary/secondary work activity on principal job: development or design,$YES_NO_CODES
ACTMGT,Primary/secondary work activity on principal job: management/sales,$YES_NO_CODES
ACTRD,Primary/secondary work activity on principal job: basic research/applied research/development/design,$YES_NO_CODES
ACTRDT,Primary/secondary work activity on principal job: basic research/applied research/development/design/teaching,$YES_NO_CODES
ACTRES,Primary/secondary work activity on principal job: basic or applied research,$YES_NO_CODES
ACTTCH,Primary/secondary work activity on principal job: teaching,$YES_NO_CODES
AGEGRP,Age Group (5 year intervals) (recoded for public use),AGE_GROUP_CODES_PUB
BAAYR5P,Year of award of first bachelor's degree (5-year intervals) (recoded for public use),BAAYR5P_CODES
BADGRUS,Location of school awarding first bachelor's degree (U.S./Non-U.S.),$US_NONUS_CODES
BAPBPR,Public/private status of postsecondary institution awarding first bachelor's degree - 1994 Carnegie value,$PUBLIC_PRIVATE_CODES
BARGNP,Location of school awarding first bachelor's degree (region code) (recoded for public use),$REGION_CODES_PUB
BTHUS,Place of birth (U.S./Non-U.S.),$US_NONUS_CODES
CH1218IN,Children living in household indicator: ages 12-18,$YES_NO_CODES
CH19IN,Children living in household indicator: age 19 or older,$YES_NO_CODES
CH25IN,Children living in household indicator: ages 2-5,$YES_NO_CODES
CH611IN,Children living in household indicator: ages 6-11,$YES_NO_CODES
CH6IN,Children living in household indicator: under age 6,$YES_NO_CODES
CHCHG,Reason for changing employer or job: change in career/professional interests,$YES_NO_CODES
CHCON,Reason for changing employer or job: working conditions,$YES_NO_CODES
CHFAM,Reason for changing employer or job: family-related reasons,$YES_NO_CODES
CHLAY,Reason for changing employer or job: laid off/job terminated,$YES_NO_CODES
CHLOC,Reason for changing employer or job: job location,$YES_NO_CODES
CHLVIN,Children living in household indicator (all ages),$YES_NO_CODES
