SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
ACADADJF,E_JOB_EMPLR_ACAD_POSITION_ADJUNCT,Academic position: adjunct faculty,A16.5,"During the week of February 1, 2015, what type of academic position(s) did you hold at this institution? (Marked Adjunct faculty)","Working during the week of February 1, 2015 and employer is a postsecondary institution",$MARK_ALL_CODES
ACADADMN,E_JOB_EMPLR_ACAD_POSITION_ADMIN_PUB,Academic position: dean or president,RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015 and employer is a postsecondary institution",$MARK_ACADMN
ACADNA,E_JOB_EMPLR_ACAD_POSITION_NA,Academic position: not applicable,A16.0,Derived after data collection from reported information,"Working during the week of February 1, 2015 and employer is a postsecondary institution",$MARK_ALL_CODES
ACADOTHP,E_JOB_EMPLR_ACAD_POSITION_OTHER_PUB,"Academic position: research assistant, teaching assistant or other",RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015 and employer is a postsecondary institution",$MARK_ACADOTH
ACADPDOC,E_JOB_EMPLR_ACAD_POSITION_POSTDOC,Academic position: postdoc,A16.6,"During the week of February 1, 2015, what type of academic position(s) did you hold at this institution? (Marked Postdoc (e.g., postdoctoral fellow or associate))","Working during the week of February 1, 2015 and employer is a postsecondary institution",$MARK_ALL_CODES
ACADRCHF,E_JOB_EMPLR_ACAD_POSITION_RESEARCH_FACULTY,Academic position: research faculty,A16.3,"During the week of February 1, 2015, what type of academic position(s) did you hold at this institution? (Marked Research faculty, scientist, associate or fellow)","Working during the week of February 1, 2015 and employer is a postsecondary institution",$MARK_ALL_CODES
ACADTCHF,E_JOB_EMPLR_ACAD_POSITION_TEACH_FACULTY,Academic position: teaching faculty,A16.4,"During the week of February 1, 2015, what type of academic position(s) did you hold at this institution? (Marked Teaching faculty)","Working during the week of February 1, 2015 and employer is a postsecondary institution",$MARK_ALL_CODES
ACADV,N_ED_REF_WK_ENROLL_REAS_ADVANCEMT,Reason for taking courses during reference week: increase advancement opportunities,D11.6,"For which of the following reasons were you taking courses or enrolled? (Response to: To increase opportunities for promotion, advancement or higher salary)","Took courses/enrolled in college/university during the week of February 1, 2015",$YES_NO_CODES
ACCAR,N_ED_REF_WK_ENROLL_REAS_BEGIN_CAREER,Reason for taking courses during reference week: further education before career,D11.1,For which of the following reasons were you taking classes or enrolled? (Response to: To gain further education before beginning a career),"Took courses/enrolled in college/university during the week of February 1, 2015",$YES_NO_CODES
ACCCEP,N_ED_REF_WK_EMP_ASSISTANCE,School related costs for course taking paid by employer,D12,Were any of your school-related costs for taking courses paid for by an employer?,Took courses/enrolled in college/university during reference week,$YES_NO_CODES
ACCHG,N_ED_REF_WK_ENROLL_REAS_CHG_FLD,Reason for taking courses during reference week:  change academic/occupational field,D11.3,For which of the following reasons were you taking classes or enrolled? (Response to: To change your academic or occupational field),"Took courses/enrolled in college/university during the week of February 1, 2015",$YES_NO_CODES
ACDRG,N_ED_REF_WK_WORK_DEGREE,Type of degree working on during reference week,D09,Toward what degree were you working?,"Took courses/enrolled in college/university during the week of February 1, 2015",$DEGREE_CODES
ACFPT,N_ED_REF_WK_ENROLL_FT_PT_IND,Taking courses/enrolled during reference week: enrollment status,D08,Were you taking courses or enrolled as ... (Response to: full-time/part-time/not enrolled but taking courses),"Took courses/enrolled in college/university during the week of February 1, 2015",$FULL_PART_TIME_STUDENT_NEW
ACINT,N_ED_REF_WK_ENROLL_REAS_PERSONL,Reason for taking courses during reference week: leisure/personal interest,D11.8,For which of the following reasons were you taking classes or enrolled?  (Response to: For leisure or personal interest),"Took courses/enrolled in college/university during the week of February 1, 2015",$YES_NO_CODES
ACLIC,N_ED_REF_WK_ENROLL_REAS_LICENSING,Reason for taking courses during reference week: licensure/certification,D11.5,For which of the following reasons were you taking classes or enrolled? (Response to: For licensure or certification),"Took courses/enrolled in college/university during the week of February 1, 2015",$YES_NO_CODES
ACOTP,N_ED_REF_WK_ENROLL_REAS_OTHR_PUB,"Reason for taking courses during reference week: graduate school, required by employer or other",RECODE,Derived within SESTAT from reported information,"Took courses/enrolled in college/university during the week of February 1, 2015",$MARK_ACOTP
ACSIN,N_ED_REF_WK_ENROLL_IND_REV,Taking courses and/or enrolled during reference week indicator,D07,"During the week of February 1, 2015, were you enrolled in or taking courses at a college or university?",All respondents,$YES_NO_CODES
ACSKL,N_ED_REF_WK_ENROLL_REAS_ACQ_SKILL,Reason for taking courses during reference week: gain further skills in field,D11.4,For which of the following reasons were you taking classes or enrolled? (Response to: To gain further skills or knowledge in your academic or occupational field),"Took courses/enrolled in college/university during the week of February 1, 2015",$YES_NO_CODES
ACTCAP,F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER,Primary/secondary work activity on principal job: computer applications,RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2015",$YES_NO_CODES
