Year,SETR Category,Award level,Total Graduates,US Graduates,US Nonresident Graduates
2014,Lasers,All award levels (total),38014,28003,10011
2015,Lasers,All award levels (total),40727,28094,12633
2016,Lasers,All award levels (total),40136,25396,14740
2017,Lasers,All award levels (total),40323,26405,13918
2018,Lasers,All award levels (total),39211,26463,12748
2019,Lasers,All award levels (total),38619,27115,11504
2020,Lasers,All award levels (total),36725,25903,10822
2021,Lasers,All award levels (total),34439,24988,9451
2022,Lasers,All award levels (total),31853,24600,7253
2023,Lasers,All award levels (total),33028,24120,8908
2014,Lasers,Associate's degree,7906,7852,54
2015,Lasers,Associate's degree,7839,7795,44
2016,Lasers,Associate's degree,4507,4448,59
2017,Lasers,Associate's degree,4439,4379,60
2018,Lasers,Associate's degree,4585,4518,67
2019,Lasers,Associate's degree,4734,4645,89
2020,Lasers,Associate's degree,3708,3633,75
2021,Lasers,Associate's degree,3670,3580,90
2022,Lasers,Associate's degree,3301,3234,67
2023,Lasers,Associate's degree,3342,3292,50
2014,Lasers,Bachelor's degree,16195,14363,1832
2015,Lasers,Bachelor's degree,16833,14644,2189
2016,Lasers,Bachelor's degree,17824,15476,2348
2017,Lasers,Bachelor's degree,19032,16554,2478
2018,Lasers,Bachelor's degree,18863,16295,2568
2019,Lasers,Bachelor's degree,19405,16744,2661
2020,Lasers,Bachelor's degree,19363,16657,2706
2021,Lasers,Bachelor's degree,18662,16246,2416
2022,Lasers,Bachelor's degree,17837,15768,2069
2023,Lasers,Bachelor's degree,16953,15155,1798
2014,Lasers,Doctor's degree – other,1,1,0
2015,Lasers,Doctor's degree – other,3,2,1
2016,Lasers,Doctor's degree – other,1,0,1
2017,Lasers,Doctor's degree – other,1,0,1
2023,Lasers,Doctor's degree – other,1,1,0
2014,Lasers,Doctor's degree – research/scholarship,2367,771,1596
2015,Lasers,Doctor's degree – research/scholarship,2408,792,1616
2016,Lasers,Doctor's degree – research/scholarship,2343,757,1586
2017,Lasers,Doctor's degree – research/scholarship,2374,681,1693
2018,Lasers,Doctor's degree – research/scholarship,2396,699,1697
2019,Lasers,Doctor's degree – research/scholarship,2358,692,1666
2020,Lasers,Doctor's degree – research/scholarship,2434,681,1753
2021,Lasers,Doctor's degree – research/scholarship,2225,608,1617
2022,Lasers,Doctor's degree – research/scholarship,2286,645,1641
2023,Lasers,Doctor's degree – research/scholarship,2266,664,1602
2014,Lasers,Master's degree,10309,3851,6458
2015,Lasers,Master's degree,12304,3625,8679
2016,Lasers,Master's degree,14145,3537,10608
2017,Lasers,Master's degree,13075,3491,9584
2018,Lasers,Master's degree,11900,3585,8315
2019,Lasers,Master's degree,10688,3668,7020
2020,Lasers,Master's degree,9810,3604,6206
2021,Lasers,Master's degree,8704,3440,5264
2022,Lasers,Master's degree,7127,3694,3433
2023,Lasers,Master's degree,9185,3790,5395
2014,Lasers,Post-master's certificate,56,28,28
2015,Lasers,Post-master's certificate,73,40,33
2016,Lasers,Post-master's certificate,43,11,32
2017,Lasers,Post-master's certificate,36,29,7
2018,Lasers,Post-master's certificate,39,16,23
2019,Lasers,Post-master's certificate,8,4,4
2020,Lasers,Post-master's certificate,32,15,17
2021,Lasers,Post-master's certificate,29,9,20
2022,Lasers,Post-master's certificate,14,7,7
2023,Lasers,Post-master's certificate,24,8,16
2014,Lasers,Postbaccalaureate certificate,93,56,37
2015,Lasers,Postbaccalaureate certificate,120,60,60
2016,Lasers,Postbaccalaureate certificate,154,57,97
2017,Lasers,Postbaccalaureate certificate,176,92,84
2018,Lasers,Postbaccalaureate certificate,108,39,69
2019,Lasers,Postbaccalaureate certificate,108,52,56
2020,Lasers,Postbaccalaureate certificate,108,52,56
2021,Lasers,Postbaccalaureate certificate,134,102,32
2022,Lasers,Postbaccalaureate certificate,146,121,25
2023,Lasers,Postbaccalaureate certificate,123,82,41
2014,Lasers,Postsecondary certificate < 60 semester credit hours,1058,1052,6
2015,Lasers,Postsecondary certificate < 60 semester credit hours,1106,1095,11
2016,Lasers,Postsecondary certificate < 60 semester credit hours,1097,1088,9
2017,Lasers,Postsecondary certificate < 60 semester credit hours,1176,1165,11
2018,Lasers,Postsecondary certificate < 60 semester credit hours,1288,1279,9
2019,Lasers,Postsecondary certificate < 60 semester credit hours,1268,1260,8
2020,Lasers,Postsecondary certificate < 60 semester credit hours,1217,1208,9
2021,Lasers,Postsecondary certificate < 60 semester credit hours,955,943,12
2022,Lasers,Postsecondary certificate < 60 semester credit hours,1105,1094,11
2023,Lasers,Postsecondary certificate < 60 semester credit hours,1080,1074,6
2014,Lasers,Postsecondary certificate > 60 semester credit hours,29,29,0
2015,Lasers,Postsecondary certificate > 60 semester credit hours,41,41,0
2016,Lasers,Postsecondary certificate > 60 semester credit hours,22,22,0
2017,Lasers,Postsecondary certificate > 60 semester credit hours,14,14,0
2018,Lasers,Postsecondary certificate > 60 semester credit hours,32,32,0
2019,Lasers,Postsecondary certificate > 60 semester credit hours,50,50,0
2020,Lasers,Postsecondary certificate > 60 semester credit hours,53,53,0
2021,Lasers,Postsecondary certificate > 60 semester credit hours,60,60,0
2022,Lasers,Postsecondary certificate > 60 semester credit hours,37,37,0
2023,Lasers,Postsecondary certificate > 60 semester credit hours,54,54,0
