SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Artificial Intelligence,11.0102,Artificial Intelligence,All award levels (total),163,129,34,67,67,16,96,78,18
Artificial Intelligence,11.0102,Artificial Intelligence,Bachelor's degree,1,1,0,1,1,0,0,0,0
Artificial Intelligence,11.0102,Artificial Intelligence,Master's degree,128,98,30,55,55,16,73,59,14
Artificial Intelligence,11.0102,Artificial Intelligence,Doctor's degree – research/scholarship,34,30,4,11,11,0,23,19,4
Artificial Intelligence,11.0401,Information Science/Studies,All award levels (total),15082,10674,4408,11428,11428,3077,3654,2323,1331
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,188,146,42,187,187,42,1,1,0
Artificial Intelligence,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,129,107,22,126,126,21,3,2,1
Artificial Intelligence,11.0401,Information Science/Studies,Associate's degree,937,739,198,926,926,197,11,10,1
Artificial Intelligence,11.0401,Information Science/Studies,Bachelor's degree,6982,5290,1692,6551,6551,1553,431,292,139
Artificial Intelligence,11.0401,Information Science/Studies,Master's degree,6338,4055,2283,3256,3256,1137,3082,1936,1146
Artificial Intelligence,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,159,102,57,106,106,38,53,34,19
Artificial Intelligence,11.0401,Information Science/Studies,Postbaccalaureate certificate,335,231,104,264,264,80,71,47,24
Artificial Intelligence,11.0401,Information Science/Studies,Post-master's certificate,14,4,10,12,12,9,2,1,1
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,All award levels (total),2443,1811,632,1771,1771,424,672,464,208
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,24,17,7,22,22,6,2,1,1
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Associate's degree,154,132,22,150,150,21,4,3,1
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1420,1073,347,1369,1369,333,51,37,14
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Master's degree,815,566,249,213,213,60,602,413,189
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Doctor's degree – research/scholarship,3,2,1,2,2,1,1,1,0
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,25,21,4,14,14,2,11,9,2
Artificial Intelligence,11.0501,Computer Systems Analysis/Analyst,Post-master's certificate,2,0,2,1,1,1,1,0,1
Artificial Intelligence,11.0701,Computer Science,All award levels (total),35136,27850,7286,23230,23230,3911,11906,8531,3375
