varnumber,varname,n,sum,mean,min,max,varTitle
31130,CTOTALT,303292,10795332,35.593856745314746,0,23973,Grand total
31085,CTOTALM,303292,4373178,14.419035121269271,0,8195,Grand total men
31090,CTOTALW,303292,6422154,21.174821624045475,0,15778,Grand total women
31580,CAIANT,303292,63008,0.20774698969969535,0,491,American Indian or Alaska Native total
31515,CAIANM,303292,22886,0.07545863392374345,0,315,American Indian or Alaska Native men
31520,CAIANW,303292,40122,0.13228835577595188,0,291,American Indian or Alaska Native women
31585,CASIAT,303292,740618,2.441930548778075,0,3267,Asian total
31525,CASIAM,303292,315202,1.03926908721628,0,1561,Asian men
31530,CASIAW,303292,425416,1.4026614615617952,0,1706,Asian women
31590,CBKAAT,303292,1178062,3.8842501615604763,0,3840,Black or African American total
31535,CBKAAM,303292,392144,1.2929586009522176,0,958,Black or African American men
31540,CBKAAW,303292,785918,2.5912915606082585,0,3750,Black or African American women
31575,CHISPT,303292,2021392,6.664837846036163,0,7557,Hispanic or Latino total
31505,CHISPM,303292,763584,2.5176529549081414,0,3002,Hispanic or Latino men
31510,CHISPW,303292,1257808,4.147184891128022,0,4555,Hispanic or Latino women
31595,CNHPIT,303292,25802,0.08507313084420294,0,260,Native Hawaiian or Other Pacific Islander total
31545,CNHPIM,303292,10442,0.034428867230259945,0,104,Native Hawaiian or Other Pacific Islander men
31550,CNHPIW,303292,15360,0.050644263613942996,0,156,Native Hawaiian or Other Pacific Islander women
31600,CWHITT,303292,5287920,17.435079065718845,0,15380,White total
31555,CWHITM,303292,2182010,7.194419898975245,0,5085,White men
31560,CWHITW,303292,3105910,10.240659166743601,0,10648,White women
31605,C2MORT,303292,389780,1.2851641322553842,0,744,Two or more races total
31565,C2MORM,303292,152876,0.5040554976722103,0,342,Two or more races men
31570,C2MORW,303292,236904,0.7811086345831739,0,441,Two or more races women
31125,CUNKNT,303292,435176,1.4348416707331548,0,3695,Race/ethnicity unknown total
31075,CUNKNM,303292,182954,0.6032272529443573,0,1580,Race/ethnicity unknown men
31080,CUNKNW,303292,252222,0.8316144177887976,0,2265,Race/ethnicity unknown women
31095,CNRALT,303292,653574,2.154933199688749,0,6367,U.S. Nonresident total
31015,CNRALM,303292,351080,1.157564327446817,0,3160,U.S. Nonresident men
31020,CNRALW,303292,302494,0.9973688722419318,0,3348,U.S. Nonresident women
